Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal leerlingen dat in gewoon lager onderwijs minstens 2 jaar schoolse vertraging heeft opgelopen, naar thuistaal, wonend in de gemeente","Aantal leerlingen in het gewoon lager onderwijs, naar thuistaal, wonend in de gemeente",Procent
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,1778,310707,0.00572243
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,3098,53950,0.0574235
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,1719,316518,0.00543097
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,2893,57594,0.0502309
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,1545,321742,0.00480198
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,2911,62588,0.0465105
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,1343,325345,0.00412793
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,2602,66885,0.0389026
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,1179,326404,0.00361209
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,2527,70919,0.0356322
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,1072,326263,0.00328569
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,2504,74987,0.0333925
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,1038,322691,0.0032167
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,2573,78536,0.032762
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,927,316698,0.00292708
Vlaams Gewest,2000,/,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,2474,80832,0.0306067
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,4,741,0.00539811
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,2,52,0.0384615
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,5,737,0.00678426
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,2,49,0.0408163
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,4,775,0.00516129
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,0,62,0.0
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,1,770,0.0012987
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,0,65,0.0
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,1,755,0.0013245
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,1,76,0.0131579
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,1,743,0.0013459
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,1,85,0.0117647
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,2,759,0.00263505
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,3,93,0.0322581
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,3,770,0.0038961
Aartselaar,11001,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,6,114,0.0526316
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,324,18894,0.0171483
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,742,13269,0.0559198
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,287,19240,0.0149168
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,637,14138,0.0450559
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,208,19597,0.0106139
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,538,15080,0.0356764
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,175,19880,0.00880282
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,438,15864,0.0276097
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,127,19851,0.00639766
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,394,16598,0.0237378
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,116,19839,0.00584707
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,384,17004,0.0225829
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,136,19753,0.00688503
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,429,17260,0.0248552
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,104,19517,0.00532869
Antwerpen,11002,Ja,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,397,17270,0.0229878
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,2,746,0.00268097
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,0,37,0.0
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,2,738,0.00271003
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,0,43,0.0
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,1,738,0.00135501
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,0,45,0.0
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,0,770,0.0
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,2,48,0.0416667
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,0,753,0.0
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,4,68,0.0588235
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,0,756,0.0
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,4,75,0.0533333
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,0,770,0.0
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,3,74,0.0405405
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,0,745,0.0
Boechout,11004,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,2,73,0.0273973
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,9,910,0.00989011
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,18,335,0.0537313
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,11,927,0.0118662
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,16,348,0.045977
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,12,942,0.0127389
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,11,365,0.030137
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,8,914,0.00875274
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,8,378,0.021164
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,3,900,0.00333333
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,4,389,0.0102828
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,4,907,0.00441014
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,6,450,0.0133333
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,2,935,0.00213904
Boom,11005,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,6,467,0.012848
