Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal leerlingen dat in gewoon secundair onderwijs minstens 2 jaar schoolse vertraging heeft opgelopen, naar thuistaal, wonend in de gemeente","Aantal leerlingen in het gewoon secundair onderwijs, naar thuistaal, wonend in de gemeente",Procent
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,13837,341757,0.0404878
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,8293,38725,0.214151
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,13084,337747,0.0387391
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,8287,41184,0.201219
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,12248,333522,0.0367232
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,8329,44352,0.187793
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,11074,330516,0.0335052
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,8351,48098,0.173625
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,10043,329518,0.0304778
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,8366,52351,0.159806
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,9322,330488,0.0282068
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,8359,56822,0.147109
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,8741,332797,0.0262653
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,8260,61098,0.135193
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,7307,338337,0.0215968
Vlaams Gewest,2000,/,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,7813,66153,0.118105
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,36,824,0.0436893
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,8,51,0.156863
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,32,851,0.0376028
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,8,57,0.140351
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,30,832,0.0360577
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,10,60,0.166667
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,27,841,0.0321046
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,12,61,0.196721
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,15,806,0.0186104
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,14,71,0.197183
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,21,817,0.0257038
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,13,78,0.166667
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,15,792,0.0189394
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,11,75,0.146667
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,12,767,0.0156454
Aartselaar,11001,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,5,71,0.0704225
Antwerpen,11002,Ja,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,1962,19361,0.101338
Antwerpen,11002,Ja,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,2241,9318,0.240502
Antwerpen,11002,Ja,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,1862,19405,0.0959547
Antwerpen,11002,Ja,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,2126,9642,0.220494
Antwerpen,11002,Ja,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,1745,19532,0.0893406
