Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteitsgroep,Jaar,Aantal cursisten volwassenenonderwijs per nationaliteitsgroep,Totaal aantal cursisten,Procent
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2014,24962,280192,0.0890889
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2014,218714,280192,0.780586
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2014,24011,280192,0.0856948
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2014,12576,280192,0.0448835
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2014,4127,280192,0.0147292
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2014,37467,280192,0.133719
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2014,8378,280192,0.0299009
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2014,6112,280192,0.0218136
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2014,5323,280192,0.0189977
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2015,28374,282515,0.100434
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2015,215023,282515,0.761103
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2015,26137,282515,0.0925154
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2015,13899,282515,0.0491974
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2015,4410,282515,0.0156098
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2015,41355,282515,0.146382
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2015,8571,282515,0.0303382
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2015,6357,282515,0.0225015
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2015,5881,282515,0.0208166
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2016,35663,276819,0.128831
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2016,202337,276819,0.730936
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2016,25689,276819,0.0928007
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2016,13903,276819,0.0502242
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2016,4438,276819,0.0160321
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2016,48793,276819,0.176263
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2016,8692,276819,0.0313996
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2016,6064,276819,0.021906
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2016,5722,276819,0.0206705
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2017,38520,271567,0.141843
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2017,196021,271567,0.721815
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2017,24025,271567,0.088468
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2017,12628,271567,0.0465005
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2017,4187,271567,0.0154179
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2017,51521,271567,0.189717
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2017,8814,271567,0.0324561
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2017,5875,271567,0.0216337
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2017,5522,271567,0.0203338
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2018,41707,266180,0.156687
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2018,187221,266180,0.703362
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2018,23781,266180,0.0893418
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2018,12403,266180,0.0465963
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2018,4344,266180,0.0163198
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2018,55178,266180,0.207296
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2018,9127,266180,0.0342888
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2018,5861,266180,0.0220189
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2018,5517,266180,0.0207266
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2019,39856,258786,0.154011
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2019,183975,258786,0.710916
