Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal OKAN-leerlingen, wonend in de gemeente","Aantal OKAN-leerlingen, naar thuistaal, wonend in de gemeente",Procent
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,33,2246,0.0146928
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Niet Nederlands,1848,2246,0.822796
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Onbekend,365,2246,0.162511
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,36,2546,0.0141398
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,2158,2546,0.847604
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,352,2546,0.138256
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Nederlands,25,2221,0.0112562
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Niet Nederlands,1773,2221,0.798289
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Onbekend,423,2221,0.190455
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Nederlands,33,2006,0.0164506
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Niet Nederlands,1857,2006,0.925723
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Onbekend,116,2006,0.0578265
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Nederlands,26,3438,0.00756254
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Niet Nederlands,2986,3438,0.868528
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Onbekend,426,3438,0.123909
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Nederlands,41,3472,0.0118088
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Niet Nederlands,3124,3472,0.89977
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Onbekend,307,3472,0.0884217
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,53,3562,0.0148793
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,3304,3562,0.927569
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,205,3562,0.0575519
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,31,3761,0.00824249
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,3531,3761,0.938846
Vlaams Gewest,2000,/,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,199,3761,0.0529115
Aartselaar,11001,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,0,4,0.0
Aartselaar,11001,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Niet Nederlands,4,4,1.0
Aartselaar,11001,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Onbekend,0,4,0.0
Aartselaar,11001,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,0,1,0.0
Aartselaar,11001,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,1,1,1.0
Aartselaar,11001,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,0,1,0.0
Aartselaar,11001,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,0,5,0.0
Aartselaar,11001,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,5,5,1.0
Aartselaar,11001,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,0,5,0.0
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,7,632,0.0110759
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Niet Nederlands,539,632,0.852848
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Onbekend,86,632,0.136076
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,5,619,0.00807754
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,519,619,0.838449
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,95,619,0.153473
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Nederlands,3,725,0.00413793
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Niet Nederlands,579,725,0.798621
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Onbekend,143,725,0.197241
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Nederlands,8,704,0.0113636
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Niet Nederlands,681,704,0.96733
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Onbekend,15,704,0.0213068
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Nederlands,10,736,0.013587
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Niet Nederlands,709,736,0.963315
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Onbekend,17,736,0.0230978
