Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal niet-werkende werkzoekenden in beroepsinschakelingstijd,Totaal aantal niet-werkende werkzoekenden in beroepsinschakelingstijd,Procent
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,België,16034,18775,0.854008
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,EU,599,18775,0.0319041
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,Niet-EU,2142,18775,0.114088
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,België,16337,19200,0.850885
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,EU,608,19200,0.0316667
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,Niet-EU,2255,19200,0.117448
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,België,15366,18209,0.843868
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,EU,604,18209,0.0331704
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,Niet-EU,2239,18209,0.122961
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,België,15089,17959,0.840192
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,EU,619,17959,0.0344674
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,Niet-EU,2251,17959,0.125341
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,België,16415,19405,0.845916
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,EU,706,19405,0.0363824
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,Niet-EU,2284,19405,0.117702
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,België,16651,19795,0.841172
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,EU,749,19795,0.0378378
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,Niet-EU,2395,19795,0.12099
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,België,14376,17138,0.838838
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,EU,679,17138,0.0396196
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,Niet-EU,2083,17138,0.121543
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,België,14021,17014,0.824086
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,EU,778,17014,0.045727
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,Niet-EU,2215,17014,0.130187
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,België,13044,16007,0.814893
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,EU,831,16007,0.0519148
