Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal langdurig niet-werkende werkzoekenden,Aantal niet-werkende werkzoekenden,Procent
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,66201,166258,39.81823
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,5860,17442,33.59706
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,19012,51318,37.04743
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,75172,170122,44.18711
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,7568,19489,38.83216
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,23587,57205,41.23241
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,70578,157219,44.89152
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,7650,19318,39.60037
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,23747,57463,41.32572
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,65576,148214,44.24413
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,7552,19444,38.83974
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,23689,57019,41.5458
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,67899,158421,42.85985
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,8522,22282,38.24612
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,26592,61353,43.34262
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,74017,163012,45.40586
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,9810,24994,39.24942
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,29008,63087,45.98095
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,75463,159530,47.30333
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,11053,25901,42.67403
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,30519,63449,48.10005
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,73528,148817,49.40833
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,11778,25756,45.72915
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,31471,64118,49.08294
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,68706,138850,49.48218
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,11396,24401,46.703
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,31479,64511,48.79633
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,64490,128290,50.26892
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,10735,22844,46.99265
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,31138,61769,50.4104
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,61401,120589,50.91758
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,10306,22156,46.51562
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,29948,61285,48.86677
