Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal zeer langdurig niet-werkende werkzoekenden,Aantal niet-werkende werkzoekenden,Procent
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,42156,166258,25.35577
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,3152,17442,18.07132
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,8855,51318,17.25515
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,44724,170122,26.28937
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,3637,19489,18.66181
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,10666,57205,18.64522
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,45441,157219,28.903
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,4097,19318,21.2082
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,11901,57463,20.71072
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,43000,148214,29.0121
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,4144,19444,21.31249
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,12014,57019,21.07017
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,42535,158421,26.84934
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,4463,22282,20.02962
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,13472,61353,21.95818
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,46184,163012,28.33166
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,5115,24994,20.46491
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,15322,63087,24.2871
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,48970,159530,30.69642
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,5970,25901,23.0493
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,17084,63449,26.92556
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,49098,148817,32.9922
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,6597,25756,25.61345
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,18195,64118,28.37737
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,46681,138850,33.61973
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,6848,24401,28.06442
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,18495,64511,28.66953
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,44430,128290,34.63247
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,6752,22844,29.557
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,18387,61769,29.76736
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,42918,120589,35.59031
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,6546,22156,29.54504
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,18467,61285,30.13299
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,43162,124534,34.65881
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,6687,24055,27.79879
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,19399,65338,29.69023
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,42502,110675,38.40253
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,6850,22089,31.01091
Vlaams Gewest,2000,/,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,20271,60350,33.58906
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,56,279,20.07168
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,0,10,0.0
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,12,41,29.26829
