Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal huurders,Aantal inwoners per nationaliteitsgroep,Procent
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2013,België,116738,5913977,0.0197393
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2013,EU (zonder België),4608,298732,0.0154252
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2013,Niet-EU,11465,169150,0.0677801
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2014,België,117124,5928823,0.019755
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2014,EU (zonder België),4785,311348,0.0153687
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2014,Niet-EU,11903,170534,0.0697984
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2015,België,118493,5939997,0.0199483
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2015,EU (zonder België),5055,326571,0.015479
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,12284,177559,0.0691826
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2016,België,119992,5951410,0.0201619
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),5486,340829,0.016096
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,14743,185565,0.0794492
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2017,België,121423,5967101,0.0203487
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),5642,352311,0.0160143
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,13926,196599,0.0708345
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2018,België,123841,5981668,0.0207034
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),5899,363768,0.0162164
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,13718,207531,0.066101
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2019,België,124840,5993148,0.0208305
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2019,EU (zonder België),6101,377356,0.0161678
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2019,Niet-EU,12972,218565,0.0593508
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2020,België,124263,6010400,0.0206747
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2020,EU (zonder België),6169,391854,0.0157431
Vlaams Gewest,2000,/,"Huurders van sociale woningen, naar nationaliteit",2020,Niet-EU,12275,226889,0.0541013
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,België,7,13729,0.00050987
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,EU (zonder België),0,304,0.0
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,Niet-EU,4,193,0.0207254
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,België,8,13672,0.000585138
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,EU (zonder België),0,346,0.0
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,Niet-EU,4,189,0.021164
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,België,7,13575,0.000515654
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,EU (zonder België),0,372,0.0
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,4,210,0.0190476
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,België,7,13641,0.000513159
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),0,395,0.0
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,4,226,0.0176991
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,België,8,13572,0.000589449
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),0,410,0.0
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,4,240,0.0166667
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,België,24,13587,0.00176639
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),4,432,0.00925926
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,6,285,0.0210526
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,België,33,13558,0.00243399
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,EU (zonder België),4,456,0.00877193
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,Niet-EU,5,279,0.0179211
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,België,47,13596,0.0034569
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,EU (zonder België),4,503,0.00795229
Aartselaar,11001,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,Niet-EU,5,328,0.0152439
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2013,België,15118,409798,0.0368913
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2013,EU (zonder België),839,47326,0.0177281
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2013,Niet-EU,2886,50787,0.0568256
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2014,België,14730,410852,0.0358523
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2014,EU (zonder België),884,49256,0.0179471
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2014,Niet-EU,2906,50502,0.0575423
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2015,België,14362,410418,0.0349936
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2015,EU (zonder België),921,51922,0.0177381
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,3013,51230,0.0588132
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2016,België,14488,411326,0.0352227
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),1052,53557,0.0196426
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,4324,52159,0.0829004
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2017,België,14197,413296,0.0343507
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),1107,54565,0.0202877
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,4341,52643,0.0824611
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2018,België,13897,414825,0.0335009
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),1159,55117,0.021028
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,4816,53306,0.0903463
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2019,België,14190,414756,0.0342129
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2019,EU (zonder België),1185,56270,0.0210592
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2019,Niet-EU,4422,54909,0.0805332
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2020,België,14372,415988,0.0345491
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2020,EU (zonder België),1182,57567,0.0205326
Antwerpen,11002,Ja,"Huurders van sociale woningen, naar nationaliteit",2020,Niet-EU,3941,55692,0.0707642
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,België,63,12362,0.00509626
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,EU (zonder België),2,254,0.00787402
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,Niet-EU,9,158,0.056962
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,België,68,12386,0.00549007
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,EU (zonder België),1,256,0.00390625
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,Niet-EU,7,162,0.0432099
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,België,69,12321,0.00560019
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,EU (zonder België),1,282,0.0035461
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,6,189,0.031746
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,België,72,12327,0.00584084
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),3,307,0.00977199
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,10,210,0.047619
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,België,75,12335,0.00608026
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),1,338,0.00295858
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,14,235,0.0595745
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,België,99,12439,0.00795884
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),2,390,0.00512821
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,17,291,0.0584192
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,België,103,12523,0.00822487
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,EU (zonder België),3,415,0.00722892
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,Niet-EU,19,328,0.0579268
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,België,109,12645,0.00862001
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,EU (zonder België),3,401,0.0074813
Boechout,11004,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,Niet-EU,9,326,0.0276074
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,België,584,15753,0.0370723
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,EU (zonder België),19,706,0.0269122
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,Niet-EU,106,768,0.138021
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,België,550,15764,0.0348896
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,EU (zonder België),18,734,0.0245232
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,Niet-EU,98,733,0.133697
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,België,523,15939,0.0328126
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,EU (zonder België),17,790,0.021519
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,97,830,0.116867
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,België,506,15965,0.0316943
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),18,856,0.021028
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,96,916,0.104803
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,België,497,15931,0.031197
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),21,920,0.0228261
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,112,937,0.11953
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,België,510,16015,0.0318451
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),28,998,0.0280561
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,117,957,0.122257
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,België,491,16150,0.0304025
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,EU (zonder België),30,1095,0.0273973
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,Niet-EU,127,999,0.127127
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,België,481,16277,0.0295509
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,EU (zonder België),36,1202,0.0299501
Boom,11005,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,Niet-EU,113,1076,0.105019
Borsbeek,11007,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,België,23,9456,0.00243232
