Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Betalingsmoeilijkheden,2011,0.14,0.86
 Aalst ,41002,ja,Betalingsmoeilijkheden,2014,0.12,0.88
 Aalst ,41002,ja,Betalingsmoeilijkheden,2017,0.14,0.86
 Aalst ,41002,ja,Betalingsmoeilijkheden,2020,0.13,0.87
 Aalter ,44001,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Aalter ,44084,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Aarschot ,24001,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Aarschot ,24001,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Aartselaar ,11001,nee,Betalingsmoeilijkheden,2017,0.04,0.96
 Aartselaar ,11001,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Affligem ,23105,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Affligem ,23105,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Alken ,73001,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Alken ,73001,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Alveringem ,38002,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Alveringem ,38002,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Antwerpen ,11002,ja,Betalingsmoeilijkheden,2011,0.21,0.79
 Antwerpen ,11002,ja,Betalingsmoeilijkheden,2014,0.18,0.82
 Antwerpen ,11002,ja,Betalingsmoeilijkheden,2017,0.18,0.82
 Antwerpen ,11002,ja,Betalingsmoeilijkheden,2020,0.18,0.82
 Anzegem ,34002,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Anzegem ,34002,nee,Betalingsmoeilijkheden,2020,0.06,0.94
 Ardooie ,37020,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Ardooie ,37020,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Arendonk ,13001,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Arendonk ,13001,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 As ,71002,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 As ,71002,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Asse ,23002,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Asse ,23002,nee,Betalingsmoeilijkheden,2020,0.13,0.87
 Assenede ,43002,nee,Betalingsmoeilijkheden,2017,0.12,0.88
 Assenede ,43002,nee,Betalingsmoeilijkheden,2020,0.06,0.94
 Avelgem ,34003,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Avelgem ,34003,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Baarle-Hertog ,13002,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Baarle-Hertog ,13002,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Balen ,13003,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Balen ,13003,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Beernem ,31003,nee,Betalingsmoeilijkheden,2017,0.03,0.97
 Beernem ,31003,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Beerse ,13004,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Beerse ,13004,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Beersel ,23003,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Beersel ,23003,nee,Betalingsmoeilijkheden,2020,0.13,0.87
 Begijnendijk ,24007,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Begijnendijk ,24007,nee,Betalingsmoeilijkheden,2020,0.05,0.95
 Bekkevoort ,24008,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Bekkevoort ,24008,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Beringen ,71004,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Beringen ,71004,nee,Betalingsmoeilijkheden,2020,0.14,0.86
 Berlaar ,12002,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Berlaar ,12002,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Berlare ,42003,nee,Betalingsmoeilijkheden,2017,0.12,0.88
 Berlare ,42003,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Bertem ,24009,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Bertem ,24009,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Bever ,23009,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Bever ,23009,nee,Betalingsmoeilijkheden,2020,0.15,0.85
 Beveren ,46003,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Beveren ,46003,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Bierbeek ,24011,nee,Betalingsmoeilijkheden,2017,0.04,0.96
 Bierbeek ,24011,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Bilzen ,73006,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Bilzen ,73006,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Blankenberge ,31004,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Blankenberge ,31004,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Bocholt ,72003,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Bocholt ,72003,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Boechout ,11004,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Boechout ,11004,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Bonheiden ,12005,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Bonheiden ,12005,nee,Betalingsmoeilijkheden,2020,0.04,0.96
 Boom ,11005,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Boom ,11005,nee,Betalingsmoeilijkheden,2020,0.16,0.84
 Boortmeerbeek ,24014,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Boortmeerbeek ,24014,nee,Betalingsmoeilijkheden,2020,0.06,0.94
 Borgloon ,73009,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Borgloon ,73009,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Bornem ,12007,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Bornem ,12007,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Borsbeek ,11007,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Borsbeek ,11007,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Boutersem ,24016,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Boutersem ,24016,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Brakel ,45059,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Brakel ,45059,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Brasschaat ,11008,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Brasschaat ,11008,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Brecht ,11009,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Brecht ,11009,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Bredene ,35002,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Bredene ,35002,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Bree ,72004,nee,Betalingsmoeilijkheden,2017,0.11,0.89
 Bree ,72004,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Brugge ,31005,ja,Betalingsmoeilijkheden,2011,0.14,0.86
 Brugge ,31005,ja,Betalingsmoeilijkheden,2014,0.13,0.87
 Brugge ,31005,ja,Betalingsmoeilijkheden,2017,0.12,0.88
 Brugge ,31005,ja,Betalingsmoeilijkheden,2020,0.1,0.9
 Buggenhout ,42004,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Buggenhout ,42004,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Damme ,31006,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Damme ,31006,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 De Haan ,35029,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 De Haan ,35029,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 De Panne ,38008,nee,Betalingsmoeilijkheden,2017,0.12,0.88
 De Panne ,38008,nee,Betalingsmoeilijkheden,2020,0.14,0.86
 De Pinte ,44012,nee,Betalingsmoeilijkheden,2017,0.03,0.97
 De Pinte ,44012,nee,Betalingsmoeilijkheden,2020,0.05,0.95
 Deerlijk ,34009,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Deerlijk ,34009,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Deinze ,44011,nee,Betalingsmoeilijkheden,2017,0.04,0.96
 Deinze ,44083,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Denderleeuw ,41011,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Denderleeuw ,41011,nee,Betalingsmoeilijkheden,2020,0.15,0.85
 Dendermonde ,42006,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Dendermonde ,42006,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Dentergem ,37002,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Dentergem ,37002,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Dessel ,13006,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Dessel ,13006,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Destelbergen ,44013,nee,Betalingsmoeilijkheden,2017,0.04,0.96
 Destelbergen ,44013,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Diepenbeek ,71011,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Diepenbeek ,71011,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Diest ,24020,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Diest ,24020,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Diksmuide ,32003,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Diksmuide ,32003,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Dilbeek ,23016,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Dilbeek ,23016,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Dilsen-Stokkem ,72041,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Dilsen-Stokkem ,72041,nee,Betalingsmoeilijkheden,2020,0.12,0.88
 Drogenbos ,23098,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Drogenbos ,23098,nee,Betalingsmoeilijkheden,2020,0.19,0.81
 Duffel ,12009,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Duffel ,12009,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Edegem ,11013,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Edegem ,11013,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Eeklo ,43005,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Eeklo ,43005,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Erpe-Mere ,41082,nee,Betalingsmoeilijkheden,2017,0.11,0.89
 Erpe-Mere ,41082,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Essen ,11016,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Essen ,11016,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Evergem ,44019,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Evergem ,44019,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Galmaarden ,23023,nee,Betalingsmoeilijkheden,2017,0.11,0.89
 Galmaarden ,23023,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Gavere ,44020,nee,Betalingsmoeilijkheden,2017,0.04,0.96
 Gavere ,44020,nee,Betalingsmoeilijkheden,2020,0.12,0.88
 Geel ,13008,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Geel ,13008,nee,Betalingsmoeilijkheden,2020,0.12,0.88
 Geetbets ,24028,nee,Betalingsmoeilijkheden,2017,0.13,0.87
 Geetbets ,24028,nee,Betalingsmoeilijkheden,2020,0.13,0.87
 Genk ,71016,ja,Betalingsmoeilijkheden,2011,0.19,0.81
 Genk ,71016,ja,Betalingsmoeilijkheden,2014,0.19,0.81
 Genk ,71016,ja,Betalingsmoeilijkheden,2017,0.16,0.84
 Genk ,71016,ja,Betalingsmoeilijkheden,2020,0.15,0.85
 Gent ,44021,ja,Betalingsmoeilijkheden,2011,0.17,0.83
 Gent ,44021,ja,Betalingsmoeilijkheden,2014,0.14,0.86
 Gent ,44021,ja,Betalingsmoeilijkheden,2017,0.13,0.87
 Gent ,44021,ja,Betalingsmoeilijkheden,2020,0.12,0.88
 Geraardsbergen ,41018,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Geraardsbergen ,41018,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Gingelom ,71017,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Gingelom ,71017,nee,Betalingsmoeilijkheden,2020,0.13,0.87
 Gistel ,35005,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Gistel ,35005,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Glabbeek ,24137,nee,Betalingsmoeilijkheden,2017,0.1,0.9
 Glabbeek ,24137,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Gooik ,23024,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Gooik ,23024,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Grimbergen ,23025,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Grimbergen ,23025,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Grobbendonk ,13010,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Grobbendonk ,13010,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Haacht ,24033,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Haacht ,24033,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Haaltert ,41024,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Haaltert ,41024,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Halen ,71020,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Halen ,71020,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Halle ,23027,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Halle ,23027,nee,Betalingsmoeilijkheden,2020,0.12,0.88
 Ham ,71069,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Ham ,71069,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Hamme ,42008,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Hamme ,42008,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Hamont-Achel ,72037,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Hamont-Achel ,72037,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Harelbeke ,34013,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Harelbeke ,34013,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Hasselt ,71022,ja,Betalingsmoeilijkheden,2011,0.14,0.86
 Hasselt ,71022,ja,Betalingsmoeilijkheden,2014,0.1,0.9
 Hasselt ,71022,ja,Betalingsmoeilijkheden,2017,0.13,0.87
 Hasselt ,71022,ja,Betalingsmoeilijkheden,2020,0.1,0.9
 Hechtel-Eksel,72038,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Hechtel-Eksel,72038,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Heers ,73022,nee,Betalingsmoeilijkheden,2017,0.12,0.88
 Heers ,73022,nee,Betalingsmoeilijkheden,2020,0.12,0.88
 Heist-Op-Den-Berg ,12014,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Heist-Op-Den-Berg ,12014,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Hemiksem ,11018,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Hemiksem ,11018,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Herent ,24038,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Herent ,24038,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Herentals ,13011,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Herentals ,13011,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Herenthout ,13012,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Herenthout ,13012,nee,Betalingsmoeilijkheden,2020,0.12,0.88
 Herk-De-Stad ,71024,nee,Betalingsmoeilijkheden,2017,0.04,0.96
 Herk-De-Stad ,71024,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Herne ,23032,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Herne ,23032,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Herselt ,13013,nee,Betalingsmoeilijkheden,2017,0.09,0.91
 Herselt ,13013,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Herzele ,41027,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Herzele ,41027,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Heusden-Zolder ,71070,nee,Betalingsmoeilijkheden,2017,0.11,0.89
 Heusden-Zolder ,71070,nee,Betalingsmoeilijkheden,2020,0.14,0.86
 Heuvelland ,33039,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Heuvelland ,33039,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Hoegaarden ,24041,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Hoegaarden ,24041,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Hoeilaart ,23033,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Hoeilaart ,23033,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Hoeselt ,73032,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Hoeselt ,73032,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Holsbeek ,24043,nee,Betalingsmoeilijkheden,2017,0.04,0.96
 Holsbeek ,24043,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Hooglede ,36006,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Hooglede ,36006,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Hoogstraten ,13014,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Hoogstraten ,13014,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Horebeke ,45062,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Horebeke ,45062,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Houthalen-Helchteren ,72039,nee,Betalingsmoeilijkheden,2017,0.14,0.86
 Houthalen-Helchteren ,72039,nee,Betalingsmoeilijkheden,2020,0.1,0.9
 Houthulst ,32006,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Houthulst ,32006,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Hove ,11021,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Hove ,11021,nee,Betalingsmoeilijkheden,2020,0.07,0.93
 Huldenberg ,24045,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Huldenberg ,24045,nee,Betalingsmoeilijkheden,2020,0.08,0.92
 Hulshout ,13016,nee,Betalingsmoeilijkheden,2017,0.08,0.92
 Hulshout ,13016,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Ichtegem ,35006,nee,Betalingsmoeilijkheden,2017,0.07,0.93
 Ichtegem ,35006,nee,Betalingsmoeilijkheden,2020,0.06,0.94
 Ieper ,33011,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Ieper ,33011,nee,Betalingsmoeilijkheden,2020,0.13,0.87
 Ingelmunster ,36007,nee,Betalingsmoeilijkheden,2017,0.11,0.89
 Ingelmunster ,36007,nee,Betalingsmoeilijkheden,2020,0.11,0.89
 Izegem ,36008,nee,Betalingsmoeilijkheden,2017,0.06,0.94
 Izegem ,36008,nee,Betalingsmoeilijkheden,2020,0.09,0.91
 Jabbeke ,31012,nee,Betalingsmoeilijkheden,2017,0.05,0.95
 Jabbeke ,31012,nee,Betalingsmoeilijkheden,2020,0.07,0.93
