Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Heel erg moeilijk om rond te komen (%),Moeilijk om rond te komen (%),Het lukt om rond te komen (%),Het lukt om comfortabel te leven (%)
 Aalst ,41002,ja,Subjectieve armoede,2017,0.04,0.15,0.41,0.4
 Aalst ,41002,ja,Subjectieve armoede,2020,0.04,0.11,0.39,0.46
 Aalter ,44084,nee,Subjectieve armoede,2020,0.02,0.06,0.41,0.52
 Aarschot ,24001,nee,Subjectieve armoede,2020,0.02,0.12,0.45,0.41
 Aartselaar ,11001,nee,Subjectieve armoede,2020,0.02,0.11,0.4,0.47
 Affligem ,23105,nee,Subjectieve armoede,2020,0.03,0.09,0.38,0.5
 Alken ,73001,nee,Subjectieve armoede,2020,0.02,0.1,0.43,0.45
 Alveringem ,38002,nee,Subjectieve armoede,2020,0.03,0.13,0.45,0.4
 Antwerpen ,11002,ja,Subjectieve armoede,2017,0.06,0.16,0.41,0.38
 Antwerpen ,11002,ja,Subjectieve armoede,2020,0.04,0.14,0.39,0.43
 Anzegem ,34002,nee,Subjectieve armoede,2020,0.02,0.1,0.4,0.48
 Ardooie ,37020,nee,Subjectieve armoede,2020,0.01,0.11,0.47,0.41
 Arendonk ,13001,nee,Subjectieve armoede,2020,0.03,0.1,0.39,0.47
 As ,71002,nee,Subjectieve armoede,2020,0.01,0.12,0.4,0.47
 Asse ,23002,nee,Subjectieve armoede,2020,0.03,0.12,0.39,0.45
 Assenede ,43002,nee,Subjectieve armoede,2020,0.02,0.08,0.38,0.51
 Avelgem ,34003,nee,Subjectieve armoede,2020,0.02,0.1,0.42,0.46
 Baarle-Hertog ,13002,nee,Subjectieve armoede,2020,0.02,0.09,0.39,0.49
 Balen ,13003,nee,Subjectieve armoede,2020,0.02,0.1,0.38,0.49
 Beernem ,31003,nee,Subjectieve armoede,2020,0.03,0.08,0.38,0.52
 Beerse ,13004,nee,Subjectieve armoede,2020,0.03,0.09,0.38,0.49
 Beersel ,23003,nee,Subjectieve armoede,2020,0.03,0.09,0.4,0.48
 Begijnendijk ,24007,nee,Subjectieve armoede,2020,0.01,0.1,0.41,0.48
 Bekkevoort ,24008,nee,Subjectieve armoede,2020,0.02,0.11,0.45,0.42
 Beringen ,71004,nee,Subjectieve armoede,2020,0.04,0.1,0.48,0.38
 Berlaar ,12002,nee,Subjectieve armoede,2020,0.02,0.1,0.4,0.48
 Berlare ,42003,nee,Subjectieve armoede,2020,0.03,0.14,0.39,0.44
 Bertem ,24009,nee,Subjectieve armoede,2020,0.01,0.08,0.4,0.52
 Bever ,23009,nee,Subjectieve armoede,2020,0.05,0.12,0.43,0.4
 Beveren ,46003,nee,Subjectieve armoede,2020,0.03,0.08,0.39,0.49
 Bierbeek ,24011,nee,Subjectieve armoede,2020,0.01,0.07,0.29,0.62
 Bilzen ,73006,nee,Subjectieve armoede,2020,0.03,0.11,0.43,0.43
 Blankenberge ,31004,nee,Subjectieve armoede,2020,0.04,0.15,0.43,0.38
 Bocholt ,72003,nee,Subjectieve armoede,2020,0.03,0.08,0.49,0.4
 Boechout ,11004,nee,Subjectieve armoede,2020,0.02,0.11,0.34,0.52
 Bonheiden ,12005,nee,Subjectieve armoede,2020,0.02,0.07,0.29,0.61
 Boom ,11005,nee,Subjectieve armoede,2020,0.03,0.17,0.4,0.4
 Boortmeerbeek ,24014,nee,Subjectieve armoede,2020,0.01,0.11,0.34,0.54
 Borgloon ,73009,nee,Subjectieve armoede,2020,0.04,0.12,0.38,0.46
 Bornem ,12007,nee,Subjectieve armoede,2020,0.03,0.11,0.41,0.45
 Borsbeek ,11007,nee,Subjectieve armoede,2020,0.03,0.09,0.37,0.51
 Boutersem ,24016,nee,Subjectieve armoede,2020,0.02,0.07,0.33,0.58
 Brakel ,45059,nee,Subjectieve armoede,2020,0.03,0.11,0.44,0.42
 Brasschaat ,11008,nee,Subjectieve armoede,2020,0.03,0.09,0.4,0.47
 Brecht ,11009,nee,Subjectieve armoede,2020,0.03,0.06,0.43,0.48
 Bredene ,35002,nee,Subjectieve armoede,2020,0.03,0.1,0.45,0.42
 Bree ,72004,nee,Subjectieve armoede,2020,0.03,0.06,0.42,0.49
 Brugge ,31005,ja,Subjectieve armoede,2017,0.03,0.11,0.4,0.46
 Brugge ,31005,ja,Subjectieve armoede,2020,0.03,0.09,0.39,0.5
 Buggenhout ,42004,nee,Subjectieve armoede,2020,0.02,0.08,0.48,0.42
 Damme ,31006,nee,Subjectieve armoede,2020,0.03,0.08,0.44,0.46
 De Haan ,35029,nee,Subjectieve armoede,2020,0.03,0.14,0.4,0.44
 De Panne ,38008,nee,Subjectieve armoede,2020,0.05,0.14,0.46,0.35
 De Pinte ,44012,nee,Subjectieve armoede,2020,0.02,0.05,0.3,0.63
 Deerlijk ,34009,nee,Subjectieve armoede,2020,0.02,0.05,0.47,0.46
 Deinze ,44083,nee,Subjectieve armoede,2020,0.02,0.06,0.36,0.56
 Denderleeuw ,41011,nee,Subjectieve armoede,2020,0.04,0.11,0.37,0.48
 Dendermonde ,42006,nee,Subjectieve armoede,2020,0.03,0.11,0.42,0.45
 Dentergem ,37002,nee,Subjectieve armoede,2020,0.05,0.09,0.38,0.48
 Dessel ,13006,nee,Subjectieve armoede,2020,0.04,0.08,0.47,0.42
 Destelbergen ,44013,nee,Subjectieve armoede,2020,0.02,0.07,0.34,0.57
 Diepenbeek ,71011,nee,Subjectieve armoede,2020,0.04,0.1,0.38,0.49
 Diest ,24020,nee,Subjectieve armoede,2020,0.02,0.11,0.4,0.48
 Diksmuide ,32003,nee,Subjectieve armoede,2020,0.02,0.11,0.47,0.4
 Dilbeek ,23016,nee,Subjectieve armoede,2020,0.04,0.1,0.42,0.44
 Dilsen-Stokkem ,72041,nee,Subjectieve armoede,2020,0.03,0.1,0.43,0.44
 Drogenbos ,23098,nee,Subjectieve armoede,2020,0.04,0.21,0.36,0.38
 Duffel ,12009,nee,Subjectieve armoede,2020,0.03,0.13,0.39,0.45
 Edegem ,11013,nee,Subjectieve armoede,2020,0.02,0.1,0.38,0.5
 Eeklo ,43005,nee,Subjectieve armoede,2020,0.03,0.11,0.42,0.44
 Erpe-Mere ,41082,nee,Subjectieve armoede,2020,0.05,0.09,0.43,0.43
 Essen ,11016,nee,Subjectieve armoede,2020,0.03,0.1,0.39,0.48
 Evergem ,44019,nee,Subjectieve armoede,2020,0.01,0.09,0.36,0.54
 Galmaarden ,23023,nee,Subjectieve armoede,2020,0.05,0.09,0.38,0.48
 Gavere ,44020,nee,Subjectieve armoede,2020,0.02,0.07,0.4,0.5
 Geel ,13008,nee,Subjectieve armoede,2020,0.03,0.12,0.37,0.47
 Geetbets ,24028,nee,Subjectieve armoede,2020,0.03,0.12,0.46,0.38
 Genk ,71016,ja,Subjectieve armoede,2017,0.05,0.15,0.42,0.38
 Genk ,71016,ja,Subjectieve armoede,2020,0.03,0.13,0.44,0.39
 Gent ,44021,ja,Subjectieve armoede,2017,0.04,0.12,0.36,0.49
 Gent ,44021,ja,Subjectieve armoede,2020,0.03,0.1,0.33,0.54
 Geraardsbergen ,41018,nee,Subjectieve armoede,2020,0.03,0.11,0.41,0.45
 Gingelom ,71017,nee,Subjectieve armoede,2020,0.02,0.11,0.48,0.39
 Gistel ,35005,nee,Subjectieve armoede,2020,0.03,0.1,0.37,0.5
 Glabbeek ,24137,nee,Subjectieve armoede,2020,0.02,0.11,0.36,0.5
 Gooik ,23024,nee,Subjectieve armoede,2020,0.02,0.09,0.4,0.5
 Grimbergen ,23025,nee,Subjectieve armoede,2020,0.02,0.1,0.41,0.47
 Grobbendonk ,13010,nee,Subjectieve armoede,2020,0.03,0.15,0.32,0.49
 Haacht ,24033,nee,Subjectieve armoede,2020,0.01,0.08,0.38,0.52
 Haaltert ,41024,nee,Subjectieve armoede,2020,0.04,0.11,0.43,0.43
 Halen ,71020,nee,Subjectieve armoede,2020,0.02,0.13,0.41,0.43
 Halle ,23027,nee,Subjectieve armoede,2020,0.03,0.14,0.34,0.49
 Ham ,71069,nee,Subjectieve armoede,2020,0.02,0.15,0.46,0.37
 Hamme ,42008,nee,Subjectieve armoede,2020,0.03,0.11,0.4,0.45
 Hamont-Achel ,72037,nee,Subjectieve armoede,2020,0.01,0.09,0.45,0.45
 Harelbeke ,34013,nee,Subjectieve armoede,2020,0.03,0.13,0.43,0.41
 Hasselt ,71022,ja,Subjectieve armoede,2017,0.03,0.12,0.37,0.48
 Hasselt ,71022,ja,Subjectieve armoede,2020,0.03,0.1,0.36,0.51
 Hechtel-Eksel,72038,nee,Subjectieve armoede,2020,0.02,0.06,0.45,0.46
 Heers ,73022,nee,Subjectieve armoede,2020,0.05,0.12,0.42,0.41
 Heist-Op-Den-Berg ,12014,nee,Subjectieve armoede,2020,0.01,0.13,0.42,0.45
 Hemiksem ,11018,nee,Subjectieve armoede,2020,0.03,0.09,0.38,0.51
 Herent ,24038,nee,Subjectieve armoede,2020,0.02,0.09,0.31,0.57
 Herentals ,13011,nee,Subjectieve armoede,2020,0.04,0.11,0.41,0.44
 Herenthout ,13012,nee,Subjectieve armoede,2020,0.03,0.14,0.4,0.44
 Herk-De-Stad ,71024,nee,Subjectieve armoede,2020,0.03,0.09,0.41,0.47
 Herne ,23032,nee,Subjectieve armoede,2020,0.02,0.09,0.43,0.46
 Herselt ,13013,nee,Subjectieve armoede,2020,0.03,0.09,0.41,0.47
 Herzele ,41027,nee,Subjectieve armoede,2020,0.03,0.13,0.4,0.43
 Heusden-Zolder ,71070,nee,Subjectieve armoede,2020,0.02,0.13,0.43,0.42
 Heuvelland ,33039,nee,Subjectieve armoede,2020,0.02,0.1,0.43,0.45
 Hoegaarden ,24041,nee,Subjectieve armoede,2020,0.02,0.09,0.37,0.53
 Hoeilaart ,23033,nee,Subjectieve armoede,2020,0.01,0.1,0.35,0.54
 Hoeselt ,73032,nee,Subjectieve armoede,2020,0.03,0.1,0.42,0.45
 Holsbeek ,24043,nee,Subjectieve armoede,2020,0.02,0.06,0.31,0.61
 Hooglede ,36006,nee,Subjectieve armoede,2020,0.04,0.08,0.4,0.49
 Hoogstraten ,13014,nee,Subjectieve armoede,2020,0.02,0.11,0.39,0.48
 Horebeke ,45062,nee,Subjectieve armoede,2020,0.02,0.12,0.34,0.52
 Houthalen-Helchteren ,72039,nee,Subjectieve armoede,2020,0.03,0.14,0.37,0.46
 Houthulst ,32006,nee,Subjectieve armoede,2020,0.01,0.09,0.49,0.41
 Hove ,11021,nee,Subjectieve armoede,2020,0.02,0.08,0.3,0.6
 Huldenberg ,24045,nee,Subjectieve armoede,2020,0.03,0.09,0.4,0.48
 Hulshout ,13016,nee,Subjectieve armoede,2020,0.04,0.11,0.46,0.39
 Ichtegem ,35006,nee,Subjectieve armoede,2020,0.01,0.12,0.43,0.45
 Ieper ,33011,nee,Subjectieve armoede,2020,0.04,0.14,0.39,0.42
 Ingelmunster ,36007,nee,Subjectieve armoede,2020,0.05,0.12,0.42,0.42
 Izegem ,36008,nee,Subjectieve armoede,2020,0.02,0.1,0.41,0.47
 Jabbeke ,31012,nee,Subjectieve armoede,2020,0.01,0.09,0.38,0.52
 Kalmthout ,11022,nee,Subjectieve armoede,2020,0.03,0.09,0.34,0.55
 Kampenhout ,23038,nee,Subjectieve armoede,2020,0.03,0.1,0.34,0.52
 Kapellen ,11023,nee,Subjectieve armoede,2020,0.03,0.09,0.32,0.56
 Kapelle-Op-Den-Bos ,23039,nee,Subjectieve armoede,2020,0.03,0.09,0.39,0.48
 Kaprijke ,43007,nee,Subjectieve armoede,2020,0.02,0.07,0.34,0.57
 Kasterlee ,13017,nee,Subjectieve armoede,2020,0.03,0.07,0.42,0.48
 Keerbergen ,24048,nee,Subjectieve armoede,2020,0.03,0.08,0.33,0.57
 Kinrooi ,72018,nee,Subjectieve armoede,2020,0.02,0.08,0.42,0.48
 Kluisbergen ,45060,nee,Subjectieve armoede,2020,0.03,0.13,0.34,0.49
 Knokke-Heist ,31043,nee,Subjectieve armoede,2020,0.05,0.09,0.35,0.5
 Koekelare ,32010,nee,Subjectieve armoede,2020,0.05,0.08,0.42,0.45
 Koksijde ,38014,nee,Subjectieve armoede,2020,0.03,0.13,0.37,0.47
 Kontich ,11024,nee,Subjectieve armoede,2020,0.02,0.08,0.38,0.52
 Kortemark ,32011,nee,Subjectieve armoede,2020,0.05,0.11,0.45,0.38
 Kortenaken ,24054,nee,Subjectieve armoede,2020,0.03,0.11,0.38,0.48
 Kortenberg ,24055,nee,Subjectieve armoede,2020,0.03,0.07,0.37,0.53
 Kortessem ,73040,nee,Subjectieve armoede,2020,0.01,0.09,0.42,0.47
 Kortrijk ,34022,ja,Subjectieve armoede,2017,0.03,0.11,0.39,0.46
 Kortrijk ,34022,ja,Subjectieve armoede,2020,0.02,0.1,0.39,0.48
 Kraainem ,23099,nee,Subjectieve armoede,2020,0.03,0.07,0.31,0.59
 Kruibeke ,46013,nee,Subjectieve armoede,2020,0.03,0.12,0.36,0.49
 Kruisem ,45068,nee,Subjectieve armoede,2020,0.02,0.07,0.36,0.55
 Kuurne ,34023,nee,Subjectieve armoede,2020,0.03,0.08,0.45,0.44
 Laakdal ,13053,nee,Subjectieve armoede,2020,0.03,0.11,0.48,0.39
 Laarne ,42010,nee,Subjectieve armoede,2020,0.03,0.07,0.37,0.53
 Lanaken ,73042,nee,Subjectieve armoede,2020,0.03,0.1,0.4,0.47
 Landen ,24059,nee,Subjectieve armoede,2020,0.03,0.14,0.46,0.37
 Langemark-Poelkapelle ,33040,nee,Subjectieve armoede,2020,0.03,0.1,0.43,0.44
 Lebbeke ,42011,nee,Subjectieve armoede,2020,0.03,0.1,0.39,0.48
 Lede ,41034,nee,Subjectieve armoede,2020,0.02,0.08,0.43,0.47
 Ledegem ,36010,nee,Subjectieve armoede,2020,0.04,0.14,0.4,0.43
 Lendelede ,34025,nee,Subjectieve armoede,2020,0.02,0.09,0.44,0.45
 Lennik ,23104,nee,Subjectieve armoede,2020,0.03,0.11,0.39,0.47
 Leopoldsburg ,71034,nee,Subjectieve armoede,2020,0.04,0.12,0.43,0.42
 Leuven ,24062,ja,Subjectieve armoede,2017,0.03,0.09,0.34,0.53
 Leuven ,24062,ja,Subjectieve armoede,2020,0.02,0.07,0.29,0.62
 Lichtervelde ,36011,nee,Subjectieve armoede,2020,0.03,0.07,0.43,0.47
 Liedekerke ,23044,nee,Subjectieve armoede,2020,0.04,0.11,0.36,0.49
 Lier ,12021,nee,Subjectieve armoede,2020,0.01,0.09,0.43,0.46
 Lierde ,45063,nee,Subjectieve armoede,2020,0.03,0.08,0.39,0.49
 Lievegem ,44085,nee,Subjectieve armoede,2020,0.02,0.08,0.37,0.52
 Lille ,13019,nee,Subjectieve armoede,2020,0.03,0.08,0.42,0.48
 Linkebeek ,23100,nee,Subjectieve armoede,2020,0.06,0.17,0.35,0.42
 Lint ,11025,nee,Subjectieve armoede,2020,0.01,0.07,0.41,0.51
 Linter ,24133,nee,Subjectieve armoede,2020,0.03,0.09,0.43,0.45
 Lochristi ,44034,nee,Subjectieve armoede,2020,0.02,0.07,0.37,0.54
 Lokeren ,46014,nee,Subjectieve armoede,2020,0.05,0.09,0.4,0.46
