Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Inwoners die al tien jaar in de gemeente wonen,2014,0.79,0.21
 Aalst ,41002,ja,Inwoners die al tien jaar in de gemeente wonen,2017,0.77,0.23
 Aalst ,41002,ja,Inwoners die al tien jaar in de gemeente wonen,2020,0.77,0.23
 Aalter ,44001,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.77,0.23
 Aalter ,44084,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Aarschot ,24001,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.75,0.25
 Aarschot ,24001,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.77,0.23
 Aartselaar ,11001,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.8,0.2
 Aartselaar ,11001,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.73,0.27
 Affligem ,23105,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.72,0.28
 Affligem ,23105,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.75,0.25
 Alken ,73001,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.83,0.17
 Alken ,73001,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.77,0.23
 Alveringem ,38002,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.72,0.28
 Alveringem ,38002,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Antwerpen ,11002,ja,Inwoners die al tien jaar in de gemeente wonen,2014,0.73,0.27
 Antwerpen ,11002,ja,Inwoners die al tien jaar in de gemeente wonen,2017,0.69,0.31
 Antwerpen ,11002,ja,Inwoners die al tien jaar in de gemeente wonen,2020,0.71,0.29
 Anzegem ,34002,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Anzegem ,34002,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Ardooie ,37020,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.74,0.26
 Ardooie ,37020,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.74,0.26
 Arendonk ,13001,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.82,0.18
 Arendonk ,13001,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.84,0.16
 As ,71002,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.77,0.23
 As ,71002,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Asse ,23002,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Asse ,23002,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.68,0.32
 Assenede ,43002,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.77,0.23
 Assenede ,43002,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.8,0.2
 Avelgem ,34003,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Avelgem ,34003,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.73,0.27
 Baarle-Hertog ,13002,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Baarle-Hertog ,13002,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.69,0.31
 Balen ,13003,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
