ID,Naam indicator 
KL_S_01,"Bezoek bos, park, groenzone in eigen of andere gemeente"
KL_S_02,Tevredenheid over natuur en groenvoorzieningen
KL_S_03,Voldoende groen in de buurt
KL_S_05,Tevredenheid over zicht op groen vanuit de woning
KL_S_06,Betalingsmoeilijkheden energie en water
KL_S_07,Tevredenheid over huisvuilvoorzieningen
KL_S_08,Draagvlak windmolens
KL_S_09,Tevredenheid over ondersteuning hernieuwbare energie
KL_S_10,Milieubewust handelen (detail)
KL_S_11,Milieubewust handelen
,
Meer info op onze website.,
