Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Voldoende groen buurt,2008,0.2,0.1,0.69
 Aalst ,41002,ja,Voldoende groen buurt,2011,0.2,0.13,0.68
 Aalst ,41002,ja,Voldoende groen buurt,2014,0.19,0.15,0.66
 Aalst ,41002,ja,Voldoende groen buurt,2017,0.17,0.12,0.71
 Aalst ,41002,ja,Voldoende groen buurt,2020,0.18,0.09,0.73
 Aalter ,44001,nee,Voldoende groen buurt,2017,0.08,0.05,0.87
 Aalter ,44084,nee,Voldoende groen buurt,2020,0.12,0.08,0.81
 Aarschot ,24001,nee,Voldoende groen buurt,2017,0.08,0.07,0.84
 Aarschot ,24001,nee,Voldoende groen buurt,2020,0.07,0.09,0.84
 Aartselaar ,11001,nee,Voldoende groen buurt,2017,0.13,0.11,0.76
 Aartselaar ,11001,nee,Voldoende groen buurt,2020,0.14,0.13,0.73
 Affligem ,23105,nee,Voldoende groen buurt,2017,0.14,0.08,0.78
 Affligem ,23105,nee,Voldoende groen buurt,2020,0.1,0.07,0.83
 Alken ,73001,nee,Voldoende groen buurt,2017,0.04,0.07,0.9
 Alken ,73001,nee,Voldoende groen buurt,2020,0.07,0.06,0.87
 Alveringem ,38002,nee,Voldoende groen buurt,2017,0.09,0.09,0.82
 Alveringem ,38002,nee,Voldoende groen buurt,2020,0.08,0.05,0.88
 Antwerpen ,11002,ja,Voldoende groen buurt,2008,0.23,0.13,0.64
 Antwerpen ,11002,ja,Voldoende groen buurt,2011,0.21,0.11,0.69
 Antwerpen ,11002,ja,Voldoende groen buurt,2014,0.23,0.12,0.66
 Antwerpen ,11002,ja,Voldoende groen buurt,2017,0.21,0.1,0.69
 Antwerpen ,11002,ja,Voldoende groen buurt,2020,0.24,0.11,0.65
 Anzegem ,34002,nee,Voldoende groen buurt,2017,0.08,0.1,0.82
 Anzegem ,34002,nee,Voldoende groen buurt,2020,0.08,0.08,0.84
 Ardooie ,37020,nee,Voldoende groen buurt,2017,0.13,0.09,0.78
 Ardooie ,37020,nee,Voldoende groen buurt,2020,0.14,0.1,0.75
 Arendonk ,13001,nee,Voldoende groen buurt,2017,0.07,0.09,0.85
 Arendonk ,13001,nee,Voldoende groen buurt,2020,0.07,0.05,0.88
 As ,71002,nee,Voldoende groen buurt,2017,0.03,0.04,0.93
 As ,71002,nee,Voldoende groen buurt,2020,0.03,0.02,0.95
 Asse ,23002,nee,Voldoende groen buurt,2017,0.12,0.1,0.78
 Asse ,23002,nee,Voldoende groen buurt,2020,0.09,0.09,0.82
 Assenede ,43002,nee,Voldoende groen buurt,2017,0.07,0.11,0.82
 Assenede ,43002,nee,Voldoende groen buurt,2020,0.1,0.1,0.8
 Avelgem ,34003,nee,Voldoende groen buurt,2017,0.14,0.12,0.74
 Avelgem ,34003,nee,Voldoende groen buurt,2020,0.12,0.05,0.84
 Baarle-Hertog ,13002,nee,Voldoende groen buurt,2017,0.09,0.09,0.82
 Baarle-Hertog ,13002,nee,Voldoende groen buurt,2020,0.11,0.08,0.81
 Balen ,13003,nee,Voldoende groen buurt,2017,0.05,0.06,0.88
 Balen ,13003,nee,Voldoende groen buurt,2020,0.06,0.05,0.89
 Beernem ,31003,nee,Voldoende groen buurt,2017,0.08,0.07,0.85
 Beernem ,31003,nee,Voldoende groen buurt,2020,0.05,0.06,0.89
 Beerse ,13004,nee,Voldoende groen buurt,2017,0.1,0.1,0.8
 Beerse ,13004,nee,Voldoende groen buurt,2020,0.12,0.06,0.82
 Beersel ,23003,nee,Voldoende groen buurt,2017,0.08,0.06,0.86
 Beersel ,23003,nee,Voldoende groen buurt,2020,0.08,0.07,0.84
 Begijnendijk ,24007,nee,Voldoende groen buurt,2017,0.1,0.09,0.81
 Begijnendijk ,24007,nee,Voldoende groen buurt,2020,0.08,0.08,0.84
 Bekkevoort ,24008,nee,Voldoende groen buurt,2017,0.05,0.06,0.89
 Bekkevoort ,24008,nee,Voldoende groen buurt,2020,0.09,0.06,0.85
 Beringen ,71004,nee,Voldoende groen buurt,2017,0.08,0.09,0.83
 Beringen ,71004,nee,Voldoende groen buurt,2020,0.1,0.1,0.8
 Berlaar ,12002,nee,Voldoende groen buurt,2017,0.14,0.11,0.75
 Berlaar ,12002,nee,Voldoende groen buurt,2020,0.17,0.08,0.76
 Berlare ,42003,nee,Voldoende groen buurt,2017,0.06,0.04,0.89
 Berlare ,42003,nee,Voldoende groen buurt,2020,0.06,0.05,0.89
 Bertem ,24009,nee,Voldoende groen buurt,2017,0.07,0.06,0.87
 Bertem ,24009,nee,Voldoende groen buurt,2020,0.06,0.04,0.9
 Bever ,23009,nee,Voldoende groen buurt,2017,0.06,0.06,0.88
 Bever ,23009,nee,Voldoende groen buurt,2020,0.06,0.03,0.91
 Beveren ,46003,nee,Voldoende groen buurt,2017,0.1,0.08,0.82
 Beveren ,46003,nee,Voldoende groen buurt,2020,0.13,0.09,0.78
 Bierbeek ,24011,nee,Voldoende groen buurt,2017,0.05,0.07,0.88
 Bierbeek ,24011,nee,Voldoende groen buurt,2020,0.05,0.07,0.89
 Bilzen ,73006,nee,Voldoende groen buurt,2017,0.04,0.07,0.89
 Bilzen ,73006,nee,Voldoende groen buurt,2020,0.07,0.06,0.87
 Blankenberge ,31004,nee,Voldoende groen buurt,2017,0.17,0.11,0.72
 Blankenberge ,31004,nee,Voldoende groen buurt,2020,0.17,0.14,0.69
 Bocholt ,72003,nee,Voldoende groen buurt,2017,0.05,0.07,0.88
 Bocholt ,72003,nee,Voldoende groen buurt,2020,0.06,0.05,0.9
 Boechout ,11004,nee,Voldoende groen buurt,2017,0.1,0.08,0.81
 Boechout ,11004,nee,Voldoende groen buurt,2020,0.08,0.05,0.87
 Bonheiden ,12005,nee,Voldoende groen buurt,2017,0.03,0.07,0.89
 Bonheiden ,12005,nee,Voldoende groen buurt,2020,0.03,0.03,0.94
 Boom ,11005,nee,Voldoende groen buurt,2017,0.12,0.11,0.78
 Boom ,11005,nee,Voldoende groen buurt,2020,0.11,0.11,0.78
 Boortmeerbeek ,24014,nee,Voldoende groen buurt,2017,0.13,0.09,0.78
 Boortmeerbeek ,24014,nee,Voldoende groen buurt,2020,0.16,0.09,0.75
 Borgloon ,73009,nee,Voldoende groen buurt,2017,0.08,0.05,0.87
 Borgloon ,73009,nee,Voldoende groen buurt,2020,0.08,0.05,0.87
 Bornem ,12007,nee,Voldoende groen buurt,2017,0.03,0.08,0.89
 Bornem ,12007,nee,Voldoende groen buurt,2020,0.06,0.04,0.9
 Borsbeek ,11007,nee,Voldoende groen buurt,2017,0.1,0.08,0.82
 Borsbeek ,11007,nee,Voldoende groen buurt,2020,0.1,0.09,0.81
 Boutersem ,24016,nee,Voldoende groen buurt,2017,0.05,0.06,0.89
 Boutersem ,24016,nee,Voldoende groen buurt,2020,0.06,0.06,0.88
 Brakel ,45059,nee,Voldoende groen buurt,2017,0.05,0.05,0.89
 Brakel ,45059,nee,Voldoende groen buurt,2020,0.05,0.04,0.91
 Brasschaat ,11008,nee,Voldoende groen buurt,2017,0.02,0.04,0.94
 Brasschaat ,11008,nee,Voldoende groen buurt,2020,0.02,0.03,0.95
 Brecht ,11009,nee,Voldoende groen buurt,2017,0.06,0.09,0.86
 Brecht ,11009,nee,Voldoende groen buurt,2020,0.06,0.05,0.89
 Bredene ,35002,nee,Voldoende groen buurt,2017,0.09,0.04,0.86
 Bredene ,35002,nee,Voldoende groen buurt,2020,0.14,0.09,0.77
 Bree ,72004,nee,Voldoende groen buurt,2017,0.07,0.09,0.84
 Bree ,72004,nee,Voldoende groen buurt,2020,0.11,0.08,0.81
 Brugge ,31005,ja,Voldoende groen buurt,2008,0.09,0.09,0.82
 Brugge ,31005,ja,Voldoende groen buurt,2011,0.1,0.07,0.82
 Brugge ,31005,ja,Voldoende groen buurt,2014,0.08,0.09,0.83
 Brugge ,31005,ja,Voldoende groen buurt,2017,0.07,0.08,0.85
 Brugge ,31005,ja,Voldoende groen buurt,2020,0.11,0.07,0.82
 Buggenhout ,42004,nee,Voldoende groen buurt,2017,0.06,0.07,0.87
 Buggenhout ,42004,nee,Voldoende groen buurt,2020,0.07,0.06,0.87
 Damme ,31006,nee,Voldoende groen buurt,2017,0.06,0.06,0.88
 Damme ,31006,nee,Voldoende groen buurt,2020,0.08,0.06,0.86
 De Haan ,35029,nee,Voldoende groen buurt,2017,0.06,0.04,0.89
 De Haan ,35029,nee,Voldoende groen buurt,2020,0.05,0.05,0.9
 De Panne ,38008,nee,Voldoende groen buurt,2017,0.09,0.06,0.84
 De Panne ,38008,nee,Voldoende groen buurt,2020,0.07,0.06,0.86
 De Pinte ,44012,nee,Voldoende groen buurt,2017,0.04,0.05,0.91
 De Pinte ,44012,nee,Voldoende groen buurt,2020,0.04,0.03,0.94
 Deerlijk ,34009,nee,Voldoende groen buurt,2017,0.15,0.11,0.74
 Deerlijk ,34009,nee,Voldoende groen buurt,2020,0.13,0.14,0.72
 Deinze ,44011,nee,Voldoende groen buurt,2017,0.11,0.05,0.84
 Deinze ,44083,nee,Voldoende groen buurt,2020,0.11,0.08,0.81
 Denderleeuw ,41011,nee,Voldoende groen buurt,2017,0.19,0.12,0.69
 Denderleeuw ,41011,nee,Voldoende groen buurt,2020,0.15,0.13,0.71
 Dendermonde ,42006,nee,Voldoende groen buurt,2017,0.16,0.1,0.73
 Dendermonde ,42006,nee,Voldoende groen buurt,2020,0.16,0.13,0.71
 Dentergem ,37002,nee,Voldoende groen buurt,2017,0.1,0.11,0.79
 Dentergem ,37002,nee,Voldoende groen buurt,2020,0.08,0.09,0.83
 Dessel ,13006,nee,Voldoende groen buurt,2017,0.06,0.07,0.86
 Dessel ,13006,nee,Voldoende groen buurt,2020,0.09,0.06,0.85
 Destelbergen ,44013,nee,Voldoende groen buurt,2017,0.08,0.05,0.87
 Destelbergen ,44013,nee,Voldoende groen buurt,2020,0.06,0.06,0.88
 Diepenbeek ,71011,nee,Voldoende groen buurt,2017,0.09,0.07,0.84
 Diepenbeek ,71011,nee,Voldoende groen buurt,2020,0.11,0.06,0.83
 Diest ,24020,nee,Voldoende groen buurt,2017,0.06,0.04,0.9
 Diest ,24020,nee,Voldoende groen buurt,2020,0.04,0.05,0.9
 Diksmuide ,32003,nee,Voldoende groen buurt,2017,0.08,0.09,0.83
 Diksmuide ,32003,nee,Voldoende groen buurt,2020,0.08,0.07,0.85
 Dilbeek ,23016,nee,Voldoende groen buurt,2017,0.08,0.1,0.82
 Dilbeek ,23016,nee,Voldoende groen buurt,2020,0.08,0.08,0.84
 Dilsen-Stokkem ,72041,nee,Voldoende groen buurt,2017,0.04,0.08,0.87
 Dilsen-Stokkem ,72041,nee,Voldoende groen buurt,2020,0.06,0.06,0.88
 Drogenbos ,23098,nee,Voldoende groen buurt,2017,0.15,0.18,0.67
 Drogenbos ,23098,nee,Voldoende groen buurt,2020,0.2,0.11,0.69
 Duffel ,12009,nee,Voldoende groen buurt,2017,0.07,0.08,0.85
 Duffel ,12009,nee,Voldoende groen buurt,2020,0.07,0.1,0.83
 Edegem ,11013,nee,Voldoende groen buurt,2017,0.07,0.08,0.86
 Edegem ,11013,nee,Voldoende groen buurt,2020,0.06,0.08,0.85
 Eeklo ,43005,nee,Voldoende groen buurt,2017,0.14,0.12,0.74
