Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Aalst ,41002,ja,Tevredenheid over huisvuilvoorzieningen,2011,0.1,0.14,0.75
 Aalst ,41002,ja,Tevredenheid over huisvuilvoorzieningen,2014,0.07,0.12,0.81
 Aalst ,41002,ja,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.1,0.83
 Aalst ,41002,ja,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.11,0.83
 Aalter ,44001,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.02,0.02,0.96
 Aalter ,44084,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.09,0.1,0.81
 Aarschot ,24001,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.1,0.11,0.79
 Aarschot ,24001,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.08,0.11,0.8
 Aartselaar ,11001,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.07,0.88
 Aartselaar ,11001,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.11,0.85
 Affligem ,23105,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.11,0.09,0.8
 Affligem ,23105,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.12,0.11,0.77
 Alken ,73001,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.02,0.06,0.92
 Alken ,73001,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.02,0.06,0.92
 Alveringem ,38002,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.12,0.82
 Alveringem ,38002,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.12,0.09,0.79
 Antwerpen ,11002,ja,Tevredenheid over huisvuilvoorzieningen,2011,0.09,0.15,0.76
 Antwerpen ,11002,ja,Tevredenheid over huisvuilvoorzieningen,2014,0.1,0.13,0.77
 Antwerpen ,11002,ja,Tevredenheid over huisvuilvoorzieningen,2017,0.11,0.16,0.74
 Antwerpen ,11002,ja,Tevredenheid over huisvuilvoorzieningen,2020,0.13,0.15,0.71
 Anzegem ,34002,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.01,0.05,0.95
 Anzegem ,34002,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.1,0.11,0.79
 Ardooie ,37020,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.05,0.93
 Ardooie ,37020,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.04,0.92
 Arendonk ,13001,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.09,0.87
 Arendonk ,13001,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.09,0.88
 As ,71002,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.12,0.1,0.78
 As ,71002,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.08,0.14,0.79
 Asse ,23002,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.11,0.82
 Asse ,23002,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.09,0.13,0.78
 Assenede ,43002,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.12,0.83
 Assenede ,43002,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.09,0.85
 Avelgem ,34003,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.14,0.08,0.78
 Avelgem ,34003,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.1,0.1,0.81
 Baarle-Hertog ,13002,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.15,0.82
 Baarle-Hertog ,13002,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.12,0.83
 Balen ,13003,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.08,0.88
 Balen ,13003,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.02,0.07,0.9
 Beernem ,31003,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.13,0.79
 Beernem ,31003,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.07,0.89
 Beerse ,13004,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.1,0.84
 Beerse ,13004,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.08,0.87
 Beersel ,23003,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.1,0.15,0.75
 Beersel ,23003,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.15,0.79
 Begijnendijk ,24007,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.05,0.89
 Begijnendijk ,24007,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.07,0.87
 Bekkevoort ,24008,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.13,0.79
 Bekkevoort ,24008,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.14,0.81
 Beringen ,71004,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.11,0.84
 Beringen ,71004,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.13,0.82
 Berlaar ,12002,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.05,0.92
 Berlaar ,12002,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.02,0.04,0.94
 Berlare ,42003,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.09,0.11,0.8
 Berlare ,42003,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.08,0.12,0.8
 Bertem ,24009,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.1,0.86
 Bertem ,24009,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.06,0.88
 Bever ,23009,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.36,0.15,0.49
 Bever ,23009,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.35,0.18,0.47
 Beveren ,46003,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.12,0.81
 Beveren ,46003,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.11,0.82
 Bierbeek ,24011,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.08,0.84
 Bierbeek ,24011,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.07,0.89
 Bilzen ,73006,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.09,0.85
 Bilzen ,73006,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.07,0.89
 Blankenberge ,31004,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.07,0.89
 Blankenberge ,31004,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.1,0.84
 Bocholt ,72003,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.13,0.82
 Bocholt ,72003,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.12,0.81
 Boechout ,11004,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.09,0.88
 Boechout ,11004,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.05,0.91
 Bonheiden ,12005,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.08,0.86
 Bonheiden ,12005,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.1,0.85
 Boom ,11005,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.14,0.11,0.75
 Boom ,11005,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.11,0.1,0.79
 Boortmeerbeek ,24014,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.08,0.86
 Boortmeerbeek ,24014,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.12,0.12,0.76
 Borgloon ,73009,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.11,0.81
 Borgloon ,73009,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.08,0.1,0.81
 Bornem ,12007,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.06,0.9
 Bornem ,12007,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.1,0.84
 Borsbeek ,11007,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.15,0.11,0.74
 Borsbeek ,11007,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.16,0.1,0.74
 Boutersem ,24016,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.1,0.82
 Boutersem ,24016,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.1,0.83
 Brakel ,45059,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.04,0.89
 Brakel ,45059,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.06,0.9
 Brasschaat ,11008,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.05,0.92
 Brasschaat ,11008,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.05,0.9
 Brecht ,11009,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.09,0.83
 Brecht ,11009,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.08,0.86
 Bredene ,35002,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.07,0.91
 Bredene ,35002,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.08,0.88
 Bree ,72004,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.09,0.85
 Bree ,72004,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.1,0.84
 Brugge ,31005,ja,Tevredenheid over huisvuilvoorzieningen,2011,0.04,0.09,0.86
 Brugge ,31005,ja,Tevredenheid over huisvuilvoorzieningen,2014,0.05,0.09,0.86
 Brugge ,31005,ja,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.08,0.88
 Brugge ,31005,ja,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.08,0.86
 Buggenhout ,42004,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.08,0.86
 Buggenhout ,42004,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.06,0.88
 Damme ,31006,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.07,0.89
