Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/een uitzonderlijke keer (%) ,Minstens maandelijks (%),Minstens wekelijks (%) 
 Aalst ,41002,ja,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.28,0.26,0.46
 Aalst ,41002,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2014,0.56,0.27,0.16
 Aalst ,41002,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2017,0.53,0.25,0.23
 Aalst ,41002,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.5,0.27,0.23
 Aalst ,41002,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2014,0.44,0.23,0.33
 Aalst ,41002,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2017,0.46,0.2,0.34
 Aalst ,41002,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.38,0.19,0.43
 Aalst ,41002,ja,Milieubewust handelen (detail),Korte afstanden te voet,2014,0.17,0.25,0.58
 Aalst ,41002,ja,Milieubewust handelen (detail),Korte afstanden te voet,2017,0.18,0.23,0.59
 Aalst ,41002,ja,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.13,0.23,0.64
 Aalst ,41002,ja,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.34,0.08,0.58
 Aalst ,41002,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2014,0.54,0.24,0.22
 Aalst ,41002,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2017,0.58,0.23,0.2
 Aalst ,41002,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.35,0.3,0.35
 Aalst ,41002,ja,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.59,0.25,0.16
 Aalst ,41002,ja,Milieubewust handelen (detail),Seizoensgroenten,2017,0.37,0.26,0.37
 Aalst ,41002,ja,Milieubewust handelen (detail),Seizoensgroenten,2020,0.33,0.26,0.42
 Aalst ,41002,ja,Milieubewust handelen (detail),Vegetarisch eten,2017,0.7,0.18,0.12
 Aalst ,41002,ja,Milieubewust handelen (detail),Vegetarisch eten,2020,0.6,0.21,0.19
 Aalst ,41002,ja,Milieubewust handelen (detail),Weggooien eten beperken,2017,0.23,0.15,0.62
 Aalst ,41002,ja,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.15,0.67
 Aalter ,44084,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.27,0.25,0.48
 Aalter ,44084,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.5,0.3,0.2
 Aalter ,44084,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.27,0.23,0.5
 Aalter ,44084,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.18,0.21,0.61
 Aalter ,44084,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.32,0.06,0.62
 Aalter ,44084,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.27,0.31,0.42
 Aalter ,44084,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.59,0.24,0.17
 Aalter ,44084,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.26,0.28,0.46
 Aalter ,44084,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.62,0.19,0.19
 Aalter ,44084,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.17,0.11,0.73
 Aarschot ,24001,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.28,0.32,0.4
 Aarschot ,24001,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.49,0.3,0.21
 Aarschot ,24001,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.32,0.25,0.43
 Aarschot ,24001,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.16,0.27,0.57
 Aarschot ,24001,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.3,0.09,0.61
 Aarschot ,24001,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.29,0.33,0.39
 Aarschot ,24001,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.58,0.31,0.12
 Aarschot ,24001,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.27,0.32,0.41
 Aarschot ,24001,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.59,0.2,0.21
 Aarschot ,24001,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.17,0.14,0.69
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.3,0.22,0.48
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.54,0.2,0.26
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.3,0.21,0.48
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.16,0.23,0.62
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.32,0.06,0.61
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.38,0.3,0.33
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.57,0.25,0.17
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.31,0.3,0.39
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.61,0.19,0.2
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.13,0.69
 Affligem ,23105,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.26,0.33,0.41
 Affligem ,23105,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.47,0.36,0.17
 Affligem ,23105,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.46,0.24,0.3
 Affligem ,23105,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.16,0.31,0.53
