Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Laag (%),Middelmatig (%),Hoog (%)
 Aalst ,41002,ja,Milieubewust handelen,2020,0.25,0.5,0.26
 Aalter ,44084,nee,Milieubewust handelen,2020,0.2,0.51,0.29
 Aarschot ,24001,nee,Milieubewust handelen,2020,0.23,0.49,0.27
 Aartselaar ,11001,nee,Milieubewust handelen,2020,0.23,0.51,0.27
 Affligem ,23105,nee,Milieubewust handelen,2020,0.26,0.51,0.23
 Alken ,73001,nee,Milieubewust handelen,2020,0.27,0.5,0.23
 Alveringem ,38002,nee,Milieubewust handelen,2020,0.29,0.48,0.23
 Antwerpen ,11002,ja,Milieubewust handelen,2020,0.2,0.44,0.36
 Anzegem ,34002,nee,Milieubewust handelen,2020,0.33,0.44,0.22
 Ardooie ,37020,nee,Milieubewust handelen,2020,0.28,0.49,0.22
 Arendonk ,13001,nee,Milieubewust handelen,2020,0.2,0.53,0.27
 As ,71002,nee,Milieubewust handelen,2020,0.27,0.49,0.23
 Asse ,23002,nee,Milieubewust handelen,2020,0.26,0.5,0.24
 Assenede ,43002,nee,Milieubewust handelen,2020,0.21,0.52,0.28
 Avelgem ,34003,nee,Milieubewust handelen,2020,0.34,0.47,0.19
 Baarle-Hertog ,13002,nee,Milieubewust handelen,2020,0.16,0.51,0.33
 Balen ,13003,nee,Milieubewust handelen,2020,0.25,0.54,0.21
 Beernem ,31003,nee,Milieubewust handelen,2020,0.21,0.52,0.27
 Beerse ,13004,nee,Milieubewust handelen,2020,0.21,0.5,0.29
 Beersel ,23003,nee,Milieubewust handelen,2020,0.18,0.54,0.28
 Begijnendijk ,24007,nee,Milieubewust handelen,2020,0.21,0.58,0.21
 Bekkevoort ,24008,nee,Milieubewust handelen,2020,0.24,0.49,0.27
 Beringen ,71004,nee,Milieubewust handelen,2020,0.22,0.55,0.23
 Berlaar ,12002,nee,Milieubewust handelen,2020,0.18,0.53,0.29
 Berlare ,42003,nee,Milieubewust handelen,2020,0.27,0.51,0.22
 Bertem ,24009,nee,Milieubewust handelen,2020,0.23,0.46,0.31
 Bever ,23009,nee,Milieubewust handelen,2020,0.28,0.44,0.28
 Beveren ,46003,nee,Milieubewust handelen,2020,0.23,0.5,0.27
 Bierbeek ,24011,nee,Milieubewust handelen,2020,0.17,0.48,0.35
 Bilzen ,73006,nee,Milieubewust handelen,2020,0.23,0.5,0.26
 Blankenberge ,31004,nee,Milieubewust handelen,2020,0.24,0.49,0.27
 Bocholt ,72003,nee,Milieubewust handelen,2020,0.27,0.5,0.23
 Boechout ,11004,nee,Milieubewust handelen,2020,0.14,0.47,0.39
 Bonheiden ,12005,nee,Milieubewust handelen,2020,0.2,0.46,0.35
 Boom ,11005,nee,Milieubewust handelen,2020,0.29,0.44,0.27
 Boortmeerbeek ,24014,nee,Milieubewust handelen,2020,0.21,0.47,0.32
 Borgloon ,73009,nee,Milieubewust handelen,2020,0.28,0.5,0.22
 Bornem ,12007,nee,Milieubewust handelen,2020,0.23,0.46,0.31
 Borsbeek ,11007,nee,Milieubewust handelen,2020,0.22,0.48,0.3
