ID,Naam indicator 
LO_S_01,Bereidheid om mee te praten over de gemeente
LO_S_02,Contact gemeente
LO_S_03,Tevredenheid over communicatie van gemeentebestuur
LO_S_04,Tevredenheid over digitale dienstverlening
LO_S_05,Tevredenheid over loketvoorzieningen 
LO_S_06,Tevredenheid over stimuli voor samenleven
LO_S_07,Voldoende consultatie van inwoners (detail)
LO_S_08,Voldoende informatie door gemeente (detail)
LO_S_09_1,Vertrouwen in gemeentebestuur
LO_S_09_2,Vertrouwen in Vlaamse overheid
LO_S_09_3,Vertrouwen in federale overheid
LO_S_09_4,Vertrouwen in Europese overheid
LO_S_10,Vertrouwen in politie 
LO_S_11,Voldoende consultatie van inwoners
LO_S_12,Voldoende informatie door gemeente
,
Meer info op onze website.,
