Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Tevredenheid over digitale dienstverlening ,2020,0.09,0.2,0.71
 Aalter ,44001,nee,Tevredenheid over digitale dienstverlening ,2017,0.08,0.17,0.76
 Aalter ,44084,nee,Tevredenheid over digitale dienstverlening ,2020,0.07,0.17,0.76
 Aarschot ,24001,nee,Tevredenheid over digitale dienstverlening ,2017,0.15,0.32,0.52
 Aarschot ,24001,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.33,0.56
 Aartselaar ,11001,nee,Tevredenheid over digitale dienstverlening ,2017,0.05,0.22,0.73
 Aartselaar ,11001,nee,Tevredenheid over digitale dienstverlening ,2020,0.08,0.21,0.71
 Affligem ,23105,nee,Tevredenheid over digitale dienstverlening ,2017,0.1,0.24,0.66
 Affligem ,23105,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.23,0.68
 Alken ,73001,nee,Tevredenheid over digitale dienstverlening ,2017,0.08,0.21,0.71
 Alken ,73001,nee,Tevredenheid over digitale dienstverlening ,2020,0.06,0.18,0.77
 Alveringem ,38002,nee,Tevredenheid over digitale dienstverlening ,2017,0.09,0.26,0.65
 Alveringem ,38002,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.24,0.66
 Antwerpen ,11002,ja,Tevredenheid over digitale dienstverlening ,2020,0.12,0.2,0.68
 Anzegem ,34002,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.26,0.67
 Anzegem ,34002,nee,Tevredenheid over digitale dienstverlening ,2020,0.06,0.24,0.69
 Ardooie ,37020,nee,Tevredenheid over digitale dienstverlening ,2017,0.05,0.21,0.75
 Ardooie ,37020,nee,Tevredenheid over digitale dienstverlening ,2020,0.02,0.16,0.82
 Arendonk ,13001,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.34,0.6
 Arendonk ,13001,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.21,0.68
 As ,71002,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.24,0.69
 As ,71002,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.18,0.7
 Asse ,23002,nee,Tevredenheid over digitale dienstverlening ,2017,0.11,0.31,0.57
 Asse ,23002,nee,Tevredenheid over digitale dienstverlening ,2020,0.12,0.23,0.66
 Assenede ,43002,nee,Tevredenheid over digitale dienstverlening ,2017,0.11,0.29,0.6
 Assenede ,43002,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.2,0.69
 Avelgem ,34003,nee,Tevredenheid over digitale dienstverlening ,2017,0.1,0.25,0.65
 Avelgem ,34003,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.21,0.68
 Baarle-Hertog ,13002,nee,Tevredenheid over digitale dienstverlening ,2017,0.1,0.33,0.57
 Baarle-Hertog ,13002,nee,Tevredenheid over digitale dienstverlening ,2020,0.12,0.25,0.63
 Balen ,13003,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.27,0.66
 Balen ,13003,nee,Tevredenheid over digitale dienstverlening ,2020,0.05,0.22,0.73
 Beernem ,31003,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.24,0.7
 Beernem ,31003,nee,Tevredenheid over digitale dienstverlening ,2020,0.06,0.23,0.71
 Beerse ,13004,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.24,0.69
 Beerse ,13004,nee,Tevredenheid over digitale dienstverlening ,2020,0.16,0.21,0.63
 Beersel ,23003,nee,Tevredenheid over digitale dienstverlening ,2017,0.11,0.25,0.64
 Beersel ,23003,nee,Tevredenheid over digitale dienstverlening ,2020,0.12,0.23,0.65
 Begijnendijk ,24007,nee,Tevredenheid over digitale dienstverlening ,2017,0.13,0.25,0.62
 Begijnendijk ,24007,nee,Tevredenheid over digitale dienstverlening ,2020,0.1,0.26,0.65
 Bekkevoort ,24008,nee,Tevredenheid over digitale dienstverlening ,2017,0.09,0.28,0.64
 Bekkevoort ,24008,nee,Tevredenheid over digitale dienstverlening ,2020,0.07,0.26,0.68
