Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.17,0.44,0.39
 Aalst ,41002,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.25,0.34,0.41
 Aalst ,41002,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2008,0.41,0.29,0.3
 Aalst ,41002,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2011,0.37,0.35,0.29
 Aalst ,41002,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2014,0.34,0.33,0.32
 Aalst ,41002,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.28,0.32,0.41
 Aalst ,41002,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.33,0.3,0.37
 Aalter ,44001,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.17,0.25,0.58
 Aalter ,44084,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.26,0.27,0.47
 Aalter ,44001,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.16,0.22,0.62
 Aalter ,44084,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.29,0.24,0.47
 Aarschot ,24001,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.26,0.39,0.35
 Aarschot ,24001,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.27,0.4,0.33
 Aarschot ,24001,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.31,0.33,0.35
 Aarschot ,24001,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.33,0.34,0.32
 Aartselaar ,11001,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.22,0.27,0.51
 Aartselaar ,11001,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.22,0.27,0.52
 Aartselaar ,11001,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.24,0.23,0.53
 Aartselaar ,11001,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.26,0.26,0.48
 Affligem ,23105,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.22,0.31,0.47
 Affligem ,23105,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.24,0.26,0.5
 Affligem ,23105,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.26,0.28,0.46
 Affligem ,23105,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.27,0.32,0.41
 Alken ,73001,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.15,0.28,0.57
 Alken ,73001,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.13,0.27,0.61
 Alken ,73001,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.12,0.22,0.66
 Alken ,73001,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.17,0.21,0.63
 Alveringem ,38002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.21,0.22,0.57
 Alveringem ,38002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.18,0.27,0.55
 Alveringem ,38002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.25,0.24,0.52
 Alveringem ,38002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.28,0.26,0.46
 Antwerpen ,11002,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.22,0.44,0.34
 Antwerpen ,11002,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.24,0.36,0.39
 Antwerpen ,11002,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2008,0.35,0.29,0.36
 Antwerpen ,11002,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2011,0.31,0.33,0.36
 Antwerpen ,11002,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2014,0.35,0.31,0.34
 Antwerpen ,11002,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.31,0.33,0.36
 Antwerpen ,11002,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.31,0.32,0.37
 Anzegem ,34002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.13,0.23,0.64
 Anzegem ,34002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.2,0.3,0.5
 Anzegem ,34002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.13,0.23,0.64
 Anzegem ,34002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.28,0.26,0.45
 Ardooie ,37020,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.19,0.27,0.54
 Ardooie ,37020,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.16,0.23,0.61
 Ardooie ,37020,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.22,0.3,0.48
 Ardooie ,37020,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.21,0.26,0.53
 Arendonk ,13001,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.12,0.33,0.55
 Arendonk ,13001,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.18,0.3,0.53
 Arendonk ,13001,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.14,0.32,0.53
 Arendonk ,13001,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.18,0.29,0.53
 As ,71002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.17,0.26,0.58
 As ,71002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.19,0.26,0.55
