Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Weinig (%),Neutraal (%),Veel (%)
 Aalst ,41002,ja,Vertrouwen in politie ,2008,0.25,0.42,0.33
 Aalst ,41002,ja,Vertrouwen in politie ,2011,0.26,0.44,0.3
 Aalst ,41002,ja,Vertrouwen in politie ,2014,0.26,0.44,0.3
 Aalst ,41002,ja,Vertrouwen in politie ,2017,0.2,0.41,0.39
 Aalst ,41002,ja,Vertrouwen in politie ,2020,0.19,0.38,0.43
 Aalter ,44001,nee,Vertrouwen in politie ,2017,0.1,0.29,0.61
 Aalter ,44084,nee,Vertrouwen in politie ,2020,0.12,0.34,0.53
 Aarschot ,24001,nee,Vertrouwen in politie ,2017,0.14,0.4,0.46
 Aarschot ,24001,nee,Vertrouwen in politie ,2020,0.15,0.46,0.39
 Aartselaar ,11001,nee,Vertrouwen in politie ,2017,0.14,0.35,0.51
 Aartselaar ,11001,nee,Vertrouwen in politie ,2020,0.14,0.36,0.5
 Affligem ,23105,nee,Vertrouwen in politie ,2017,0.15,0.35,0.5
 Affligem ,23105,nee,Vertrouwen in politie ,2020,0.15,0.44,0.41
 Alken ,73001,nee,Vertrouwen in politie ,2017,0.11,0.4,0.49
 Alken ,73001,nee,Vertrouwen in politie ,2020,0.13,0.37,0.5
 Alveringem ,38002,nee,Vertrouwen in politie ,2017,0.12,0.39,0.5
 Alveringem ,38002,nee,Vertrouwen in politie ,2020,0.19,0.37,0.45
 Antwerpen ,11002,ja,Vertrouwen in politie ,2008,0.26,0.39,0.35
 Antwerpen ,11002,ja,Vertrouwen in politie ,2011,0.25,0.43,0.31
 Antwerpen ,11002,ja,Vertrouwen in politie ,2014,0.25,0.4,0.35
 Antwerpen ,11002,ja,Vertrouwen in politie ,2017,0.21,0.37,0.42
 Antwerpen ,11002,ja,Vertrouwen in politie ,2020,0.21,0.37,0.42
 Anzegem ,34002,nee,Vertrouwen in politie ,2017,0.11,0.4,0.49
 Anzegem ,34002,nee,Vertrouwen in politie ,2020,0.12,0.41,0.47
 Ardooie ,37020,nee,Vertrouwen in politie ,2017,0.1,0.38,0.52
 Ardooie ,37020,nee,Vertrouwen in politie ,2020,0.13,0.3,0.57
 Arendonk ,13001,nee,Vertrouwen in politie ,2017,0.12,0.4,0.48
 Arendonk ,13001,nee,Vertrouwen in politie ,2020,0.11,0.41,0.47
 As ,71002,nee,Vertrouwen in politie ,2017,0.13,0.4,0.48
 As ,71002,nee,Vertrouwen in politie ,2020,0.11,0.37,0.52
 Asse ,23002,nee,Vertrouwen in politie ,2017,0.15,0.33,0.52
 Asse ,23002,nee,Vertrouwen in politie ,2020,0.17,0.38,0.45
 Assenede ,43002,nee,Vertrouwen in politie ,2017,0.14,0.38,0.48
 Assenede ,43002,nee,Vertrouwen in politie ,2020,0.17,0.38,0.46
 Avelgem ,34003,nee,Vertrouwen in politie ,2017,0.16,0.47,0.37
 Avelgem ,34003,nee,Vertrouwen in politie ,2020,0.15,0.37,0.48
 Baarle-Hertog ,13002,nee,Vertrouwen in politie ,2017,0.18,0.41,0.41
 Baarle-Hertog ,13002,nee,Vertrouwen in politie ,2020,0.14,0.42,0.44
 Balen ,13003,nee,Vertrouwen in politie ,2017,0.16,0.38,0.46
 Balen ,13003,nee,Vertrouwen in politie ,2020,0.14,0.38,0.48
 Beernem ,31003,nee,Vertrouwen in politie ,2017,0.12,0.36,0.51
 Beernem ,31003,nee,Vertrouwen in politie ,2020,0.13,0.37,0.5
 Beerse ,13004,nee,Vertrouwen in politie ,2017,0.11,0.42,0.47
 Beerse ,13004,nee,Vertrouwen in politie ,2020,0.14,0.39,0.47
 Beersel ,23003,nee,Vertrouwen in politie ,2017,0.15,0.34,0.51
 Beersel ,23003,nee,Vertrouwen in politie ,2020,0.16,0.38,0.46
 Begijnendijk ,24007,nee,Vertrouwen in politie ,2017,0.17,0.39,0.44
 Begijnendijk ,24007,nee,Vertrouwen in politie ,2020,0.17,0.44,0.39
 Bekkevoort ,24008,nee,Vertrouwen in politie ,2017,0.15,0.33,0.52
 Bekkevoort ,24008,nee,Vertrouwen in politie ,2020,0.12,0.4,0.48
 Beringen ,71004,nee,Vertrouwen in politie ,2017,0.14,0.41,0.45
 Beringen ,71004,nee,Vertrouwen in politie ,2020,0.17,0.36,0.46
 Berlaar ,12002,nee,Vertrouwen in politie ,2017,0.12,0.34,0.54
 Berlaar ,12002,nee,Vertrouwen in politie ,2020,0.13,0.38,0.49
 Berlare ,42003,nee,Vertrouwen in politie ,2017,0.1,0.42,0.49
 Berlare ,42003,nee,Vertrouwen in politie ,2020,0.13,0.39,0.48
 Bertem ,24009,nee,Vertrouwen in politie ,2017,0.1,0.4,0.5
 Bertem ,24009,nee,Vertrouwen in politie ,2020,0.16,0.37,0.47
 Bever ,23009,nee,Vertrouwen in politie ,2017,0.18,0.42,0.39
 Bever ,23009,nee,Vertrouwen in politie ,2020,0.15,0.37,0.49
 Beveren ,46003,nee,Vertrouwen in politie ,2017,0.15,0.37,0.48
 Beveren ,46003,nee,Vertrouwen in politie ,2020,0.15,0.4,0.45
 Bierbeek ,24011,nee,Vertrouwen in politie ,2017,0.1,0.36,0.54
 Bierbeek ,24011,nee,Vertrouwen in politie ,2020,0.13,0.37,0.5
 Bilzen ,73006,nee,Vertrouwen in politie ,2017,0.16,0.35,0.49
 Bilzen ,73006,nee,Vertrouwen in politie ,2020,0.19,0.34,0.47
 Blankenberge ,31004,nee,Vertrouwen in politie ,2017,0.18,0.35,0.47
 Blankenberge ,31004,nee,Vertrouwen in politie ,2020,0.17,0.3,0.53
 Bocholt ,72003,nee,Vertrouwen in politie ,2017,0.16,0.41,0.43
 Bocholt ,72003,nee,Vertrouwen in politie ,2020,0.14,0.44,0.42
 Boechout ,11004,nee,Vertrouwen in politie ,2017,0.17,0.4,0.44
 Boechout ,11004,nee,Vertrouwen in politie ,2020,0.17,0.39,0.44
 Bonheiden ,12005,nee,Vertrouwen in politie ,2017,0.12,0.33,0.55
