Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Voldoende consultatie van inwoners,2017,0.31,0.69
 Aalst ,41002,ja,Voldoende consultatie van inwoners,2020,0.29,0.71
 Aalter ,44001,nee,Voldoende consultatie van inwoners,2017,0.52,0.48
 Aalter ,44084,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Aarschot ,24001,nee,Voldoende consultatie van inwoners,2017,0.29,0.71
 Aarschot ,24001,nee,Voldoende consultatie van inwoners,2020,0.24,0.76
 Aartselaar ,11001,nee,Voldoende consultatie van inwoners,2017,0.45,0.55
 Aartselaar ,11001,nee,Voldoende consultatie van inwoners,2020,0.43,0.57
 Affligem ,23105,nee,Voldoende consultatie van inwoners,2017,0.4,0.6
 Affligem ,23105,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Alken ,73001,nee,Voldoende consultatie van inwoners,2017,0.52,0.48
 Alken ,73001,nee,Voldoende consultatie van inwoners,2020,0.52,0.48
 Alveringem ,38002,nee,Voldoende consultatie van inwoners,2017,0.48,0.52
 Alveringem ,38002,nee,Voldoende consultatie van inwoners,2020,0.46,0.54
 Antwerpen ,11002,ja,Voldoende consultatie van inwoners,2017,0.27,0.73
 Antwerpen ,11002,ja,Voldoende consultatie van inwoners,2020,0.29,0.71
 Anzegem ,34002,nee,Voldoende consultatie van inwoners,2017,0.6,0.4
 Anzegem ,34002,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Ardooie ,37020,nee,Voldoende consultatie van inwoners,2017,0.46,0.54
 Ardooie ,37020,nee,Voldoende consultatie van inwoners,2020,0.49,0.51
 Arendonk ,13001,nee,Voldoende consultatie van inwoners,2017,0.47,0.53
 Arendonk ,13001,nee,Voldoende consultatie van inwoners,2020,0.43,0.57
 As ,71002,nee,Voldoende consultatie van inwoners,2017,0.56,0.44
 As ,71002,nee,Voldoende consultatie van inwoners,2020,0.54,0.46
 Asse ,23002,nee,Voldoende consultatie van inwoners,2017,0.28,0.72
 Asse ,23002,nee,Voldoende consultatie van inwoners,2020,0.28,0.72
 Assenede ,43002,nee,Voldoende consultatie van inwoners,2017,0.33,0.67
 Assenede ,43002,nee,Voldoende consultatie van inwoners,2020,0.32,0.68
 Avelgem ,34003,nee,Voldoende consultatie van inwoners,2017,0.4,0.6
 Avelgem ,34003,nee,Voldoende consultatie van inwoners,2020,0.48,0.52
 Baarle-Hertog ,13002,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Baarle-Hertog ,13002,nee,Voldoende consultatie van inwoners,2020,0.32,0.68
 Balen ,13003,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Balen ,13003,nee,Voldoende consultatie van inwoners,2020,0.36,0.64
 Beernem ,31003,nee,Voldoende consultatie van inwoners,2017,0.48,0.52
 Beernem ,31003,nee,Voldoende consultatie van inwoners,2020,0.49,0.51
 Beerse ,13004,nee,Voldoende consultatie van inwoners,2017,0.33,0.67
 Beerse ,13004,nee,Voldoende consultatie van inwoners,2020,0.29,0.71
 Beersel ,23003,nee,Voldoende consultatie van inwoners,2017,0.32,0.68
 Beersel ,23003,nee,Voldoende consultatie van inwoners,2020,0.27,0.73
 Begijnendijk ,24007,nee,Voldoende consultatie van inwoners,2017,0.34,0.66
 Begijnendijk ,24007,nee,Voldoende consultatie van inwoners,2020,0.36,0.64
 Bekkevoort ,24008,nee,Voldoende consultatie van inwoners,2017,0.54,0.46
 Bekkevoort ,24008,nee,Voldoende consultatie van inwoners,2020,0.46,0.54
 Beringen ,71004,nee,Voldoende consultatie van inwoners,2017,0.34,0.66
 Beringen ,71004,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Berlaar ,12002,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Berlaar ,12002,nee,Voldoende consultatie van inwoners,2020,0.39,0.61
 Berlare ,42003,nee,Voldoende consultatie van inwoners,2017,0.42,0.58
 Berlare ,42003,nee,Voldoende consultatie van inwoners,2020,0.38,0.62
 Bertem ,24009,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Bertem ,24009,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Bever ,23009,nee,Voldoende consultatie van inwoners,2017,0.31,0.69
 Bever ,23009,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Beveren ,46003,nee,Voldoende consultatie van inwoners,2017,0.43,0.57
 Beveren ,46003,nee,Voldoende consultatie van inwoners,2020,0.39,0.61
 Bierbeek ,24011,nee,Voldoende consultatie van inwoners,2017,0.49,0.51
 Bierbeek ,24011,nee,Voldoende consultatie van inwoners,2020,0.46,0.54
 Bilzen ,73006,nee,Voldoende consultatie van inwoners,2017,0.42,0.58
 Bilzen ,73006,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Blankenberge ,31004,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Blankenberge ,31004,nee,Voldoende consultatie van inwoners,2020,0.29,0.71
 Bocholt ,72003,nee,Voldoende consultatie van inwoners,2017,0.39,0.61
 Bocholt ,72003,nee,Voldoende consultatie van inwoners,2020,0.35,0.65
 Boechout ,11004,nee,Voldoende consultatie van inwoners,2017,0.52,0.48
 Boechout ,11004,nee,Voldoende consultatie van inwoners,2020,0.52,0.48
 Bonheiden ,12005,nee,Voldoende consultatie van inwoners,2017,0.49,0.51
 Bonheiden ,12005,nee,Voldoende consultatie van inwoners,2020,0.38,0.62
 Boom ,11005,nee,Voldoende consultatie van inwoners,2017,0.26,0.74
 Boom ,11005,nee,Voldoende consultatie van inwoners,2020,0.36,0.64
 Boortmeerbeek ,24014,nee,Voldoende consultatie van inwoners,2017,0.34,0.66
 Boortmeerbeek ,24014,nee,Voldoende consultatie van inwoners,2020,0.28,0.72
 Borgloon ,73009,nee,Voldoende consultatie van inwoners,2017,0.36,0.64
 Borgloon ,73009,nee,Voldoende consultatie van inwoners,2020,0.29,0.71
 Bornem ,12007,nee,Voldoende consultatie van inwoners,2017,0.35,0.65
 Bornem ,12007,nee,Voldoende consultatie van inwoners,2020,0.29,0.71
 Borsbeek ,11007,nee,Voldoende consultatie van inwoners,2017,0.44,0.56
 Borsbeek ,11007,nee,Voldoende consultatie van inwoners,2020,0.42,0.58
 Boutersem ,24016,nee,Voldoende consultatie van inwoners,2017,0.33,0.67
 Boutersem ,24016,nee,Voldoende consultatie van inwoners,2020,0.28,0.72
 Brakel ,45059,nee,Voldoende consultatie van inwoners,2017,0.34,0.66
 Brakel ,45059,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Brasschaat ,11008,nee,Voldoende consultatie van inwoners,2017,0.44,0.56
 Brasschaat ,11008,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Brecht ,11009,nee,Voldoende consultatie van inwoners,2017,0.38,0.62
 Brecht ,11009,nee,Voldoende consultatie van inwoners,2020,0.31,0.69
 Bredene ,35002,nee,Voldoende consultatie van inwoners,2017,0.59,0.41
 Bredene ,35002,nee,Voldoende consultatie van inwoners,2020,0.54,0.46
 Bree ,72004,nee,Voldoende consultatie van inwoners,2017,0.45,0.55
 Bree ,72004,nee,Voldoende consultatie van inwoners,2020,0.46,0.54
 Brugge ,31005,ja,Voldoende consultatie van inwoners,2017,0.33,0.67
 Brugge ,31005,ja,Voldoende consultatie van inwoners,2020,0.49,0.51
 Buggenhout ,42004,nee,Voldoende consultatie van inwoners,2017,0.45,0.55
 Buggenhout ,42004,nee,Voldoende consultatie van inwoners,2020,0.37,0.63
 Damme ,31006,nee,Voldoende consultatie van inwoners,2017,0.39,0.61
 Damme ,31006,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 De Haan ,35029,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 De Haan ,35029,nee,Voldoende consultatie van inwoners,2020,0.43,0.57
 De Panne ,38008,nee,Voldoende consultatie van inwoners,2017,0.45,0.55
 De Panne ,38008,nee,Voldoende consultatie van inwoners,2020,0.56,0.44
 De Pinte ,44012,nee,Voldoende consultatie van inwoners,2017,0.63,0.37
 De Pinte ,44012,nee,Voldoende consultatie van inwoners,2020,0.56,0.44
 Deerlijk ,34009,nee,Voldoende consultatie van inwoners,2017,0.4,0.6
 Deerlijk ,34009,nee,Voldoende consultatie van inwoners,2020,0.36,0.64
 Deinze ,44011,nee,Voldoende consultatie van inwoners,2017,0.35,0.65
 Deinze ,44083,nee,Voldoende consultatie van inwoners,2020,0.28,0.72
 Denderleeuw ,41011,nee,Voldoende consultatie van inwoners,2017,0.3,0.7
 Denderleeuw ,41011,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Dendermonde ,42006,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Dendermonde ,42006,nee,Voldoende consultatie van inwoners,2020,0.41,0.59
 Dentergem ,37002,nee,Voldoende consultatie van inwoners,2017,0.42,0.58
 Dentergem ,37002,nee,Voldoende consultatie van inwoners,2020,0.38,0.62
 Dessel ,13006,nee,Voldoende consultatie van inwoners,2017,0.5,0.5
 Dessel ,13006,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Destelbergen ,44013,nee,Voldoende consultatie van inwoners,2017,0.33,0.67
 Destelbergen ,44013,nee,Voldoende consultatie van inwoners,2020,0.31,0.69
 Diepenbeek ,71011,nee,Voldoende consultatie van inwoners,2017,0.44,0.56
 Diepenbeek ,71011,nee,Voldoende consultatie van inwoners,2020,0.45,0.55
 Diest ,24020,nee,Voldoende consultatie van inwoners,2017,0.36,0.64
 Diest ,24020,nee,Voldoende consultatie van inwoners,2020,0.45,0.55
 Diksmuide ,32003,nee,Voldoende consultatie van inwoners,2017,0.39,0.61
 Diksmuide ,32003,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Dilbeek ,23016,nee,Voldoende consultatie van inwoners,2017,0.3,0.7
 Dilbeek ,23016,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Dilsen-Stokkem ,72041,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Dilsen-Stokkem ,72041,nee,Voldoende consultatie van inwoners,2020,0.42,0.58
 Drogenbos ,23098,nee,Voldoende consultatie van inwoners,2017,0.51,0.49
 Drogenbos ,23098,nee,Voldoende consultatie van inwoners,2020,0.49,0.51
 Duffel ,12009,nee,Voldoende consultatie van inwoners,2017,0.4,0.6
 Duffel ,12009,nee,Voldoende consultatie van inwoners,2020,0.41,0.59
 Edegem ,11013,nee,Voldoende consultatie van inwoners,2017,0.52,0.48
 Edegem ,11013,nee,Voldoende consultatie van inwoners,2020,0.34,0.66
 Eeklo ,43005,nee,Voldoende consultatie van inwoners,2017,0.32,0.68
 Eeklo ,43005,nee,Voldoende consultatie van inwoners,2020,0.27,0.73
 Erpe-Mere ,41082,nee,Voldoende consultatie van inwoners,2017,0.49,0.51
 Erpe-Mere ,41082,nee,Voldoende consultatie van inwoners,2020,0.37,0.63
 Essen ,11016,nee,Voldoende consultatie van inwoners,2017,0.42,0.58
 Essen ,11016,nee,Voldoende consultatie van inwoners,2020,0.39,0.61
 Evergem ,44019,nee,Voldoende consultatie van inwoners,2017,0.43,0.57
 Evergem ,44019,nee,Voldoende consultatie van inwoners,2020,0.5,0.5
 Galmaarden ,23023,nee,Voldoende consultatie van inwoners,2017,0.3,0.7
 Galmaarden ,23023,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Gavere ,44020,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Gavere ,44020,nee,Voldoende consultatie van inwoners,2020,0.34,0.66
 Geel ,13008,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Geel ,13008,nee,Voldoende consultatie van inwoners,2020,0.37,0.63
 Geetbets ,24028,nee,Voldoende consultatie van inwoners,2017,0.47,0.53
 Geetbets ,24028,nee,Voldoende consultatie van inwoners,2020,0.45,0.55
 Genk ,71016,ja,Voldoende consultatie van inwoners,2017,0.45,0.55
 Genk ,71016,ja,Voldoende consultatie van inwoners,2020,0.41,0.59
 Gent ,44021,ja,Voldoende consultatie van inwoners,2017,0.34,0.66
 Gent ,44021,ja,Voldoende consultatie van inwoners,2020,0.32,0.68
 Geraardsbergen ,41018,nee,Voldoende consultatie van inwoners,2017,0.33,0.67
 Geraardsbergen ,41018,nee,Voldoende consultatie van inwoners,2020,0.23,0.77
 Gingelom ,71017,nee,Voldoende consultatie van inwoners,2017,0.51,0.49
 Gingelom ,71017,nee,Voldoende consultatie van inwoners,2020,0.46,0.54
 Gistel ,35005,nee,Voldoende consultatie van inwoners,2017,0.34,0.66
 Gistel ,35005,nee,Voldoende consultatie van inwoners,2020,0.42,0.58
 Glabbeek ,24137,nee,Voldoende consultatie van inwoners,2017,0.65,0.35
 Glabbeek ,24137,nee,Voldoende consultatie van inwoners,2020,0.6,0.4
 Gooik ,23024,nee,Voldoende consultatie van inwoners,2017,0.49,0.51
 Gooik ,23024,nee,Voldoende consultatie van inwoners,2020,0.44,0.56
 Grimbergen ,23025,nee,Voldoende consultatie van inwoners,2017,0.28,0.72
 Grimbergen ,23025,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Grobbendonk ,13010,nee,Voldoende consultatie van inwoners,2017,0.32,0.68
 Grobbendonk ,13010,nee,Voldoende consultatie van inwoners,2020,0.45,0.55
 Haacht ,24033,nee,Voldoende consultatie van inwoners,2017,0.34,0.66
 Haacht ,24033,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Haaltert ,41024,nee,Voldoende consultatie van inwoners,2017,0.33,0.67
 Haaltert ,41024,nee,Voldoende consultatie van inwoners,2020,0.26,0.74
 Halen ,71020,nee,Voldoende consultatie van inwoners,2017,0.38,0.62
 Halen ,71020,nee,Voldoende consultatie van inwoners,2020,0.39,0.61
 Halle ,23027,nee,Voldoende consultatie van inwoners,2017,0.24,0.76
 Halle ,23027,nee,Voldoende consultatie van inwoners,2020,0.26,0.74
 Ham ,71069,nee,Voldoende consultatie van inwoners,2017,0.43,0.57
 Ham ,71069,nee,Voldoende consultatie van inwoners,2020,0.41,0.59
 Hamme ,42008,nee,Voldoende consultatie van inwoners,2017,0.34,0.66
 Hamme ,42008,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Hamont-Achel ,72037,nee,Voldoende consultatie van inwoners,2017,0.49,0.51
 Hamont-Achel ,72037,nee,Voldoende consultatie van inwoners,2020,0.32,0.68
 Harelbeke ,34013,nee,Voldoende consultatie van inwoners,2017,0.44,0.56
 Harelbeke ,34013,nee,Voldoende consultatie van inwoners,2020,0.31,0.69
 Hasselt ,71022,ja,Voldoende consultatie van inwoners,2017,0.31,0.69
 Hasselt ,71022,ja,Voldoende consultatie van inwoners,2020,0.33,0.67
 Hechtel ,72038,nee,Voldoende consultatie van inwoners,2017,0.55,0.45
 Hechtel ,72038,nee,Voldoende consultatie van inwoners,2020,0.51,0.49
 Heers ,73022,nee,Voldoende consultatie van inwoners,2017,0.49,0.51
 Heers ,73022,nee,Voldoende consultatie van inwoners,2020,0.55,0.45
 Heist-Op-Den-Berg ,12014,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Heist-Op-Den-Berg ,12014,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Hemiksem ,11018,nee,Voldoende consultatie van inwoners,2017,0.38,0.62
 Hemiksem ,11018,nee,Voldoende consultatie van inwoners,2020,0.32,0.68
 Herent ,24038,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Herent ,24038,nee,Voldoende consultatie van inwoners,2020,0.24,0.76
 Herentals ,13011,nee,Voldoende consultatie van inwoners,2017,0.34,0.66
 Herentals ,13011,nee,Voldoende consultatie van inwoners,2020,0.35,0.65
 Herenthout ,13012,nee,Voldoende consultatie van inwoners,2017,0.47,0.53
 Herenthout ,13012,nee,Voldoende consultatie van inwoners,2020,0.44,0.56
 Herk-De-Stad ,71024,nee,Voldoende consultatie van inwoners,2017,0.42,0.58
 Herk-De-Stad ,71024,nee,Voldoende consultatie van inwoners,2020,0.38,0.62
 Herne ,23032,nee,Voldoende consultatie van inwoners,2017,0.6,0.4
 Herne ,23032,nee,Voldoende consultatie van inwoners,2020,0.64,0.36
 Herselt ,13013,nee,Voldoende consultatie van inwoners,2017,0.39,0.61
 Herselt ,13013,nee,Voldoende consultatie van inwoners,2020,0.41,0.59
 Herzele ,41027,nee,Voldoende consultatie van inwoners,2017,0.39,0.61
 Herzele ,41027,nee,Voldoende consultatie van inwoners,2020,0.45,0.55
 Heusden-Zolder ,71070,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Heusden-Zolder ,71070,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Heuvelland ,33039,nee,Voldoende consultatie van inwoners,2017,0.4,0.6
 Heuvelland ,33039,nee,Voldoende consultatie van inwoners,2020,0.42,0.58
 Hoegaarden ,24041,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Hoegaarden ,24041,nee,Voldoende consultatie van inwoners,2020,0.28,0.72
 Hoeilaart ,23033,nee,Voldoende consultatie van inwoners,2017,0.52,0.48
 Hoeilaart ,23033,nee,Voldoende consultatie van inwoners,2020,0.49,0.51
 Hoeselt ,73032,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Hoeselt ,73032,nee,Voldoende consultatie van inwoners,2020,0.22,0.78
