ID,Naam indicator 
MO_S_01_1,Tevredenheid over staat van voetpaden
MO_S_01_2,Tevredenheid over staat van fietspaden
MO_S_01_3,Tevredenheid over staat van straten en pleinen
MO_S_02,Voldoende fietsenstallingen
MO_S_03,Voldoende fietspaden
MO_S_04,Voldoende openbaar vervoer
MO_S_05,Voldoende parkeerplaatsen
MO_S_06,Veilig fietsen
MO_S_07,Veilig naar school
MO_S_08,Duurzaam verplaatsingsgedrag voor korte afstanden (detail)
MO_S_09,Voldoende aanbod duurzame mobiliteitskeuzes
MO_S_10,Thuiswerk
MO_S_11,Verplaatsingen vrije tijd: per vervoersmiddel
MO_S_12,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel
MO_S_13,Verplaatsingen woon-werk/woon-school: per vervoersmiddel
MO_S_14,Verplaatsingen woon-werk/woon-school: tijdsduur
MO_S_15,Verplaatsingen woon-werk/woon-school: afstand
MO_S_16,Vervoersmiddelenbezit
MO_S_17,Duurzaam verplaatsingsgedrag voor korte afstanden
,
Meer info op onze website.,
