Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Voldoende fietsenstallingen in de gemeente/buurt,2014,0.57,0.25,0.18
 Aalst ,41002,ja,Voldoende fietsenstallingen in de gemeente/buurt,2017,0.55,0.22,0.23
 Aalst ,41002,ja,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.62,0.18,0.2
 Aalter ,44084,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.44,0.3,0.26
 Aarschot ,24001,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.46,0.24,0.29
 Aartselaar ,11001,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.6,0.23,0.17
 Affligem ,23105,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.64,0.24,0.12
 Alken ,73001,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.28,0.27,0.45
 Alveringem ,38002,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.48,0.28,0.25
 Antwerpen ,11002,ja,Voldoende fietsenstallingen in de gemeente/buurt,2014,0.51,0.21,0.27
 Antwerpen ,11002,ja,Voldoende fietsenstallingen in de gemeente/buurt,2017,0.46,0.21,0.32
 Antwerpen ,11002,ja,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.52,0.19,0.29
 Anzegem ,34002,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.43,0.3,0.27
 Ardooie ,37020,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.45,0.29,0.26
 Arendonk ,13001,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.44,0.24,0.32
 As ,71002,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.29,0.33,0.39
 Asse ,23002,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.54,0.22,0.24
 Assenede ,43002,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.59,0.26,0.15
 Avelgem ,34003,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.47,0.32,0.2
 Baarle-Hertog ,13002,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.48,0.26,0.25
 Balen ,13003,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.31,0.35,0.34
 Beernem ,31003,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.28,0.35,0.37
 Beerse ,13004,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.52,0.22,0.26
 Beersel ,23003,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.54,0.23,0.23
 Begijnendijk ,24007,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.39,0.33,0.28
 Bekkevoort ,24008,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.63,0.23,0.14
 Beringen ,71004,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.37,0.33,0.3
 Berlaar ,12002,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.44,0.24,0.32
 Berlare ,42003,nee,Voldoende fietsenstallingen in de gemeente/buurt,2020,0.58,0.27,0.15
