Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Te voet (%),Fiets (%),Openbaar vervoer (%),Auto (%),Andere (%)
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.05,0.15,0.22,0.54,0.04
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.13,0.22,0.57,0.03
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.15,0.25,0.56,0.02
 Aalter ,44001,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.12,0.22,0.57,0.03
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.09,0.2,0.69,0.01
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.09,0.27,0.54,0.03
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.12,0.21,0.63,0.03
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.2,0.13,0.62,0.05
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.26,0.09,0.6,0.03
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.07,0.25,0.61,0.06
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.09,0.27,0.61,0.02
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.07,0.13,0.73,0.03
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.1,0.1,0.78,0.02
 Alveringem ,38002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.07,0.09,0.73,0.04
 Alveringem ,38002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.06,0.13,0.77,0.02
 Antwerpen ,11002,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.08,0.24,0.24,0.42,0.02
 Antwerpen ,11002,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.27,0.23,0.41,0.02
 Antwerpen ,11002,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.05,0.32,0.21,0.39,0.03
 Anzegem ,34002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.09,0.09,0.69,0.08
 Anzegem ,34002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.13,0.08,0.75,0.03
 Ardooie ,37020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.09,0.12,0.07,0.67,0.04
 Ardooie ,37020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.18,0.08,0.69,0.03
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.26,0.07,0.58,0.04
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.26,0.06,0.66,0.02
