Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2020,0.64,0.36
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2020,0.08,0.92
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Bus, tram of metro",2020,0.16,0.84
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Elektrische fiets,2020,0.08,0.92
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2020,0.35,0.65
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Gewone fiets,2020,0.28,0.72
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2020,0.3,0.7
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.04,0.96
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2020,0.19,0.81
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Trein,2020,0.24,0.76
 Aalter ,44001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2017,0.6,0.4
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2020,0.75,0.25
 Aalter ,44001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2017,0.1,0.9
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2020,0.05,0.95
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Bus, tram of metro",2020,0.1,0.9
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Elektrische fiets,2020,0.07,0.93
 Aalter ,44001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2017,0.38,0.62
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2020,0.34,0.66
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Gewone fiets,2020,0.28,0.72
 Aalter ,44001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2017,0.26,0.74
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2020,0.23,0.77
 Aalter ,44001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.1,0.9
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.03,0.97
 Aalter ,44001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2017,0.2,0.8
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2020,0.12,0.88
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Trein,2020,0.21,0.79
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2017,0.64,0.36
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2020,0.7,0.3
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2017,0.05,0.95
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2020,0.1,0.9
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Bus, tram of metro",2020,0.1,0.9
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Elektrische fiets,2020,0.09,0.91
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2017,0.26,0.74
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2020,0.35,0.65
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Gewone fiets,2020,0.28,0.72
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2017,0.3,0.7
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2020,0.3,0.7
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.05,0.95
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.04,0.96
