Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Werken in eigen gemeente,2020,0.41,0.59
 Aalter ,44084,nee,Werken in eigen gemeente,2020,0.25,0.75
 Aarschot ,24001,nee,Werken in eigen gemeente,2020,0.22,0.78
 Aartselaar ,11001,nee,Werken in eigen gemeente,2020,0.17,0.83
 Affligem ,23105,nee,Werken in eigen gemeente,2020,0.1,0.9
 Alken ,73001,nee,Werken in eigen gemeente,2020,0.18,0.82
 Alveringem ,38002,nee,Werken in eigen gemeente,2020,0.27,0.73
 Antwerpen ,11002,ja,Werken in eigen gemeente,2020,0.64,0.36
 Anzegem ,34002,nee,Werken in eigen gemeente,2020,0.22,0.78
 Ardooie ,37020,nee,Werken in eigen gemeente,2020,0.32,0.68
 Arendonk ,13001,nee,Werken in eigen gemeente,2020,0.35,0.65
 As ,71002,nee,Werken in eigen gemeente,2020,0.17,0.83
 Asse ,23002,nee,Werken in eigen gemeente,2020,0.24,0.76
 Assenede ,43002,nee,Werken in eigen gemeente,2020,0.17,0.83
 Avelgem ,34003,nee,Werken in eigen gemeente,2020,0.25,0.75
 Baarle-Hertog ,13002,nee,Werken in eigen gemeente,2020,0.27,0.73
 Balen ,13003,nee,Werken in eigen gemeente,2020,0.23,0.77
 Beernem ,31003,nee,Werken in eigen gemeente,2020,0.28,0.72
 Beerse ,13004,nee,Werken in eigen gemeente,2020,0.27,0.73
 Beersel ,23003,nee,Werken in eigen gemeente,2020,0.25,0.75
 Begijnendijk ,24007,nee,Werken in eigen gemeente,2020,0.11,0.89
 Bekkevoort ,24008,nee,Werken in eigen gemeente,2020,0.12,0.88
 Beringen ,71004,nee,Werken in eigen gemeente,2020,0.27,0.73
 Berlaar ,12002,nee,Werken in eigen gemeente,2020,0.19,0.81
 Berlare ,42003,nee,Werken in eigen gemeente,2020,0.16,0.84
 Bertem ,24009,nee,Werken in eigen gemeente,2020,0.15,0.85
 Bever ,23009,nee,Werken in eigen gemeente,2020,0.15,0.85
 Beveren ,46003,nee,Werken in eigen gemeente,2020,0.3,0.7
 Bierbeek ,24011,nee,Werken in eigen gemeente,2020,0.13,0.87
 Bilzen ,73006,nee,Werken in eigen gemeente,2020,0.28,0.72
 Blankenberge ,31004,nee,Werken in eigen gemeente,2020,0.45,0.55
 Bocholt ,72003,nee,Werken in eigen gemeente,2020,0.27,0.73
 Boechout ,11004,nee,Werken in eigen gemeente,2020,0.16,0.84
 Bonheiden ,12005,nee,Werken in eigen gemeente,2020,0.2,0.8
 Boom ,11005,nee,Werken in eigen gemeente,2020,0.22,0.78
 Boortmeerbeek ,24014,nee,Werken in eigen gemeente,2020,0.13,0.87
 Borgloon ,73009,nee,Werken in eigen gemeente,2020,0.23,0.77
 Bornem ,12007,nee,Werken in eigen gemeente,2020,0.28,0.72
 Borsbeek ,11007,nee,Werken in eigen gemeente,2020,0.11,0.89
