Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Neen (%) 
 Aalst ,41002,ja,Betalingsmoeilijkheden wonen,2011,0.06,0.94
 Aalst ,41002,ja,Betalingsmoeilijkheden wonen,2014,0.05,0.95
 Aalst ,41002,ja,Betalingsmoeilijkheden wonen,2017,0.05,0.95
 Aalst ,41002,ja,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Aalter ,44084,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Aarschot ,24001,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Aartselaar ,11001,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Affligem ,23105,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Alken ,73001,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Alveringem ,38002,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Antwerpen ,11002,ja,Betalingsmoeilijkheden wonen,2011,0.1,0.9
 Antwerpen ,11002,ja,Betalingsmoeilijkheden wonen,2014,0.09,0.91
 Antwerpen ,11002,ja,Betalingsmoeilijkheden wonen,2017,0.08,0.92
 Antwerpen ,11002,ja,Betalingsmoeilijkheden wonen,2020,0.1,0.9
 Anzegem ,34002,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Ardooie ,37020,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Arendonk ,13001,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 As ,71002,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Asse ,23002,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Assenede ,43002,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Avelgem ,34003,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Baarle-Hertog ,13002,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Balen ,13003,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Beernem ,31003,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Beerse ,13004,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Beersel ,23003,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Begijnendijk ,24007,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Bekkevoort ,24008,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Beringen ,71004,nee,Betalingsmoeilijkheden wonen,2020,0.08,0.92
 Berlaar ,12002,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Berlare ,42003,nee,Betalingsmoeilijkheden wonen,2020,0.08,0.92
 Bertem ,24009,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Bever ,23009,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 Beveren ,46003,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Bierbeek ,24011,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Bilzen ,73006,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Blankenberge ,31004,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Bocholt ,72003,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Boechout ,11004,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Bonheiden ,12005,nee,Betalingsmoeilijkheden wonen,2020,0.01,0.99
 Boom ,11005,nee,Betalingsmoeilijkheden wonen,2020,0.11,0.89
 Boortmeerbeek ,24014,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Borgloon ,73009,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Bornem ,12007,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Borsbeek ,11007,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Boutersem ,24016,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Brakel ,45059,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Brasschaat ,11008,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Brecht ,11009,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Bredene ,35002,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Bree ,72004,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Brugge ,31005,ja,Betalingsmoeilijkheden wonen,2011,0.08,0.92
 Brugge ,31005,ja,Betalingsmoeilijkheden wonen,2014,0.05,0.95
 Brugge ,31005,ja,Betalingsmoeilijkheden wonen,2017,0.04,0.96
 Brugge ,31005,ja,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Buggenhout ,42004,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Damme ,31006,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 De Haan ,35029,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 De Panne ,38008,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 De Pinte ,44012,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Deerlijk ,34009,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Deinze ,44083,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Denderleeuw ,41011,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 Dendermonde ,42006,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Dentergem ,37002,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Dessel ,13006,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Destelbergen ,44013,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Diepenbeek ,71011,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Diest ,24020,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Diksmuide ,32003,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Dilbeek ,23016,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Dilsen-Stokkem ,72041,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Drogenbos ,23098,nee,Betalingsmoeilijkheden wonen,2020,0.15,0.85
 Duffel ,12009,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Edegem ,11013,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Eeklo ,43005,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Erpe-Mere ,41082,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Essen ,11016,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Evergem ,44019,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Galmaarden ,23023,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Gavere ,44020,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Geel ,13008,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Geetbets ,24028,nee,Betalingsmoeilijkheden wonen,2020,0.08,0.92
 Genk ,71016,ja,Betalingsmoeilijkheden wonen,2011,0.11,0.89
 Genk ,71016,ja,Betalingsmoeilijkheden wonen,2014,0.09,0.91
 Genk ,71016,ja,Betalingsmoeilijkheden wonen,2017,0.08,0.92
 Genk ,71016,ja,Betalingsmoeilijkheden wonen,2020,0.08,0.92
 Gent ,44021,ja,Betalingsmoeilijkheden wonen,2011,0.09,0.91
 Gent ,44021,ja,Betalingsmoeilijkheden wonen,2014,0.06,0.94
 Gent ,44021,ja,Betalingsmoeilijkheden wonen,2017,0.05,0.95
 Gent ,44021,ja,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Geraardsbergen ,41018,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Gingelom ,71017,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Gistel ,35005,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Glabbeek ,24137,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Gooik ,23024,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Grimbergen ,23025,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Grobbendonk ,13010,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Haacht ,24033,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Haaltert ,41024,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Halen ,71020,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Halle ,23027,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 Ham ,71069,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Hamme ,42008,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Hamont-Achel ,72037,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Harelbeke ,34013,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Hasselt ,71022,ja,Betalingsmoeilijkheden wonen,2011,0.07,0.93
 Hasselt ,71022,ja,Betalingsmoeilijkheden wonen,2014,0.04,0.96
 Hasselt ,71022,ja,Betalingsmoeilijkheden wonen,2017,0.04,0.96
 Hasselt ,71022,ja,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Hechtel-Eksel ,72038,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Heers ,73022,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 Heist-Op-Den-Berg ,12014,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Hemiksem ,11018,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Herent ,24038,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Herentals ,13011,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Herenthout ,13012,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Herk-De-Stad ,71024,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Herne ,23032,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Herselt ,13013,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Herzele ,41027,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Heusden-Zolder ,71070,nee,Betalingsmoeilijkheden wonen,2020,0.08,0.92
 Heuvelland ,33039,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Hoegaarden ,24041,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Hoeilaart ,23033,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Hoeselt ,73032,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Holsbeek ,24043,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Hooglede ,36006,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Hoogstraten ,13014,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Horebeke ,45062,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Houthalen-Helchteren ,72039,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Houthulst ,32006,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 Hove ,11021,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Huldenberg ,24045,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Hulshout ,13016,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Ichtegem ,35006,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Ieper ,33011,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 Ingelmunster ,36007,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Izegem ,36008,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Jabbeke ,31012,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Kalmthout ,11022,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Kampenhout ,23038,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Kapellen ,11023,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Kapelle-Op-Den-Bos ,23039,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Kaprijke ,43007,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Kasterlee ,13017,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Keerbergen ,24048,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Kinrooi ,72018,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Kluisbergen ,45060,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Knokke-Heist ,31043,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Koekelare ,32010,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Koksijde ,38014,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Kontich ,11024,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Kortemark ,32011,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Kortenaken ,24054,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Kortenberg ,24055,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Kortessem ,73040,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Kortrijk ,34022,ja,Betalingsmoeilijkheden wonen,2011,0.07,0.93
 Kortrijk ,34022,ja,Betalingsmoeilijkheden wonen,2014,0.07,0.93
 Kortrijk ,34022,ja,Betalingsmoeilijkheden wonen,2017,0.04,0.96
 Kortrijk ,34022,ja,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Kraainem ,23099,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Kruibeke ,46013,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Kruisem ,45068,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Kuurne ,34023,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Laakdal ,13053,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Laarne ,42010,nee,Betalingsmoeilijkheden wonen,2020,0.01,0.99
 Lanaken ,73042,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Landen ,24059,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Langemark-Poelkapelle ,33040,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Lebbeke ,42011,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Lede ,41034,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Ledegem ,36010,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Lendelede ,34025,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Lennik ,23104,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Leopoldsburg ,71034,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 Leuven ,24062,ja,Betalingsmoeilijkheden wonen,2011,0.04,0.96
 Leuven ,24062,ja,Betalingsmoeilijkheden wonen,2014,0.05,0.95
 Leuven ,24062,ja,Betalingsmoeilijkheden wonen,2017,0.04,0.96
 Leuven ,24062,ja,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Lichtervelde ,36011,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Liedekerke ,23044,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 Lier ,12021,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Lierde ,45063,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Lievegem ,44085,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Lille ,13019,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Linkebeek ,23100,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Lint ,11025,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Linter ,24133,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Lochristi ,44034,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Lokeren ,46014,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Lommel ,72020,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Londerzeel ,23045,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Lo-Reninge ,32030,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Lubbeek ,24066,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Lummen ,71037,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Maarkedal ,45064,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Maaseik ,72021,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Maasmechelen ,73107,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Machelen ,23047,nee,Betalingsmoeilijkheden wonen,2020,0.14,0.86
 Maldegem ,43010,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Malle ,11057,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Mechelen ,12025,ja,Betalingsmoeilijkheden wonen,2011,0.08,0.92
 Mechelen ,12025,ja,Betalingsmoeilijkheden wonen,2014,0.05,0.95
 Mechelen ,12025,ja,Betalingsmoeilijkheden wonen,2017,0.07,0.93
 Mechelen ,12025,ja,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Meerhout ,13021,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Meise ,23050,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Melle ,44040,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Menen ,34027,nee,Betalingsmoeilijkheden wonen,2020,0.08,0.92
 Merchtem ,23052,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Merelbeke ,44043,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Merksplas ,13023,nee,Betalingsmoeilijkheden wonen,2020,0.01,0.99
 Mesen ,33016,nee,Betalingsmoeilijkheden wonen,2020,0.09,0.91
