Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,minder of gelijk aan 30% (%),meer dan 30% (%)
 Aalst ,41002,ja,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.81,0.19
 Aalst ,41002,ja,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Aalst ,41002,ja,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Aalst ,41002,ja,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.88,0.12
 Aalst ,41002,ja,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.54,0.46
 Aalst ,41002,ja,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.49,0.51
 Aalter ,44001,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.86,0.14
 Aalter ,44084,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.8,0.2
 Aalter ,44001,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.91,0.09
 Aalter ,44084,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.86,0.14
 Aalter ,44001,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.53,0.47
 Aalter ,44084,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.53,0.47
 Aarschot ,24001,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.81,0.19
 Aarschot ,24001,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.85,0.15
 Aarschot ,24001,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.86,0.14
 Aarschot ,24001,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.88,0.12
 Aarschot ,24001,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.43,0.57
 Aarschot ,24001,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.64,0.36
 Aartselaar ,11001,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Aartselaar ,11001,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.83,0.17
 Aartselaar ,11001,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Aartselaar ,11001,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Aartselaar ,11001,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.26,0.74
 Aartselaar ,11001,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.51,0.49
 Affligem ,23105,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Affligem ,23105,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.85,0.15
