Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"ja, binnen dezelfde gemeente/stad (%)","ja, naar een andere gemeente/stad (%)","Neen,geen verhuisplannen (%)"
 Aalst ,41002,ja,Verhuisintentie,2011,0.11,0.08,0.8
 Aalst ,41002,ja,Verhuisintentie,2014,0.13,0.08,0.79
 Aalst ,41002,ja,Verhuisintentie,2017,0.13,0.1,0.77
 Aalst ,41002,ja,Verhuisintentie,2020,0.11,0.09,0.8
 Aalter ,44001,nee,Verhuisintentie,2017,0.11,0.08,0.81
 Aalter ,44084,nee,Verhuisintentie,2020,0.09,0.08,0.83
 Aarschot ,24001,nee,Verhuisintentie,2017,0.07,0.06,0.87
 Aarschot ,24001,nee,Verhuisintentie,2020,0.08,0.08,0.84
 Aartselaar ,11001,nee,Verhuisintentie,2017,0.09,0.11,0.8
 Aartselaar ,11001,nee,Verhuisintentie,2020,0.05,0.15,0.8
 Affligem ,23105,nee,Verhuisintentie,2017,0.08,0.12,0.81
 Affligem ,23105,nee,Verhuisintentie,2020,0.08,0.11,0.82
 Alken ,73001,nee,Verhuisintentie,2017,0.08,0.09,0.83
 Alken ,73001,nee,Verhuisintentie,2020,0.09,0.04,0.87
 Alveringem ,38002,nee,Verhuisintentie,2017,0.06,0.13,0.81
 Alveringem ,38002,nee,Verhuisintentie,2020,0.04,0.11,0.85
 Antwerpen ,11002,ja,Verhuisintentie,2011,0.2,0.13,0.67
 Antwerpen ,11002,ja,Verhuisintentie,2014,0.23,0.13,0.64
 Antwerpen ,11002,ja,Verhuisintentie,2017,0.23,0.12,0.65
 Antwerpen ,11002,ja,Verhuisintentie,2020,0.19,0.16,0.66
 Anzegem ,34002,nee,Verhuisintentie,2017,0.09,0.08,0.83
 Anzegem ,34002,nee,Verhuisintentie,2020,0.03,0.08,0.88
 Ardooie ,37020,nee,Verhuisintentie,2017,0.08,0.08,0.84
 Ardooie ,37020,nee,Verhuisintentie,2020,0.05,0.09,0.86
 Arendonk ,13001,nee,Verhuisintentie,2017,0.1,0.07,0.83
 Arendonk ,13001,nee,Verhuisintentie,2020,0.11,0.05,0.84
 As ,71002,nee,Verhuisintentie,2017,0.07,0.1,0.83
 As ,71002,nee,Verhuisintentie,2020,0.07,0.11,0.82
 Asse ,23002,nee,Verhuisintentie,2017,0.14,0.13,0.73
 Asse ,23002,nee,Verhuisintentie,2020,0.08,0.13,0.79
 Assenede ,43002,nee,Verhuisintentie,2017,0.07,0.09,0.85
 Assenede ,43002,nee,Verhuisintentie,2020,0.07,0.08,0.86
 Avelgem ,34003,nee,Verhuisintentie,2017,0.08,0.11,0.82
 Avelgem ,34003,nee,Verhuisintentie,2020,0.08,0.11,0.81
 Baarle-Hertog ,13002,nee,Verhuisintentie,2017,0.14,0.12,0.74
 Baarle-Hertog ,13002,nee,Verhuisintentie,2020,0.12,0.09,0.78
 Balen ,13003,nee,Verhuisintentie,2017,0.09,0.1,0.82
 Balen ,13003,nee,Verhuisintentie,2020,0.07,0.1,0.83
 Beernem ,31003,nee,Verhuisintentie,2017,0.08,0.1,0.82
 Beernem ,31003,nee,Verhuisintentie,2020,0.06,0.08,0.86
 Beerse ,13004,nee,Verhuisintentie,2017,0.09,0.08,0.83
 Beerse ,13004,nee,Verhuisintentie,2020,0.11,0.06,0.83
 Beersel ,23003,nee,Verhuisintentie,2017,0.08,0.14,0.78
 Beersel ,23003,nee,Verhuisintentie,2020,0.04,0.12,0.83
 Begijnendijk ,24007,nee,Verhuisintentie,2017,0.06,0.07,0.87
 Begijnendijk ,24007,nee,Verhuisintentie,2020,0.06,0.08,0.86
 Bekkevoort ,24008,nee,Verhuisintentie,2017,0.07,0.1,0.83
 Bekkevoort ,24008,nee,Verhuisintentie,2020,0.02,0.08,0.9
 Beringen ,71004,nee,Verhuisintentie,2017,0.11,0.1,0.79
 Beringen ,71004,nee,Verhuisintentie,2020,0.08,0.06,0.86
 Berlaar ,12002,nee,Verhuisintentie,2017,0.07,0.07,0.87
 Berlaar ,12002,nee,Verhuisintentie,2020,0.04,0.11,0.86
 Berlare ,42003,nee,Verhuisintentie,2017,0.08,0.09,0.83
 Berlare ,42003,nee,Verhuisintentie,2020,0.09,0.09,0.83
 Bertem ,24009,nee,Verhuisintentie,2017,0.05,0.12,0.83
 Bertem ,24009,nee,Verhuisintentie,2020,0.07,0.12,0.81
 Bever ,23009,nee,Verhuisintentie,2017,0.05,0.07,0.88
 Bever ,23009,nee,Verhuisintentie,2020,0.04,0.11,0.85
 Beveren ,46003,nee,Verhuisintentie,2017,0.1,0.08,0.82
 Beveren ,46003,nee,Verhuisintentie,2020,0.08,0.07,0.85
 Bierbeek ,24011,nee,Verhuisintentie,2017,0.06,0.08,0.87
 Bierbeek ,24011,nee,Verhuisintentie,2020,0.05,0.15,0.8
 Bilzen ,73006,nee,Verhuisintentie,2017,0.13,0.08,0.79
 Bilzen ,73006,nee,Verhuisintentie,2020,0.1,0.06,0.83
 Blankenberge ,31004,nee,Verhuisintentie,2017,0.13,0.09,0.78
 Blankenberge ,31004,nee,Verhuisintentie,2020,0.11,0.08,0.81
 Bocholt ,72003,nee,Verhuisintentie,2017,0.1,0.09,0.81
 Bocholt ,72003,nee,Verhuisintentie,2020,0.08,0.07,0.86
 Boechout ,11004,nee,Verhuisintentie,2017,0.07,0.15,0.78
 Boechout ,11004,nee,Verhuisintentie,2020,0.08,0.13,0.79
 Bonheiden ,12005,nee,Verhuisintentie,2017,0.07,0.1,0.83
 Bonheiden ,12005,nee,Verhuisintentie,2020,0.06,0.1,0.84
 Boom ,11005,nee,Verhuisintentie,2017,0.12,0.18,0.7
 Boom ,11005,nee,Verhuisintentie,2020,0.08,0.15,0.77
 Boortmeerbeek ,24014,nee,Verhuisintentie,2017,0.08,0.09,0.83
 Boortmeerbeek ,24014,nee,Verhuisintentie,2020,0.04,0.15,0.8
 Borgloon ,73009,nee,Verhuisintentie,2017,0.07,0.08,0.84
 Borgloon ,73009,nee,Verhuisintentie,2020,0.07,0.07,0.86
 Bornem ,12007,nee,Verhuisintentie,2017,0.12,0.07,0.81
 Bornem ,12007,nee,Verhuisintentie,2020,0.11,0.07,0.82
 Borsbeek ,11007,nee,Verhuisintentie,2017,0.13,0.16,0.71
 Borsbeek ,11007,nee,Verhuisintentie,2020,0.06,0.19,0.75
 Boutersem ,24016,nee,Verhuisintentie,2017,0.05,0.09,0.86
 Boutersem ,24016,nee,Verhuisintentie,2020,0.05,0.08,0.87
 Brakel ,45059,nee,Verhuisintentie,2017,0.06,0.1,0.84
 Brakel ,45059,nee,Verhuisintentie,2020,0.05,0.09,0.87
 Brasschaat ,11008,nee,Verhuisintentie,2017,0.07,0.12,0.82
 Brasschaat ,11008,nee,Verhuisintentie,2020,0.09,0.09,0.82
 Brecht ,11009,nee,Verhuisintentie,2017,0.08,0.07,0.84
 Brecht ,11009,nee,Verhuisintentie,2020,0.06,0.1,0.84
 Bredene ,35002,nee,Verhuisintentie,2017,0.1,0.06,0.84
 Bredene ,35002,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Bree ,72004,nee,Verhuisintentie,2017,0.09,0.08,0.83
 Bree ,72004,nee,Verhuisintentie,2020,0.08,0.08,0.84
 Brugge ,31005,ja,Verhuisintentie,2011,0.14,0.06,0.8
 Brugge ,31005,ja,Verhuisintentie,2014,0.14,0.07,0.79
 Brugge ,31005,ja,Verhuisintentie,2017,0.15,0.07,0.78
 Brugge ,31005,ja,Verhuisintentie,2020,0.11,0.08,0.81
 Buggenhout ,42004,nee,Verhuisintentie,2017,0.1,0.09,0.81
 Buggenhout ,42004,nee,Verhuisintentie,2020,0.08,0.1,0.81
 Damme ,31006,nee,Verhuisintentie,2017,0.08,0.08,0.84
 Damme ,31006,nee,Verhuisintentie,2020,0.07,0.08,0.84
 De Haan ,35029,nee,Verhuisintentie,2017,0.12,0.08,0.81
 De Haan ,35029,nee,Verhuisintentie,2020,0.08,0.1,0.83
 De Panne ,38008,nee,Verhuisintentie,2017,0.07,0.12,0.81
 De Panne ,38008,nee,Verhuisintentie,2020,0.1,0.1,0.81
 De Pinte ,44012,nee,Verhuisintentie,2017,0.07,0.08,0.85
 De Pinte ,44012,nee,Verhuisintentie,2020,0.07,0.1,0.83
 Deerlijk ,34009,nee,Verhuisintentie,2017,0.09,0.08,0.83
 Deerlijk ,34009,nee,Verhuisintentie,2020,0.04,0.1,0.86
 Deinze ,44011,nee,Verhuisintentie,2017,0.08,0.07,0.84
 Deinze ,44083,nee,Verhuisintentie,2020,0.08,0.08,0.83
 Denderleeuw ,41011,nee,Verhuisintentie,2017,0.08,0.14,0.78
