Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Aalst ,41002,ja,Tevredenheid over de woning,2011,0.07,0.08,0.85
 Aalst ,41002,ja,Tevredenheid over de woning,2014,0.06,0.09,0.85
 Aalst ,41002,ja,Tevredenheid over de woning,2017,0.08,0.09,0.83
 Aalst ,41002,ja,Tevredenheid over de woning,2020,0.06,0.08,0.86
 Aalter ,44001,nee,Tevredenheid over de woning,2017,0.03,0.03,0.93
 Aalter ,44084,nee,Tevredenheid over de woning,2020,0.03,0.05,0.92
 Aarschot ,24001,nee,Tevredenheid over de woning,2017,0.03,0.04,0.93
 Aarschot ,24001,nee,Tevredenheid over de woning,2020,0.04,0.05,0.91
 Aartselaar ,11001,nee,Tevredenheid over de woning,2017,0.05,0.05,0.9
 Aartselaar ,11001,nee,Tevredenheid over de woning,2020,0.03,0.05,0.92
 Affligem ,23105,nee,Tevredenheid over de woning,2017,0.05,0.06,0.89
 Affligem ,23105,nee,Tevredenheid over de woning,2020,0.04,0.07,0.89
 Alken ,73001,nee,Tevredenheid over de woning,2017,0.05,0.04,0.91
 Alken ,73001,nee,Tevredenheid over de woning,2020,0.04,0.03,0.93
 Alveringem ,38002,nee,Tevredenheid over de woning,2017,0.05,0.08,0.88
 Alveringem ,38002,nee,Tevredenheid over de woning,2020,0.04,0.06,0.9
 Antwerpen ,11002,ja,Tevredenheid over de woning,2011,0.09,0.11,0.8
 Antwerpen ,11002,ja,Tevredenheid over de woning,2014,0.1,0.11,0.78
 Antwerpen ,11002,ja,Tevredenheid over de woning,2017,0.09,0.11,0.79
 Antwerpen ,11002,ja,Tevredenheid over de woning,2020,0.08,0.11,0.81
 Anzegem ,34002,nee,Tevredenheid over de woning,2017,0.03,0.06,0.9
 Anzegem ,34002,nee,Tevredenheid over de woning,2020,0.03,0.04,0.93
 Ardooie ,37020,nee,Tevredenheid over de woning,2017,0.02,0.05,0.92
 Ardooie ,37020,nee,Tevredenheid over de woning,2020,0.04,0.04,0.92
 Arendonk ,13001,nee,Tevredenheid over de woning,2017,0.04,0.04,0.92
 Arendonk ,13001,nee,Tevredenheid over de woning,2020,0.06,0.05,0.89
 As ,71002,nee,Tevredenheid over de woning,2017,0.03,0.04,0.93
 As ,71002,nee,Tevredenheid over de woning,2020,0.04,0.06,0.9
 Asse ,23002,nee,Tevredenheid over de woning,2017,0.06,0.07,0.87
 Asse ,23002,nee,Tevredenheid over de woning,2020,0.06,0.08,0.86
 Assenede ,43002,nee,Tevredenheid over de woning,2017,0.04,0.08,0.88
 Assenede ,43002,nee,Tevredenheid over de woning,2020,0.03,0.05,0.92
 Avelgem ,34003,nee,Tevredenheid over de woning,2017,0.03,0.05,0.92
 Avelgem ,34003,nee,Tevredenheid over de woning,2020,0.06,0.05,0.9
 Baarle-Hertog ,13002,nee,Tevredenheid over de woning,2017,0.04,0.07,0.88
 Baarle-Hertog ,13002,nee,Tevredenheid over de woning,2020,0.06,0.06,0.88
 Balen ,13003,nee,Tevredenheid over de woning,2017,0.06,0.07,0.87
 Balen ,13003,nee,Tevredenheid over de woning,2020,0.04,0.08,0.88
 Beernem ,31003,nee,Tevredenheid over de woning,2017,0.03,0.04,0.93
 Beernem ,31003,nee,Tevredenheid over de woning,2020,0.03,0.07,0.9
 Beerse ,13004,nee,Tevredenheid over de woning,2017,0.03,0.05,0.93
 Beerse ,13004,nee,Tevredenheid over de woning,2020,0.03,0.04,0.93
