Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Uitstraling van straten en pleinen,2008,0.28,0.22,0.5
 Aalst ,41002,ja,Uitstraling van straten en pleinen,2011,0.22,0.27,0.51
 Aalst ,41002,ja,Uitstraling van straten en pleinen,2014,0.15,0.2,0.65
 Aalst ,41002,ja,Uitstraling van straten en pleinen,2017,0.12,0.19,0.69
 Aalst ,41002,ja,Uitstraling van straten en pleinen,2020,0.19,0.23,0.58
 Aalter ,44084,nee,Uitstraling van straten en pleinen,2020,0.2,0.27,0.53
 Aarschot ,24001,nee,Uitstraling van straten en pleinen,2020,0.21,0.32,0.48
 Aartselaar ,11001,nee,Uitstraling van straten en pleinen,2020,0.21,0.27,0.51
 Affligem ,23105,nee,Uitstraling van straten en pleinen,2020,0.25,0.28,0.46
 Alken ,73001,nee,Uitstraling van straten en pleinen,2020,0.09,0.19,0.72
 Alveringem ,38002,nee,Uitstraling van straten en pleinen,2020,0.24,0.24,0.52
 Antwerpen ,11002,ja,Uitstraling van straten en pleinen,2008,0.18,0.25,0.57
 Antwerpen ,11002,ja,Uitstraling van straten en pleinen,2011,0.16,0.28,0.55
 Antwerpen ,11002,ja,Uitstraling van straten en pleinen,2014,0.18,0.24,0.58
 Antwerpen ,11002,ja,Uitstraling van straten en pleinen,2017,0.16,0.24,0.6
 Antwerpen ,11002,ja,Uitstraling van straten en pleinen,2020,0.19,0.23,0.58
 Anzegem ,34002,nee,Uitstraling van straten en pleinen,2020,0.18,0.29,0.53
 Ardooie ,37020,nee,Uitstraling van straten en pleinen,2020,0.17,0.24,0.59
 Arendonk ,13001,nee,Uitstraling van straten en pleinen,2020,0.15,0.25,0.6
 As ,71002,nee,Uitstraling van straten en pleinen,2020,0.11,0.18,0.72
 Asse ,23002,nee,Uitstraling van straten en pleinen,2020,0.23,0.25,0.52
 Assenede ,43002,nee,Uitstraling van straten en pleinen,2020,0.3,0.24,0.46
 Avelgem ,34003,nee,Uitstraling van straten en pleinen,2020,0.13,0.27,0.6
 Baarle-Hertog ,13002,nee,Uitstraling van straten en pleinen,2020,0.23,0.24,0.53
 Balen ,13003,nee,Uitstraling van straten en pleinen,2020,0.11,0.25,0.64
 Beernem ,31003,nee,Uitstraling van straten en pleinen,2020,0.14,0.25,0.62
 Beerse ,13004,nee,Uitstraling van straten en pleinen,2020,0.23,0.24,0.53
 Beersel ,23003,nee,Uitstraling van straten en pleinen,2020,0.22,0.24,0.53
 Begijnendijk ,24007,nee,Uitstraling van straten en pleinen,2020,0.2,0.32,0.48
 Bekkevoort ,24008,nee,Uitstraling van straten en pleinen,2020,0.26,0.31,0.43
 Beringen ,71004,nee,Uitstraling van straten en pleinen,2020,0.18,0.27,0.54
 Berlaar ,12002,nee,Uitstraling van straten en pleinen,2020,0.15,0.24,0.6
 Berlare ,42003,nee,Uitstraling van straten en pleinen,2020,0.22,0.31,0.47
 Bertem ,24009,nee,Uitstraling van straten en pleinen,2020,0.3,0.21,0.49
 Bever ,23009,nee,Uitstraling van straten en pleinen,2020,0.32,0.18,0.5
 Beveren ,46003,nee,Uitstraling van straten en pleinen,2020,0.2,0.28,0.52
 Bierbeek ,24011,nee,Uitstraling van straten en pleinen,2020,0.17,0.24,0.59
 Bilzen ,73006,nee,Uitstraling van straten en pleinen,2020,0.16,0.24,0.6
 Blankenberge ,31004,nee,Uitstraling van straten en pleinen,2020,0.18,0.29,0.53
 Bocholt ,72003,nee,Uitstraling van straten en pleinen,2020,0.14,0.28,0.58
 Boechout ,11004,nee,Uitstraling van straten en pleinen,2020,0.11,0.16,0.73
 Bonheiden ,12005,nee,Uitstraling van straten en pleinen,2020,0.07,0.15,0.79
 Boom ,11005,nee,Uitstraling van straten en pleinen,2020,0.21,0.33,0.46
 Boortmeerbeek ,24014,nee,Uitstraling van straten en pleinen,2020,0.35,0.29,0.35
 Borgloon ,73009,nee,Uitstraling van straten en pleinen,2020,0.28,0.26,0.46
 Bornem ,12007,nee,Uitstraling van straten en pleinen,2020,0.16,0.22,0.62
 Borsbeek ,11007,nee,Uitstraling van straten en pleinen,2020,0.25,0.21,0.53
 Boutersem ,24016,nee,Uitstraling van straten en pleinen,2020,0.38,0.31,0.31
 Brakel ,45059,nee,Uitstraling van straten en pleinen,2020,0.18,0.24,0.58
 Brasschaat ,11008,nee,Uitstraling van straten en pleinen,2020,0.14,0.24,0.62
 Brecht ,11009,nee,Uitstraling van straten en pleinen,2020,0.12,0.23,0.66
 Bredene ,35002,nee,Uitstraling van straten en pleinen,2020,0.08,0.16,0.75
 Bree ,72004,nee,Uitstraling van straten en pleinen,2020,0.15,0.21,0.65
 Brugge ,31005,ja,Uitstraling van straten en pleinen,2008,0.06,0.08,0.86
 Brugge ,31005,ja,Uitstraling van straten en pleinen,2011,0.04,0.12,0.84
 Brugge ,31005,ja,Uitstraling van straten en pleinen,2014,0.08,0.12,0.8
 Brugge ,31005,ja,Uitstraling van straten en pleinen,2017,0.06,0.13,0.8
 Brugge ,31005,ja,Uitstraling van straten en pleinen,2020,0.12,0.17,0.71
 Buggenhout ,42004,nee,Uitstraling van straten en pleinen,2020,0.24,0.24,0.51
 Damme ,31006,nee,Uitstraling van straten en pleinen,2020,0.22,0.23,0.56
 De Haan ,35029,nee,Uitstraling van straten en pleinen,2020,0.16,0.21,0.63
 De Panne ,38008,nee,Uitstraling van straten en pleinen,2020,0.14,0.19,0.67
 De Pinte ,44012,nee,Uitstraling van straten en pleinen,2020,0.11,0.15,0.73
 Deerlijk ,34009,nee,Uitstraling van straten en pleinen,2020,0.23,0.28,0.49
 Deinze ,44083,nee,Uitstraling van straten en pleinen,2020,0.14,0.22,0.64
 Denderleeuw ,41011,nee,Uitstraling van straten en pleinen,2020,0.27,0.27,0.46
 Dendermonde ,42006,nee,Uitstraling van straten en pleinen,2020,0.3,0.29,0.41
 Dentergem ,37002,nee,Uitstraling van straten en pleinen,2020,0.22,0.22,0.56
 Dessel ,13006,nee,Uitstraling van straten en pleinen,2020,0.16,0.24,0.6
 Destelbergen ,44013,nee,Uitstraling van straten en pleinen,2020,0.12,0.23,0.65
 Diepenbeek ,71011,nee,Uitstraling van straten en pleinen,2020,0.09,0.27,0.64
 Diest ,24020,nee,Uitstraling van straten en pleinen,2020,0.24,0.29,0.47
 Diksmuide ,32003,nee,Uitstraling van straten en pleinen,2020,0.24,0.25,0.51
 Dilbeek ,23016,nee,Uitstraling van straten en pleinen,2020,0.31,0.28,0.42
 Dilsen-Stokkem ,72041,nee,Uitstraling van straten en pleinen,2020,0.13,0.22,0.65
 Drogenbos ,23098,nee,Uitstraling van straten en pleinen,2020,0.09,0.18,0.72
 Duffel ,12009,nee,Uitstraling van straten en pleinen,2020,0.16,0.23,0.61
 Edegem ,11013,nee,Uitstraling van straten en pleinen,2020,0.18,0.22,0.6
 Eeklo ,43005,nee,Uitstraling van straten en pleinen,2020,0.33,0.31,0.36
 Erpe-Mere ,41082,nee,Uitstraling van straten en pleinen,2020,0.2,0.28,0.52
 Essen ,11016,nee,Uitstraling van straten en pleinen,2020,0.2,0.29,0.51
 Evergem ,44019,nee,Uitstraling van straten en pleinen,2020,0.18,0.29,0.53
 Galmaarden ,23023,nee,Uitstraling van straten en pleinen,2020,0.26,0.28,0.47
 Gavere ,44020,nee,Uitstraling van straten en pleinen,2020,0.28,0.26,0.46
