Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,5 jaar of minder (%),6 tot en met 10 jaar (%),Meer dan 10 jaar (%)
 Aalst ,41002,ja,Woonduur gemeente en buurt,Woonduur: adres,2014,0.28,0.14,0.58
 Aalst ,41002,ja,Woonduur gemeente en buurt,Woonduur: adres,2017,0.27,0.16,0.57
 Aalst ,41002,ja,Woonduur gemeente en buurt,Woonduur: adres,2020,0.29,0.16,0.55
 Aalst ,41002,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2014,0.13,0.08,0.79
 Aalst ,41002,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.1,0.77
 Aalst ,41002,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.09,0.77
 Aalter ,44001,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.28,0.1,0.62
 Aalter ,44084,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.27,0.13,0.6
 Aalter ,44001,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.16,0.07,0.77
 Aalter ,44084,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.08,0.78
 Aarschot ,24001,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.12,0.65
 Aarschot ,24001,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.12,0.65
 Aarschot ,24001,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.11,0.75
 Aarschot ,24001,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.08,0.77
 Aartselaar ,11001,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.17,0.14,0.69
 Aartselaar ,11001,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.25,0.14,0.62
 Aartselaar ,11001,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.09,0.11,0.8
 Aartselaar ,11001,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.11,0.73
 Affligem ,23105,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.13,0.62
 Affligem ,23105,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.2,0.15,0.65
 Affligem ,23105,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.19,0.09,0.72
 Affligem ,23105,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.11,0.75
 Alken ,73001,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.17,0.1,0.73
 Alken ,73001,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.2,0.14,0.66
 Alken ,73001,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.1,0.07,0.83
 Alken ,73001,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.11,0.11,0.77
 Alveringem ,38002,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.16,0.61
 Alveringem ,38002,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.15,0.62
 Alveringem ,38002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.17,0.11,0.72
 Alveringem ,38002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.08,0.76
 Antwerpen ,11002,ja,Woonduur gemeente en buurt,Woonduur: adres,2014,0.37,0.17,0.47
 Antwerpen ,11002,ja,Woonduur gemeente en buurt,Woonduur: adres,2017,0.39,0.17,0.44
 Antwerpen ,11002,ja,Woonduur gemeente en buurt,Woonduur: adres,2020,0.41,0.16,0.43
 Antwerpen ,11002,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2014,0.15,0.12,0.73
 Antwerpen ,11002,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.18,0.13,0.69
 Antwerpen ,11002,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.18,0.12,0.71
 Anzegem ,34002,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.1,0.67
 Anzegem ,34002,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.18,0.14,0.68
 Anzegem ,34002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.06,0.79
 Anzegem ,34002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.11,0.78
 Ardooie ,37020,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.14,0.64
 Ardooie ,37020,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.14,0.63
