Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Eigenaar (%),Huurder (%)
 Aalst ,41002,ja,Eigenaar/huurder van een woning,2008,0.78,0.22
 Aalst ,41002,ja,Eigenaar/huurder van een woning,2011,0.8,0.2
 Aalst ,41002,ja,Eigenaar/huurder van een woning,2014,0.79,0.21
 Aalst ,41002,ja,Eigenaar/huurder van een woning,2017,0.79,0.21
 Aalst ,41002,ja,Eigenaar/huurder van een woning,2020,0.81,0.19
 Aalter ,44001,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Aalter ,44084,nee,Eigenaar/huurder van een woning,2020,0.81,0.19
 Aarschot ,24001,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Aarschot ,24001,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Aartselaar ,11001,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Aartselaar ,11001,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Affligem ,23105,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Affligem ,23105,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Alken ,73001,nee,Eigenaar/huurder van een woning,2017,0.92,0.08
 Alken ,73001,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Alveringem ,38002,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Alveringem ,38002,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Antwerpen ,11002,ja,Eigenaar/huurder van een woning,2008,0.65,0.35
 Antwerpen ,11002,ja,Eigenaar/huurder van een woning,2011,0.67,0.33
 Antwerpen ,11002,ja,Eigenaar/huurder van een woning,2014,0.66,0.34
 Antwerpen ,11002,ja,Eigenaar/huurder van een woning,2017,0.67,0.33
 Antwerpen ,11002,ja,Eigenaar/huurder van een woning,2020,0.66,0.34
 Anzegem ,34002,nee,Eigenaar/huurder van een woning,2017,0.92,0.08
 Anzegem ,34002,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Ardooie ,37020,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Ardooie ,37020,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Arendonk ,13001,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Arendonk ,13001,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 As ,71002,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 As ,71002,nee,Eigenaar/huurder van een woning,2020,0.8,0.2
 Asse ,23002,nee,Eigenaar/huurder van een woning,2017,0.83,0.17
 Asse ,23002,nee,Eigenaar/huurder van een woning,2020,0.77,0.23
 Assenede ,43002,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Assenede ,43002,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Avelgem ,34003,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Avelgem ,34003,nee,Eigenaar/huurder van een woning,2020,0.81,0.19
 Baarle-Hertog ,13002,nee,Eigenaar/huurder van een woning,2017,0.78,0.22
 Baarle-Hertog ,13002,nee,Eigenaar/huurder van een woning,2020,0.67,0.33
 Balen ,13003,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Balen ,13003,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Beernem ,31003,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Beernem ,31003,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Beerse ,13004,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Beerse ,13004,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Beersel ,23003,nee,Eigenaar/huurder van een woning,2017,0.83,0.17
 Beersel ,23003,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Begijnendijk ,24007,nee,Eigenaar/huurder van een woning,2017,0.96,0.04
 Begijnendijk ,24007,nee,Eigenaar/huurder van een woning,2020,0.93,0.07
 Bekkevoort ,24008,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
