Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Duurzaamheid van de woning,Energierecupererend,2011,0.28,0.72
 Aalst ,41002,ja,Duurzaamheid van de woning,Energierecupererend,2014,0.3,0.7
 Aalst ,41002,ja,Duurzaamheid van de woning,Energierecupererend,2017,0.36,0.64
 Aalst ,41002,ja,Duurzaamheid van de woning,Energierecupererend,2020,0.52,0.48
 Aalst ,41002,ja,Duurzaamheid van de woning,Energiezuinig,2011,0.39,0.61
 Aalst ,41002,ja,Duurzaamheid van de woning,Energiezuinig,2014,0.48,0.52
 Aalst ,41002,ja,Duurzaamheid van de woning,Energiezuinig,2017,0.53,0.47
 Aalst ,41002,ja,Duurzaamheid van de woning,Energiezuinig,2020,0.74,0.26
 Aalter ,44001,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.69,0.31
 Aalter ,44084,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.71,0.29
 Aalter ,44001,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.44,0.56
 Aalter ,44084,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.81,0.19
 Aarschot ,24001,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.48,0.52
 Aarschot ,24001,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.53,0.47
 Aarschot ,24001,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.47,0.53
 Aarschot ,24001,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.81,0.19
 Aartselaar ,11001,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.3,0.7
 Aartselaar ,11001,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.4,0.6
 Aartselaar ,11001,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.65,0.35
 Aartselaar ,11001,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.85,0.15
 Affligem ,23105,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.4,0.6
 Affligem ,23105,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.56,0.44
 Affligem ,23105,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.46,0.54
 Affligem ,23105,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.79,0.21
 Alken ,73001,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.52,0.48
 Alken ,73001,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.65,0.35
