Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Private buitenruimte aan de woning,2011,0.92,0.08
 Aalst ,41002,ja,Private buitenruimte aan de woning,2014,0.9,0.1
 Aalst ,41002,ja,Private buitenruimte aan de woning,2017,0.92,0.08
 Aalst ,41002,ja,Private buitenruimte aan de woning,2020,0.93,0.07
 Aalter ,44001,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Aalter ,44084,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Aarschot ,24001,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Aarschot ,24001,nee,Private buitenruimte aan de woning,2020,0.91,0.09
 Aartselaar ,11001,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Aartselaar ,11001,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Affligem ,23105,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Affligem ,23105,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Alken ,73001,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Alken ,73001,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Alveringem ,38002,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Alveringem ,38002,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Antwerpen ,11002,ja,Private buitenruimte aan de woning,2011,0.82,0.18
 Antwerpen ,11002,ja,Private buitenruimte aan de woning,2014,0.8,0.2
 Antwerpen ,11002,ja,Private buitenruimte aan de woning,2017,0.83,0.17
 Antwerpen ,11002,ja,Private buitenruimte aan de woning,2020,0.81,0.19
 Anzegem ,34002,nee,Private buitenruimte aan de woning,2017,0.9,0.1
 Anzegem ,34002,nee,Private buitenruimte aan de woning,2020,0.96,0.04
 Ardooie ,37020,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Ardooie ,37020,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Arendonk ,13001,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Arendonk ,13001,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 As ,71002,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 As ,71002,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Asse ,23002,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Asse ,23002,nee,Private buitenruimte aan de woning,2020,0.88,0.12
 Assenede ,43002,nee,Private buitenruimte aan de woning,2017,0.95,0.05
 Assenede ,43002,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Avelgem ,34003,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Avelgem ,34003,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Baarle-Hertog ,13002,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Baarle-Hertog ,13002,nee,Private buitenruimte aan de woning,2020,0.91,0.09
 Balen ,13003,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Balen ,13003,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Beernem ,31003,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Beernem ,31003,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Beerse ,13004,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Beerse ,13004,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Beersel ,23003,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Beersel ,23003,nee,Private buitenruimte aan de woning,2020,0.91,0.09
 Begijnendijk ,24007,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Begijnendijk ,24007,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Bekkevoort ,24008,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Bekkevoort ,24008,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Beringen ,71004,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Beringen ,71004,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Berlaar ,12002,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Berlaar ,12002,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Berlare ,42003,nee,Private buitenruimte aan de woning,2017,0.9,0.1
 Berlare ,42003,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Bertem ,24009,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Bertem ,24009,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Bever ,23009,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Bever ,23009,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Beveren ,46003,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Beveren ,46003,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Bierbeek ,24011,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Bierbeek ,24011,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Bilzen ,73006,nee,Private buitenruimte aan de woning,2017,0.9,0.1
 Bilzen ,73006,nee,Private buitenruimte aan de woning,2020,0.91,0.09
 Blankenberge ,31004,nee,Private buitenruimte aan de woning,2017,0.84,0.16
 Blankenberge ,31004,nee,Private buitenruimte aan de woning,2020,0.86,0.14
 Bocholt ,72003,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Bocholt ,72003,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Boechout ,11004,nee,Private buitenruimte aan de woning,2017,0.95,0.05
 Boechout ,11004,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Bonheiden ,12005,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Bonheiden ,12005,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Boom ,11005,nee,Private buitenruimte aan de woning,2017,0.87,0.13
 Boom ,11005,nee,Private buitenruimte aan de woning,2020,0.87,0.13
 Boortmeerbeek ,24014,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Boortmeerbeek ,24014,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Borgloon ,73009,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Borgloon ,73009,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Bornem ,12007,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Bornem ,12007,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Borsbeek ,11007,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Borsbeek ,11007,nee,Private buitenruimte aan de woning,2020,0.91,0.09
 Boutersem ,24016,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Boutersem ,24016,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Brakel ,45059,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Brakel ,45059,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Brasschaat ,11008,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Brasschaat ,11008,nee,Private buitenruimte aan de woning,2020,0.9,0.1
 Brecht ,11009,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Brecht ,11009,nee,Private buitenruimte aan de woning,2020,0.97,0.03
 Bredene ,35002,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Bredene ,35002,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Bree ,72004,nee,Private buitenruimte aan de woning,2017,0.9,0.1
 Bree ,72004,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Brugge ,31005,ja,Private buitenruimte aan de woning,2011,0.92,0.08
 Brugge ,31005,ja,Private buitenruimte aan de woning,2014,0.9,0.1
 Brugge ,31005,ja,Private buitenruimte aan de woning,2017,0.94,0.06
 Brugge ,31005,ja,Private buitenruimte aan de woning,2020,0.94,0.06
 Buggenhout ,42004,nee,Private buitenruimte aan de woning,2017,0.9,0.1
 Buggenhout ,42004,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Damme ,31006,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Damme ,31006,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 De Haan ,35029,nee,Private buitenruimte aan de woning,2017,0.88,0.12
 De Haan ,35029,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 De Panne ,38008,nee,Private buitenruimte aan de woning,2017,0.88,0.12
 De Panne ,38008,nee,Private buitenruimte aan de woning,2020,0.87,0.13
 De Pinte ,44012,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 De Pinte ,44012,nee,Private buitenruimte aan de woning,2020,0.97,0.03
 Deerlijk ,34009,nee,Private buitenruimte aan de woning,2017,0.95,0.05
 Deerlijk ,34009,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Deinze ,44011,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Deinze ,44083,nee,Private buitenruimte aan de woning,2020,0.91,0.09
 Denderleeuw ,41011,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Denderleeuw ,41011,nee,Private buitenruimte aan de woning,2020,0.91,0.09
 Dendermonde ,42006,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Dendermonde ,42006,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Dentergem ,37002,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Dentergem ,37002,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Dessel ,13006,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Dessel ,13006,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Destelbergen ,44013,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Destelbergen ,44013,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Diepenbeek ,71011,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Diepenbeek ,71011,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Diest ,24020,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Diest ,24020,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Diksmuide ,32003,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Diksmuide ,32003,nee,Private buitenruimte aan de woning,2020,0.96,0.04
 Dilbeek ,23016,nee,Private buitenruimte aan de woning,2017,0.9,0.1
 Dilbeek ,23016,nee,Private buitenruimte aan de woning,2020,0.89,0.11
 Dilsen-Stokkem ,72041,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Dilsen-Stokkem ,72041,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Drogenbos ,23098,nee,Private buitenruimte aan de woning,2017,0.84,0.16
 Drogenbos ,23098,nee,Private buitenruimte aan de woning,2020,0.66,0.34
 Duffel ,12009,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Duffel ,12009,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Edegem ,11013,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Edegem ,11013,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Eeklo ,43005,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Eeklo ,43005,nee,Private buitenruimte aan de woning,2020,0.91,0.09
 Erpe-Mere ,41082,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Erpe-Mere ,41082,nee,Private buitenruimte aan de woning,2020,0.91,0.09
 Essen ,11016,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Essen ,11016,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Evergem ,44019,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Evergem ,44019,nee,Private buitenruimte aan de woning,2020,0.91,0.09
 Galmaarden ,23023,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Galmaarden ,23023,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Gavere ,44020,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Gavere ,44020,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Geel ,13008,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Geel ,13008,nee,Private buitenruimte aan de woning,2020,0.9,0.1
 Geetbets ,24028,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Geetbets ,24028,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Genk ,71016,ja,Private buitenruimte aan de woning,2011,0.93,0.07
 Genk ,71016,ja,Private buitenruimte aan de woning,2014,0.92,0.08
 Genk ,71016,ja,Private buitenruimte aan de woning,2017,0.95,0.05
 Genk ,71016,ja,Private buitenruimte aan de woning,2020,0.92,0.08
 Gent ,44021,ja,Private buitenruimte aan de woning,2011,0.87,0.13
 Gent ,44021,ja,Private buitenruimte aan de woning,2014,0.86,0.14
 Gent ,44021,ja,Private buitenruimte aan de woning,2017,0.87,0.13
 Gent ,44021,ja,Private buitenruimte aan de woning,2020,0.86,0.14
 Geraardsbergen ,41018,nee,Private buitenruimte aan de woning,2017,0.88,0.12
 Geraardsbergen ,41018,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Gingelom ,71017,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Gingelom ,71017,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Gistel ,35005,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Gistel ,35005,nee,Private buitenruimte aan de woning,2020,0.96,0.04
 Glabbeek ,24137,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Glabbeek ,24137,nee,Private buitenruimte aan de woning,2020,0.96,0.04
 Gooik ,23024,nee,Private buitenruimte aan de woning,2017,0.95,0.05
 Gooik ,23024,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Grimbergen ,23025,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Grimbergen ,23025,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Grobbendonk ,13010,nee,Private buitenruimte aan de woning,2017,0.95,0.05
 Grobbendonk ,13010,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Haacht ,24033,nee,Private buitenruimte aan de woning,2017,0.95,0.05
 Haacht ,24033,nee,Private buitenruimte aan de woning,2020,0.97,0.03
 Haaltert ,41024,nee,Private buitenruimte aan de woning,2017,0.89,0.11
 Haaltert ,41024,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Halen ,71020,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Halen ,71020,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Halle ,23027,nee,Private buitenruimte aan de woning,2017,0.88,0.12
 Halle ,23027,nee,Private buitenruimte aan de woning,2020,0.9,0.1
 Ham ,71069,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Ham ,71069,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Hamme ,42008,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Hamme ,42008,nee,Private buitenruimte aan de woning,2020,0.88,0.12
 Hamont-Achel ,72037,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Hamont-Achel ,72037,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Harelbeke ,34013,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Harelbeke ,34013,nee,Private buitenruimte aan de woning,2020,0.9,0.1
 Hasselt ,71022,ja,Private buitenruimte aan de woning,2011,0.94,0.06
 Hasselt ,71022,ja,Private buitenruimte aan de woning,2014,0.91,0.09
 Hasselt ,71022,ja,Private buitenruimte aan de woning,2017,0.93,0.07
 Hasselt ,71022,ja,Private buitenruimte aan de woning,2020,0.93,0.07
 Hechtel-Eksel ,72038,nee,Private buitenruimte aan de woning,2017,0.95,0.05
 Hechtel-Eksel ,72038,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Heers ,73022,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Heers ,73022,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Heist-Op-Den-Berg ,12014,nee,Private buitenruimte aan de woning,2017,0.9,0.1
 Heist-Op-Den-Berg ,12014,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Hemiksem ,11018,nee,Private buitenruimte aan de woning,2017,0.9,0.1
 Hemiksem ,11018,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Herent ,24038,nee,Private buitenruimte aan de woning,2017,0.96,0.04
 Herent ,24038,nee,Private buitenruimte aan de woning,2020,0.95,0.05
 Herentals ,13011,nee,Private buitenruimte aan de woning,2017,0.92,0.08
 Herentals ,13011,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Herenthout ,13012,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Herenthout ,13012,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Herk-De-Stad ,71024,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Herk-De-Stad ,71024,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Herne ,23032,nee,Private buitenruimte aan de woning,2017,0.89,0.11
 Herne ,23032,nee,Private buitenruimte aan de woning,2020,0.92,0.08
 Herselt ,13013,nee,Private buitenruimte aan de woning,2017,0.9,0.1
 Herselt ,13013,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Herzele ,41027,nee,Private buitenruimte aan de woning,2017,0.9,0.1
 Herzele ,41027,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Heusden-Zolder ,71070,nee,Private buitenruimte aan de woning,2017,0.93,0.07
 Heusden-Zolder ,71070,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Heuvelland ,33039,nee,Private buitenruimte aan de woning,2017,0.95,0.05
 Heuvelland ,33039,nee,Private buitenruimte aan de woning,2020,0.93,0.07
 Hoegaarden ,24041,nee,Private buitenruimte aan de woning,2017,0.94,0.06
 Hoegaarden ,24041,nee,Private buitenruimte aan de woning,2020,0.94,0.06
 Hoeilaart ,23033,nee,Private buitenruimte aan de woning,2017,0.91,0.09
 Hoeilaart ,23033,nee,Private buitenruimte aan de woning,2020,0.92,0.08
