Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Betalingsmoeilijkheden gezondheidszorg,2011,0.06,0.94
 Aalst ,41002,ja,Betalingsmoeilijkheden gezondheidszorg,2014,0.05,0.95
 Aalst ,41002,ja,Betalingsmoeilijkheden gezondheidszorg,2017,0.07,0.93
 Aalst ,41002,ja,Betalingsmoeilijkheden gezondheidszorg,2020,0.05,0.95
 Aalter ,44084,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.04,0.96
 Aarschot ,24001,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.03,0.97
 Aartselaar ,11001,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.05,0.95
 Affligem ,23105,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.02,0.98
 Alken ,73001,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.02,0.98
 Alveringem ,38002,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.03,0.97
 Antwerpen ,11002,ja,Betalingsmoeilijkheden gezondheidszorg,2011,0.09,0.91
 Antwerpen ,11002,ja,Betalingsmoeilijkheden gezondheidszorg,2014,0.09,0.91
 Antwerpen ,11002,ja,Betalingsmoeilijkheden gezondheidszorg,2017,0.1,0.9
 Antwerpen ,11002,ja,Betalingsmoeilijkheden gezondheidszorg,2020,0.08,0.92
 Anzegem ,34002,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.02,0.98
 Ardooie ,37020,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.03,0.97
 Arendonk ,13001,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.06,0.94
 As ,71002,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.02,0.98
 Asse ,23002,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.05,0.95
 Assenede ,43002,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.02,0.98
 Avelgem ,34003,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.04,0.96
 Baarle-Hertog ,13002,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.03,0.97
 Balen ,13003,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.04,0.96
 Beernem ,31003,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.03,0.97
 Beerse ,13004,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.03,0.97
 Beersel ,23003,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.05,0.95
 Begijnendijk ,24007,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.02,0.98
 Bekkevoort ,24008,nee,Betalingsmoeilijkheden gezondheidszorg,2020,0.03,0.97
