Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Nooit/minder dan 1 keer per maand (%),Meerdere keren per maand (%),Minstens wekelijks (%),Dagelijks (%)
 Aalst ,41002,ja,Actief bewegen,2017,0.18,0.19,0.39,0.24
 Aalst ,41002,ja,Actief bewegen,2020,0.13,0.2,0.45,0.22
 Aalter ,44084,nee,Actief bewegen,2020,0.14,0.19,0.44,0.24
 Aarschot ,24001,nee,Actief bewegen,2020,0.11,0.22,0.41,0.27
 Aartselaar ,11001,nee,Actief bewegen,2020,0.1,0.17,0.49,0.23
 Affligem ,23105,nee,Actief bewegen,2020,0.19,0.21,0.43,0.17
 Alken ,73001,nee,Actief bewegen,2020,0.1,0.25,0.46,0.19
 Alveringem ,38002,nee,Actief bewegen,2020,0.19,0.23,0.35,0.22
 Antwerpen ,11002,ja,Actief bewegen,2017,0.11,0.16,0.4,0.33
 Antwerpen ,11002,ja,Actief bewegen,2020,0.09,0.15,0.44,0.33
 Anzegem ,34002,nee,Actief bewegen,2020,0.16,0.25,0.38,0.21
 Ardooie ,37020,nee,Actief bewegen,2020,0.2,0.22,0.38,0.2
 Arendonk ,13001,nee,Actief bewegen,2020,0.11,0.17,0.47,0.25
 As ,71002,nee,Actief bewegen,2020,0.09,0.18,0.51,0.21
 Asse ,23002,nee,Actief bewegen,2020,0.15,0.17,0.48,0.19
 Assenede ,43002,nee,Actief bewegen,2020,0.17,0.19,0.43,0.21
 Avelgem ,34003,nee,Actief bewegen,2020,0.19,0.24,0.42,0.15
 Baarle-Hertog ,13002,nee,Actief bewegen,2020,0.07,0.15,0.55,0.23
 Balen ,13003,nee,Actief bewegen,2020,0.13,0.2,0.47,0.19
 Beernem ,31003,nee,Actief bewegen,2020,0.11,0.2,0.42,0.27
 Beerse ,13004,nee,Actief bewegen,2020,0.1,0.18,0.48,0.23
 Beersel ,23003,nee,Actief bewegen,2020,0.13,0.22,0.41,0.24
 Begijnendijk ,24007,nee,Actief bewegen,2020,0.11,0.2,0.48,0.21
 Bekkevoort ,24008,nee,Actief bewegen,2020,0.14,0.2,0.47,0.19
 Beringen ,71004,nee,Actief bewegen,2020,0.11,0.19,0.51,0.19
 Berlaar ,12002,nee,Actief bewegen,2020,0.14,0.21,0.41,0.24
 Berlare ,42003,nee,Actief bewegen,2020,0.15,0.21,0.45,0.19
 Bertem ,24009,nee,Actief bewegen,2020,0.12,0.17,0.5,0.21
 Bever ,23009,nee,Actief bewegen,2020,0.15,0.24,0.45,0.16
 Beveren ,46003,nee,Actief bewegen,2020,0.12,0.21,0.41,0.25
 Bierbeek ,24011,nee,Actief bewegen,2020,0.07,0.19,0.47,0.28
 Bilzen ,73006,nee,Actief bewegen,2020,0.11,0.16,0.48,0.25
 Blankenberge ,31004,nee,Actief bewegen,2020,0.07,0.12,0.36,0.44
 Bocholt ,72003,nee,Actief bewegen,2020,0.1,0.15,0.45,0.3
 Boechout ,11004,nee,Actief bewegen,2020,0.09,0.19,0.46,0.27
 Bonheiden ,12005,nee,Actief bewegen,2020,0.11,0.16,0.54,0.19
 Boom ,11005,nee,Actief bewegen,2020,0.13,0.18,0.46,0.24
 Boortmeerbeek ,24014,nee,Actief bewegen,2020,0.1,0.22,0.46,0.22
 Borgloon ,73009,nee,Actief bewegen,2020,0.13,0.2,0.47,0.2
 Bornem ,12007,nee,Actief bewegen,2020,0.13,0.15,0.47,0.25
 Borsbeek ,11007,nee,Actief bewegen,2020,0.1,0.16,0.46,0.28
 Boutersem ,24016,nee,Actief bewegen,2020,0.16,0.18,0.48,0.17
 Brakel ,45059,nee,Actief bewegen,2020,0.17,0.22,0.43,0.19
 Brasschaat ,11008,nee,Actief bewegen,2020,0.09,0.16,0.51,0.24
 Brecht ,11009,nee,Actief bewegen,2020,0.12,0.17,0.48,0.23
 Bredene ,35002,nee,Actief bewegen,2020,0.1,0.16,0.45,0.29
 Bree ,72004,nee,Actief bewegen,2020,0.09,0.17,0.55,0.2
 Brugge ,31005,ja,Actief bewegen,2017,0.11,0.17,0.41,0.3
 Brugge ,31005,ja,Actief bewegen,2020,0.08,0.16,0.44,0.32
 Buggenhout ,42004,nee,Actief bewegen,2020,0.12,0.22,0.44,0.22
 Damme ,31006,nee,Actief bewegen,2020,0.11,0.21,0.45,0.23
 De Haan ,35029,nee,Actief bewegen,2020,0.09,0.13,0.48,0.3
 De Panne ,38008,nee,Actief bewegen,2020,0.09,0.16,0.4,0.34
 De Pinte ,44012,nee,Actief bewegen,2020,0.08,0.16,0.48,0.28
 Deerlijk ,34009,nee,Actief bewegen,2020,0.12,0.23,0.47,0.18
 Deinze ,44083,nee,Actief bewegen,2020,0.11,0.23,0.47,0.18
 Denderleeuw ,41011,nee,Actief bewegen,2020,0.19,0.18,0.43,0.19
 Dendermonde ,42006,nee,Actief bewegen,2020,0.16,0.16,0.49,0.19
 Dentergem ,37002,nee,Actief bewegen,2020,0.16,0.24,0.43,0.18
 Dessel ,13006,nee,Actief bewegen,2020,0.1,0.18,0.48,0.24
 Destelbergen ,44013,nee,Actief bewegen,2020,0.14,0.15,0.45,0.26
 Diepenbeek ,71011,nee,Actief bewegen,2020,0.09,0.18,0.5,0.23
 Diest ,24020,nee,Actief bewegen,2020,0.11,0.15,0.46,0.28
