Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Aalst ,41002,ja,Tevredenheid over kinderopvang,2011,0.13,0.28,0.6
 Aalst ,41002,ja,Tevredenheid over kinderopvang,2014,0.15,0.29,0.56
 Aalst ,41002,ja,Tevredenheid over kinderopvang,2017,0.11,0.28,0.62
 Aalst ,41002,ja,Tevredenheid over kinderopvang,2020,0.1,0.26,0.64
 Aalter ,44001,nee,Tevredenheid over kinderopvang,2017,0.04,0.09,0.88
 Aalter ,44084,nee,Tevredenheid over kinderopvang,2020,0.07,0.17,0.77
 Aarschot ,24001,nee,Tevredenheid over kinderopvang,2017,0.06,0.24,0.7
 Aarschot ,24001,nee,Tevredenheid over kinderopvang,2020,0.1,0.26,0.64
 Aartselaar ,11001,nee,Tevredenheid over kinderopvang,2017,0.03,0.19,0.78
 Aartselaar ,11001,nee,Tevredenheid over kinderopvang,2020,0.02,0.24,0.74
 Affligem ,23105,nee,Tevredenheid over kinderopvang,2017,0.1,0.21,0.69
 Affligem ,23105,nee,Tevredenheid over kinderopvang,2020,0.1,0.28,0.62
 Alken ,73001,nee,Tevredenheid over kinderopvang,2017,0.05,0.13,0.82
 Alken ,73001,nee,Tevredenheid over kinderopvang,2020,0.05,0.14,0.8
 Alveringem ,38002,nee,Tevredenheid over kinderopvang,2017,0.11,0.16,0.74
 Alveringem ,38002,nee,Tevredenheid over kinderopvang,2020,0.09,0.29,0.62
 Antwerpen ,11002,ja,Tevredenheid over kinderopvang,2011,0.2,0.26,0.53
 Antwerpen ,11002,ja,Tevredenheid over kinderopvang,2014,0.19,0.3,0.51
 Antwerpen ,11002,ja,Tevredenheid over kinderopvang,2017,0.15,0.28,0.57
 Antwerpen ,11002,ja,Tevredenheid over kinderopvang,2020,0.1,0.26,0.64
 Anzegem ,34002,nee,Tevredenheid over kinderopvang,2017,0.03,0.17,0.81
 Anzegem ,34002,nee,Tevredenheid over kinderopvang,2020,0.06,0.18,0.76
 Ardooie ,37020,nee,Tevredenheid over kinderopvang,2017,0.03,0.12,0.85
 Ardooie ,37020,nee,Tevredenheid over kinderopvang,2020,0.1,0.16,0.74
 Arendonk ,13001,nee,Tevredenheid over kinderopvang,2017,0.02,0.13,0.85
 Arendonk ,13001,nee,Tevredenheid over kinderopvang,2020,0.02,0.1,0.88
 As ,71002,nee,Tevredenheid over kinderopvang,2017,0.05,0.14,0.81
 As ,71002,nee,Tevredenheid over kinderopvang,2020,0.03,0.16,0.81
 Asse ,23002,nee,Tevredenheid over kinderopvang,2017,0.1,0.27,0.62
 Asse ,23002,nee,Tevredenheid over kinderopvang,2020,0.12,0.33,0.55
 Assenede ,43002,nee,Tevredenheid over kinderopvang,2017,0.15,0.24,0.62
 Assenede ,43002,nee,Tevredenheid over kinderopvang,2020,0.11,0.23,0.66
 Avelgem ,34003,nee,Tevredenheid over kinderopvang,2017,0.06,0.16,0.78
 Avelgem ,34003,nee,Tevredenheid over kinderopvang,2020,0.03,0.21,0.76
 Baarle-Hertog ,13002,nee,Tevredenheid over kinderopvang,2017,0.09,0.21,0.7
 Baarle-Hertog ,13002,nee,Tevredenheid over kinderopvang,2020,0.13,0.25,0.62
 Balen ,13003,nee,Tevredenheid over kinderopvang,2017,0.08,0.25,0.67
 Balen ,13003,nee,Tevredenheid over kinderopvang,2020,0.07,0.26,0.67
 Beernem ,31003,nee,Tevredenheid over kinderopvang,2017,0.03,0.13,0.84
 Beernem ,31003,nee,Tevredenheid over kinderopvang,2020,0.03,0.17,0.8
 Beerse ,13004,nee,Tevredenheid over kinderopvang,2017,0.08,0.2,0.72
 Beerse ,13004,nee,Tevredenheid over kinderopvang,2020,0.13,0.25,0.62
 Beersel ,23003,nee,Tevredenheid over kinderopvang,2017,0.19,0.28,0.54
 Beersel ,23003,nee,Tevredenheid over kinderopvang,2020,0.19,0.33,0.48
 Begijnendijk ,24007,nee,Tevredenheid over kinderopvang,2017,0.03,0.22,0.76
 Begijnendijk ,24007,nee,Tevredenheid over kinderopvang,2020,0.04,0.21,0.74
 Bekkevoort ,24008,nee,Tevredenheid over kinderopvang,2017,0.06,0.2,0.74
 Bekkevoort ,24008,nee,Tevredenheid over kinderopvang,2020,0.07,0.3,0.63
 Beringen ,71004,nee,Tevredenheid over kinderopvang,2017,0.1,0.2,0.69
 Beringen ,71004,nee,Tevredenheid over kinderopvang,2020,0.09,0.23,0.67
 Berlaar ,12002,nee,Tevredenheid over kinderopvang,2017,0.03,0.15,0.83
 Berlaar ,12002,nee,Tevredenheid over kinderopvang,2020,0.03,0.17,0.8
 Berlare ,42003,nee,Tevredenheid over kinderopvang,2017,0.04,0.15,0.81
 Berlare ,42003,nee,Tevredenheid over kinderopvang,2020,0.05,0.22,0.73
 Bertem ,24009,nee,Tevredenheid over kinderopvang,2017,0.18,0.29,0.53
 Bertem ,24009,nee,Tevredenheid over kinderopvang,2020,0.12,0.24,0.64
 Bever ,23009,nee,Tevredenheid over kinderopvang,2017,0.03,0.12,0.84
 Bever ,23009,nee,Tevredenheid over kinderopvang,2020,0.05,0.17,0.79
 Beveren ,46003,nee,Tevredenheid over kinderopvang,2017,0.05,0.17,0.77
 Beveren ,46003,nee,Tevredenheid over kinderopvang,2020,0.06,0.18,0.76
 Bierbeek ,24011,nee,Tevredenheid over kinderopvang,2017,0.09,0.27,0.64
 Bierbeek ,24011,nee,Tevredenheid over kinderopvang,2020,0.13,0.28,0.59
 Bilzen ,73006,nee,Tevredenheid over kinderopvang,2017,0.04,0.13,0.83
 Bilzen ,73006,nee,Tevredenheid over kinderopvang,2020,0.11,0.17,0.72
 Blankenberge ,31004,nee,Tevredenheid over kinderopvang,2017,0.09,0.16,0.75
 Blankenberge ,31004,nee,Tevredenheid over kinderopvang,2020,0.12,0.24,0.64
 Bocholt ,72003,nee,Tevredenheid over kinderopvang,2017,0.03,0.16,0.8
 Bocholt ,72003,nee,Tevredenheid over kinderopvang,2020,0.08,0.23,0.69
 Boechout ,11004,nee,Tevredenheid over kinderopvang,2017,0.05,0.18,0.77
 Boechout ,11004,nee,Tevredenheid over kinderopvang,2020,0.06,0.22,0.72
 Bonheiden ,12005,nee,Tevredenheid over kinderopvang,2017,0.04,0.22,0.74
 Bonheiden ,12005,nee,Tevredenheid over kinderopvang,2020,0.13,0.22,0.65
 Boom ,11005,nee,Tevredenheid over kinderopvang,2017,0.07,0.23,0.7
 Boom ,11005,nee,Tevredenheid over kinderopvang,2020,0.11,0.27,0.62
 Boortmeerbeek ,24014,nee,Tevredenheid over kinderopvang,2017,0.07,0.27,0.66
 Boortmeerbeek ,24014,nee,Tevredenheid over kinderopvang,2020,0.07,0.38,0.55
 Borgloon ,73009,nee,Tevredenheid over kinderopvang,2017,0.08,0.24,0.69
 Borgloon ,73009,nee,Tevredenheid over kinderopvang,2020,0.12,0.25,0.63
 Bornem ,12007,nee,Tevredenheid over kinderopvang,2017,0.06,0.14,0.81
 Bornem ,12007,nee,Tevredenheid over kinderopvang,2020,0.12,0.13,0.76
 Borsbeek ,11007,nee,Tevredenheid over kinderopvang,2017,0.04,0.26,0.71
 Borsbeek ,11007,nee,Tevredenheid over kinderopvang,2020,0.04,0.22,0.74
 Boutersem ,24016,nee,Tevredenheid over kinderopvang,2017,0.09,0.17,0.74
 Boutersem ,24016,nee,Tevredenheid over kinderopvang,2020,0.11,0.27,0.62
 Brakel ,45059,nee,Tevredenheid over kinderopvang,2017,0.09,0.21,0.71
 Brakel ,45059,nee,Tevredenheid over kinderopvang,2020,0.06,0.27,0.67
 Brasschaat ,11008,nee,Tevredenheid over kinderopvang,2017,0.03,0.2,0.76
 Brasschaat ,11008,nee,Tevredenheid over kinderopvang,2020,0.07,0.15,0.78
