Date,Zwitserse frank
2015-09-09,1.0893
2015-09-10,1.0923
2015-09-11,1.1031
2015-09-14,1.0979
2015-09-15,1.0971
2015-09-16,1.0943
2015-09-17,1.095
2015-09-18,1.0913
2015-09-21,1.0906
2015-09-22,1.086
2015-09-23,1.0882
2015-09-24,1.0928
2015-09-25,1.0922
2015-09-28,1.0941
2015-09-29,1.0901
2015-09-30,1.0915
2015-10-01,1.0903
2015-10-02,1.0923
2015-10-05,1.0938
2015-10-06,1.0936
2015-10-07,1.0882
2015-10-08,1.0935
2015-10-09,1.0919
2015-10-12,1.0928
2015-10-13,1.091
2015-10-14,1.0901
2015-10-15,1.0873
2015-10-16,1.0809
2015-10-19,1.0834
2015-10-20,1.0823
2015-10-21,1.0864
2015-10-22,1.0886
2015-10-23,1.0793
2015-10-26,1.0823
2015-10-27,1.088
2015-10-28,1.0899
2015-10-29,1.0851
2015-10-30,1.09
2015-11-02,1.0885
2015-11-03,1.0869
2015-11-04,1.0813
2015-11-05,1.0833
2015-11-06,1.083
2015-11-09,1.0815
2015-11-10,1.0765
2015-11-11,1.0783
2015-11-12,1.0769
2015-11-13,1.0786
2015-11-16,1.0791
2015-11-17,1.0806
2015-11-18,1.0838
2015-11-19,1.0893
2015-11-20,1.0844
2015-11-23,1.0848
2015-11-24,1.0832
2015-11-25,1.082
2015-11-26,1.0868
2015-11-27,1.09
2015-11-30,1.0903
2015-12-01,1.0908
2015-12-02,1.088
2015-12-03,1.084
2015-12-04,1.0882
2015-12-07,1.083
2015-12-08,1.082
2015-12-09,1.083
2015-12-10,1.0806
2015-12-11,1.0819
2015-12-14,1.0771
2015-12-15,1.0831
2015-12-16,1.0824
2015-12-17,1.0807
2015-12-18,1.0768
2015-12-21,1.0804
2015-12-22,1.0818
2015-12-23,1.0812
2015-12-24,1.0806
2015-12-28,1.0838
2015-12-29,1.0846
2015-12-30,1.0814
2015-12-31,1.0835
2016-01-04,1.0891
2016-01-05,1.0847
2016-01-06,1.0846
2016-01-07,1.0875
2016-01-08,1.086
2016-01-11,1.0863
2016-01-12,1.0855
2016-01-13,1.0926
2016-01-14,1.095
2016-01-15,1.0951
2016-01-18,1.0946
2016-01-19,1.0922
2016-01-20,1.0932
2016-01-21,1.0949
2016-01-22,1.095
2016-01-25,1.0981
2016-01-26,1.1008
2016-01-27,1.1068
2016-01-28,1.1053
2016-01-29,1.1144
2016-02-01,1.1096
2016-02-02,1.1147
2016-02-03,1.1115
2016-02-04,1.1169
2016-02-05,1.1101
2016-02-08,1.1051
2016-02-09,1.0997
2016-02-10,1.096
2016-02-11,1.1027
2016-02-12,1.0989
2016-02-15,1.1009
2016-02-16,1.1018
2016-02-17,1.1034
2016-02-18,1.1028
2016-02-19,1.1017
2016-02-22,1.1008
2016-02-23,1.0921
2016-02-24,1.0914
2016-02-25,1.0935
2016-02-26,1.0929
2016-02-29,1.0914
2016-03-01,1.086
2016-03-02,1.0845
2016-03-03,1.084
2016-03-04,1.0898
2016-03-07,1.0962
2016-03-08,1.0952
2016-03-09,1.0978
2016-03-10,1.0941
2016-03-11,1.0948
2016-03-14,1.0969
2016-03-15,1.0954
2016-03-16,1.096
2016-03-17,1.0959
2016-03-18,1.0919
2016-03-21,1.0916
2016-03-22,1.0887
2016-03-23,1.0894
2016-03-24,1.0875
2016-03-29,1.0915
2016-03-30,1.0913
2016-03-31,1.0931
2016-04-01,1.0946
2016-04-04,1.0919
2016-04-05,1.0892
2016-04-06,1.0887
2016-04-07,1.0884
2016-04-08,1.0874
2016-04-11,1.0877
2016-04-12,1.0874
2016-04-13,1.0887
2016-04-14,1.0878
2016-04-15,1.0919
2016-04-18,1.0916
2016-04-19,1.0922
2016-04-20,1.0939
2016-04-21,1.0989
2016-04-22,1.0991
2016-04-25,1.0973
2016-04-26,1.1
2016-04-27,1.0998
2016-04-28,1.0974
2016-04-29,1.0984
2016-05-02,1.0999
2016-05-03,1.0977
2016-05-04,1.0993
2016-05-05,1.1018
2016-05-06,1.107
2016-05-09,1.1053
2016-05-10,1.1079
2016-05-11,1.1099
2016-05-12,1.1063
2016-05-13,1.1024
2016-05-16,1.1059
2016-05-17,1.108
2016-05-18,1.1086
2016-05-19,1.1089
2016-05-20,1.1123
2016-05-23,1.1105
2016-05-24,1.1079
2016-05-25,1.1049
2016-05-26,1.1075
2016-05-27,1.1068
2016-05-30,1.1058
2016-05-31,1.1044
2016-06-01,1.1055
2016-06-02,1.1062
2016-06-03,1.105
2016-06-06,1.1051
2016-06-07,1.0979
2016-06-08,1.0942
2016-06-09,1.0916
2016-06-10,1.0885
2016-06-13,1.0888
2016-06-14,1.0832
2016-06-15,1.0817
2016-06-16,1.0812
2016-06-17,1.0818
2016-06-20,1.0884
2016-06-21,1.085
2016-06-22,1.083
2016-06-23,1.0876
2016-06-24,1.0808
2016-06-27,1.0736
2016-06-28,1.0845
2016-06-29,1.0854
2016-06-30,1.0867
2016-07-01,1.0835
2016-07-04,1.0839
2016-07-05,1.0837
2016-07-06,1.0821
2016-07-07,1.082
2016-07-08,1.0855
2016-07-11,1.0867
2016-07-12,1.0904
2016-07-13,1.0909
2016-07-14,1.09
2016-07-15,1.0899
2016-07-18,1.0869
2016-07-19,1.0877
2016-07-20,1.0882
2016-07-21,1.0872
2016-07-22,1.086
2016-07-25,1.0839
2016-07-26,1.087
2016-07-27,1.0928
2016-07-28,1.0892
2016-07-29,1.0823
2016-08-01,1.0807
2016-08-02,1.081
2016-08-03,1.0845
2016-08-04,1.0834
2016-08-05,1.0852
2016-08-08,1.0883
2016-08-09,1.0899
2016-08-10,1.0923
2016-08-11,1.0859
2016-08-12,1.0888
2016-08-15,1.0893
2016-08-16,1.0849
2016-08-17,1.0863
2016-08-18,1.0853
2016-08-19,1.0852
2016-08-22,1.0886
2016-08-23,1.0896
2016-08-24,1.0891
2016-08-25,1.0905
2016-08-26,1.0933
2016-08-29,1.0937
2016-08-30,1.0951
2016-08-31,1.0957
2016-09-01,1.0978
2016-09-02,1.0959
2016-09-05,1.0925
2016-09-06,1.0923
2016-09-07,1.0891
2016-09-08,1.0917
2016-09-09,1.0969
2016-09-12,1.0935
2016-09-13,1.0925
2016-09-14,1.0945
2016-09-15,1.0941
2016-09-16,1.0941
2016-09-19,1.0955
2016-09-20,1.0943
2016-09-21,1.0883
2016-09-22,1.0867
2016-09-23,1.0887
2016-09-26,1.0905
2016-09-27,1.088
2016-09-28,1.0891
2016-09-29,1.0876
2016-09-30,1.0876
2016-10-03,1.0918
2016-10-04,1.0949
2016-10-05,1.0959
2016-10-06,1.0942
2016-10-07,1.0946
2016-10-10,1.096
2016-10-11,1.0938
2016-10-12,1.0906
2016-10-13,1.0904
2016-10-14,1.0889
2016-10-17,1.0872
2016-10-18,1.0886
2016-10-19,1.0854
2016-10-20,1.0852
2016-10-21,1.0825
2016-10-24,1.0821
2016-10-25,1.0848
2016-10-26,1.0838
2016-10-27,1.0838
2016-10-28,1.0855
2016-10-31,1.082
2016-11-01,1.0823
2016-11-02,1.0787
2016-11-03,1.0787
2016-11-04,1.0774
2016-11-07,1.0789
2016-11-08,1.0778
2016-11-09,1.0793
2016-11-10,1.0762
2016-11-11,1.0732
2016-11-14,1.0739
2016-11-15,1.0758
2016-11-16,1.0738
2016-11-17,1.0737
2016-11-18,1.0711
2016-11-21,1.0727
2016-11-22,1.073
2016-11-23,1.0731
2016-11-24,1.0727
2016-11-25,1.0736
2016-11-28,1.0751
2016-11-29,1.0752
2016-11-30,1.0803
2016-12-01,1.0764
2016-12-02,1.0751
2016-12-05,1.0797
2016-12-06,1.0833
2016-12-07,1.0834
2016-12-08,1.0853
2016-12-09,1.0756
2016-12-12,1.0772
2016-12-13,1.0742
2016-12-14,1.0747
2016-12-15,1.0733
2016-12-16,1.0751
2016-12-19,1.0709
2016-12-20,1.0687
2016-12-21,1.0689
2016-12-22,1.0706
2016-12-23,1.0711
2016-12-27,1.0754
2016-12-28,1.0714
2016-12-29,1.0714
2016-12-30,1.0739
2017-01-02,1.0711
2017-01-03,1.0702
2017-01-04,1.0707
2017-01-05,1.0704
2017-01-06,1.0725
2017-01-09,1.0721
2017-01-10,1.0737
2017-01-11,1.0721
2017-01-12,1.0742
2017-01-13,1.0728
2017-01-16,1.0709
2017-01-17,1.0712
2017-01-18,1.0706
2017-01-19,1.0729
2017-01-20,1.0727
2017-01-23,1.0727
2017-01-24,1.0738
2017-01-25,1.0732
2017-01-26,1.0693
2017-01-27,1.0689
2017-01-30,1.0669
2017-01-31,1.0668
2017-02-01,1.068
2017-02-02,1.069
2017-02-03,1.0695
2017-02-06,1.067
2017-02-07,1.0658
2017-02-08,1.0637
2017-02-09,1.0672
2017-02-10,1.0669
2017-02-13,1.0673
2017-02-14,1.0659
2017-02-15,1.0652
2017-02-16,1.0647
2017-02-17,1.0637
2017-02-20,1.065
2017-02-21,1.0639
2017-02-22,1.0642
2017-02-23,1.0663
2017-02-24,1.0649
2017-02-27,1.0664
2017-02-28,1.0648
2017-03-01,1.0647
2017-03-02,1.0651
2017-03-03,1.0675
2017-03-06,1.0694
2017-03-07,1.073
2017-03-08,1.0702
2017-03-09,1.0709
2017-03-10,1.0743
2017-03-13,1.0749
2017-03-14,1.0726
2017-03-15,1.0715
2017-03-16,1.0695
2017-03-17,1.0698
2017-03-20,1.072
2017-03-21,1.075
2017-03-22,1.0714
2017-03-23,1.07
2017-03-24,1.0718
2017-03-27,1.0713
2017-03-28,1.0693
2017-03-29,1.0712
2017-03-30,1.0698
2017-03-31,1.0696
2017-04-03,1.0682
2017-04-04,1.0673
2017-04-05,1.0708
2017-04-06,1.0702
2017-04-07,1.0695
2017-04-10,1.0682
2017-04-11,1.0696
2017-04-12,1.0678
2017-04-13,1.0686
2017-04-18,1.0686
2017-04-19,1.069
2017-04-20,1.0701
2017-04-21,1.068
2017-04-24,1.0806
2017-04-25,1.0826
2017-04-26,1.0835
2017-04-27,1.082
2017-04-28,1.0831
2017-05-02,1.0852
2017-05-03,1.0812
2017-05-04,1.0843
2017-05-05,1.0839
2017-05-08,1.0878
2017-05-09,1.0938
2017-05-10,1.0949
2017-05-11,1.0952
2017-05-12,1.0963
2017-05-15,1.0944
2017-05-16,1.0958
2017-05-17,1.0923
2017-05-18,1.0874
2017-05-19,1.0921
2017-05-22,1.0911
2017-05-23,1.0912
2017-05-24,1.0929
2017-05-25,1.0904
2017-05-26,1.0888
2017-05-29,1.09
2017-05-30,1.0903
2017-05-31,1.0896
2017-06-01,1.0883
2017-06-02,1.0893
2017-06-05,1.0856
2017-06-06,1.0851
2017-06-07,1.0843
2017-06-08,1.0856
2017-06-09,1.0863
2017-06-12,1.0857
2017-06-13,1.085
2017-06-14,1.0874
2017-06-15,1.0874
2017-06-16,1.0885
2017-06-19,1.087
2017-06-20,1.0854
2017-06-21,1.0857
2017-06-22,1.0867
2017-06-23,1.0851
2017-06-26,1.0881
2017-06-27,1.0883
2017-06-28,1.0913
2017-06-29,1.0935
2017-06-30,1.093
2017-07-03,1.0943
2017-07-04,1.0954
2017-07-05,1.095
2017-07-06,1.0975
2017-07-07,1.0983
2017-07-10,1.1007
2017-07-11,1.104
2017-07-12,1.1027
2017-07-13,1.1011
2017-07-14,1.1051
2017-07-17,1.1012
2017-07-18,1.1025
2017-07-19,1.0994
2017-07-20,1.1039
2017-07-21,1.1051
2017-07-24,1.102
2017-07-25,1.1063
2017-07-26,1.1152
2017-07-27,1.1232
2017-07-28,1.1357
2017-07-31,1.1359
2017-08-01,1.1414
2017-08-02,1.1459
2017-08-03,1.1501
2017-08-04,1.1494
2017-08-07,1.148
2017-08-08,1.1478
2017-08-09,1.1293
2017-08-10,1.1341
2017-08-11,1.132
2017-08-14,1.1422
2017-08-15,1.1417
2017-08-16,1.1406
2017-08-17,1.1311
2017-08-18,1.1287
2017-08-21,1.1362
2017-08-22,1.1364
2017-08-23,1.1392
2017-08-24,1.1375
2017-08-25,1.139
2017-08-28,1.1389
2017-08-29,1.1386
2017-08-30,1.1422
2017-08-31,1.1446
2017-09-01,1.1441
2017-09-04,1.1399
2017-09-05,1.1407
2017-09-06,1.1399
2017-09-07,1.1412
2017-09-08,1.1405
2017-09-11,1.1404
2017-09-12,1.1444
2017-09-13,1.1496
2017-09-14,1.1496
2017-09-15,1.148
2017-09-18,1.1464
2017-09-19,1.1535
2017-09-20,1.1532
2017-09-21,1.1585
2017-09-22,1.1588
2017-09-25,1.1562
2017-09-26,1.1452
2017-09-27,1.1451
2017-09-28,1.146
2017-09-29,1.1457
2017-10-02,1.1399
2017-10-03,1.1449
2017-10-04,1.1456
2017-10-05,1.1472
2017-10-06,1.1473
2017-10-09,1.1497
2017-10-10,1.1522
2017-10-11,1.1524
2017-10-12,1.1552
2017-10-13,1.1533
2017-10-16,1.1514
2017-10-17,1.1504
2017-10-18,1.1551
2017-10-19,1.1541
2017-10-20,1.1597
2017-10-23,1.1581
2017-10-24,1.1613
2017-10-25,1.169
2017-10-26,1.1678
2017-10-27,1.1632
2017-10-30,1.1603
2017-10-31,1.1622
2017-11-01,1.164
2017-11-02,1.1647
2017-11-03,1.1635
2017-11-06,1.1593
2017-11-07,1.1557
2017-11-08,1.1581
2017-11-09,1.1589
2017-11-10,1.1591
2017-11-13,1.1591
2017-11-14,1.1643
2017-11-15,1.1675
2017-11-16,1.1686
2017-11-17,1.1696
2017-11-20,1.1676
2017-11-21,1.1641
2017-11-22,1.1609
2017-11-23,1.1613
2017-11-24,1.165
2017-11-27,1.1718
2017-11-28,1.168
2017-11-29,1.1664
2017-11-30,1.1699
2017-12-01,1.1691
2017-12-04,1.1665
2017-12-05,1.1673
2017-12-06,1.1678
2017-12-07,1.17
2017-12-08,1.1704
2017-12-11,1.1679
2017-12-12,1.1671
2017-12-13,1.1647
2017-12-14,1.1686
2017-12-15,1.1669
2017-12-18,1.1652
2017-12-19,1.1643
2017-12-20,1.1702
2017-12-21,1.1725
2017-12-22,1.1735
2017-12-27,1.1772
2017-12-28,1.1704
2017-12-29,1.1702
2018-01-02,1.1718
2018-01-03,1.1736
2018-01-04,1.1763
2018-01-05,1.1757
2018-01-08,1.1709
2018-01-09,1.1727
2018-01-10,1.1725
2018-01-11,1.1736
2018-01-12,1.1787
2018-01-15,1.1799
2018-01-16,1.1795
2018-01-17,1.1774
2018-01-18,1.1748
2018-01-19,1.1758
2018-01-22,1.1764
2018-01-23,1.1779
2018-01-24,1.1735
2018-01-25,1.168
2018-01-26,1.1632
2018-01-29,1.1563
2018-01-30,1.1589
2018-01-31,1.1631
2018-02-01,1.1603
2018-02-02,1.1596
2018-02-05,1.1599
2018-02-06,1.1571
2018-02-07,1.161
2018-02-08,1.1555
2018-02-09,1.15
2018-02-12,1.1503
2018-02-13,1.1522
2018-02-14,1.1519
2018-02-15,1.1545
2018-02-16,1.1521
2018-02-19,1.1513
2018-02-20,1.1537
2018-02-21,1.1551
2018-02-22,1.1508
2018-02-23,1.1505
2018-02-26,1.153
2018-02-27,1.1539
2018-02-28,1.152
2018-03-01,1.1519
2018-03-02,1.1512
2018-03-05,1.1549
2018-03-06,1.1626
2018-03-07,1.1673
2018-03-08,1.1731
2018-03-09,1.1695
2018-03-12,1.1681
2018-03-13,1.169
2018-03-14,1.1704
2018-03-15,1.1689
2018-03-16,1.1702
2018-03-19,1.1717
2018-03-20,1.1721
2018-03-21,1.1709
2018-03-22,1.1671
2018-03-23,1.1703
2018-03-26,1.1739
2018-03-27,1.1764
2018-03-28,1.1801
2018-03-29,1.1779
2018-04-03,1.1775
2018-04-04,1.1776
2018-04-05,1.1796
2018-04-06,1.1798
2018-04-09,1.179
2018-04-10,1.1792
2018-04-11,1.1855
2018-04-12,1.1876
2018-04-13,1.1854
2018-04-16,1.1878
2018-04-17,1.1908
2018-04-18,1.1979
2018-04-19,1.1976
2018-04-20,1.197
2018-04-23,1.1941
2018-04-24,1.1944
2018-04-25,1.1986
2018-04-26,1.1976
2018-04-27,1.196
2018-04-30,1.1968
2018-05-02,1.1957
2018-05-03,1.1958
2018-05-04,1.195
2018-05-07,1.1964
2018-05-08,1.1906
2018-05-09,1.1895
2018-05-10,1.1908
2018-05-11,1.1933
2018-05-14,1.1965
2018-05-15,1.191
2018-05-16,1.1792
2018-05-17,1.1819
2018-05-18,1.1773
2018-05-21,1.1753
2018-05-22,1.1738
2018-05-23,1.1598
2018-05-24,1.1607
2018-05-25,1.1593
2018-05-28,1.1577
2018-05-29,1.1517
2018-05-30,1.1513
2018-05-31,1.1526
2018-06-01,1.1531
2018-06-04,1.1546
2018-06-05,1.1515
2018-06-06,1.1629
2018-06-07,1.1613
2018-06-08,1.1572
2018-06-11,1.1631
2018-06-12,1.1615
2018-06-13,1.1616
2018-06-14,1.1585
2018-06-15,1.1575
2018-06-18,1.1554
2018-06-19,1.1501
2018-06-20,1.1537
2018-06-21,1.1496
2018-06-22,1.1534
2018-06-25,1.1549
2018-06-26,1.1543
2018-06-27,1.1536
2018-06-28,1.1556
2018-06-29,1.1569
2018-07-02,1.1563
2018-07-03,1.1573
2018-07-04,1.1557
2018-07-05,1.1613
2018-07-06,1.1634
2018-07-09,1.1646
2018-07-10,1.1649
2018-07-11,1.1653
2018-07-12,1.1642
2018-07-13,1.1704
2018-07-16,1.1696
2018-07-17,1.1648
2018-07-18,1.1611
2018-07-19,1.1622
2018-07-20,1.1633
2018-07-23,1.1614
2018-07-24,1.1626
2018-07-25,1.1598
2018-07-26,1.1616
2018-07-27,1.1597
2018-07-30,1.1598
2018-07-31,1.1592
2018-08-01,1.1589
2018-08-02,1.155
2018-08-03,1.1528
2018-08-06,1.1513
2018-08-07,1.153
2018-08-08,1.1544
2018-08-09,1.1512
2018-08-10,1.1391
2018-08-13,1.1338
2018-08-14,1.1298
2018-08-15,1.1289
2018-08-16,1.1299
2018-08-17,1.1338
2018-08-20,1.1366
2018-08-21,1.1372
2018-08-22,1.1401
2018-08-23,1.1383
2018-08-24,1.1398
2018-08-27,1.1428
2018-08-28,1.1427
2018-08-29,1.1385
2018-08-30,1.1339
2018-08-31,1.1281
2018-09-03,1.1268
2018-09-04,1.1261
2018-09-05,1.1288
2018-09-06,1.1275
2018-09-07,1.1217
2018-09-10,1.1267
2018-09-11,1.1276
2018-09-12,1.1277
2018-09-13,1.1265
2018-09-14,1.1274
2018-09-17,1.1236
2018-09-18,1.1245
2018-09-19,1.1304
2018-09-20,1.1312
2018-09-21,1.1228
2018-09-24,1.129
2018-09-25,1.1376
2018-09-26,1.1369
2018-09-27,1.1371
2018-09-28,1.1316
2018-10-01,1.1414
2018-10-02,1.1354
2018-10-03,1.1412
2018-10-04,1.1409
2018-10-05,1.1433
2018-10-08,1.1396
2018-10-09,1.1381
2018-10-10,1.1412
2018-10-11,1.143
2018-10-12,1.147
2018-10-15,1.1428
2018-10-16,1.1444
2018-10-17,1.1453
2018-10-18,1.1451
2018-10-19,1.1421
2018-10-22,1.1456
2018-10-23,1.1424
2018-10-24,1.1373
2018-10-25,1.1407
2018-10-26,1.1367
2018-10-29,1.1384
2018-10-30,1.1386
2018-10-31,1.1399
2018-11-01,1.143
2018-11-02,1.1422
2018-11-05,1.1437
2018-11-06,1.146
2018-11-07,1.1444
2018-11-08,1.1456
2018-11-09,1.1414
2018-11-12,1.1368
2018-11-13,1.1368
2018-11-14,1.1395
2018-11-15,1.1365
2018-11-16,1.1431
2018-11-19,1.1391
2018-11-20,1.1328
2018-11-21,1.1341
2018-11-22,1.1351
2018-11-23,1.1316
2018-11-26,1.1332
2018-11-27,1.1309
2018-11-28,1.1273
2018-11-29,1.1324
2018-11-30,1.134
2018-12-03,1.1323
2018-12-04,1.1348
2018-12-05,1.1328
2018-12-06,1.1304
2018-12-07,1.1299
2018-12-10,1.1295
2018-12-11,1.1248
2018-12-12,1.1286
2018-12-13,1.1287
2018-12-14,1.1254
2018-12-17,1.1254
2018-12-18,1.1281
2018-12-19,1.1328
2018-12-20,1.1331
2018-12-21,1.1312
2018-12-24,1.1312
2018-12-27,1.1279
2018-12-28,1.1227
2018-12-31,1.1269
2019-01-02,1.1239
2019-01-03,1.1219
2019-01-04,1.1256
2019-01-07,1.1227
2019-01-08,1.1232
2019-01-09,1.123
2019-01-10,1.1276
2019-01-11,1.1327
2019-01-14,1.1258
2019-01-15,1.1266
2019-01-16,1.1269
2019-01-17,1.1312
2019-01-18,1.1331
2019-01-21,1.1343
2019-01-22,1.1326
2019-01-23,1.1335
2019-01-24,1.1283
2019-01-25,1.131
2019-01-28,1.1331
2019-01-29,1.1352
2019-01-30,1.1403
2019-01-31,1.1409
2019-02-01,1.1396
2019-02-04,1.1421
2019-02-05,1.1436
2019-02-06,1.1394
2019-02-07,1.1357
2019-02-08,1.1357
2019-02-11,1.1351
2019-02-12,1.1381
2019-02-13,1.1371
2019-02-14,1.137
2019-02-15,1.134
2019-02-18,1.1361
2019-02-19,1.1351
2019-02-20,1.1342
2019-02-21,1.1367
2019-02-22,1.1346
2019-02-25,1.1351
2019-02-26,1.1371
2019-02-27,1.1354
2019-02-28,1.1335
2019-03-01,1.1363
2019-03-04,1.1352
2019-03-05,1.1341
2019-03-06,1.136
2019-03-07,1.1355
2019-03-08,1.1324
2019-03-11,1.1349
2019-03-12,1.1369
2019-03-13,1.1373
2019-03-14,1.1351
2019-03-15,1.136
2019-03-18,1.136
2019-03-19,1.1353
2019-03-20,1.1338
2019-03-21,1.1309
2019-03-22,1.1243
2019-03-25,1.1237
2019-03-26,1.1222
2019-03-27,1.1196
2019-03-28,1.1185
2019-03-29,1.1181
2019-04-01,1.118
2019-04-02,1.1195
2019-04-03,1.1206
2019-04-04,1.1207
2019-04-05,1.1235
2019-04-08,1.1245
2019-04-09,1.127
2019-04-10,1.128
2019-04-11,1.1304
2019-04-12,1.1326
2019-04-15,1.1345
2019-04-16,1.1371
2019-04-17,1.14
2019-04-18,1.1383
2019-04-23,1.147
2019-04-24,1.1416
2019-04-25,1.1368
2019-04-26,1.1372
2019-04-29,1.1379
2019-04-30,1.1437
2019-05-02,1.1419
2019-05-03,1.1383
2019-05-06,1.1403
2019-05-07,1.1415
2019-05-08,1.1407
2019-05-09,1.139
2019-05-10,1.1378
2019-05-13,1.1319
2019-05-14,1.1307
2019-05-15,1.1276
2019-05-16,1.1306
2019-05-17,1.1283
2019-05-20,1.1263
2019-05-21,1.1274
2019-05-22,1.1252
2019-05-23,1.1224
2019-05-24,1.1215
2019-05-27,1.1257
2019-05-28,1.1254
2019-05-29,1.1217
2019-05-30,1.1228
2019-05-31,1.1214
2019-06-03,1.1162
2019-06-04,1.1178
2019-06-05,1.1163
2019-06-06,1.1174
2019-06-07,1.1191
2019-06-10,1.12
2019-06-11,1.1233
2019-06-12,1.1252
2019-06-13,1.1207
2019-06-14,1.1211
2019-06-17,1.1214
2019-06-18,1.1175
2019-06-19,1.1176
2019-06-20,1.1142
2019-06-21,1.1107
2019-06-24,1.1109
2019-06-25,1.1108
2019-06-26,1.1113
2019-06-27,1.1121
2019-06-28,1.1105
2019-07-01,1.1141
2019-07-02,1.1169
2019-07-03,1.1116
2019-07-04,1.112
2019-07-05,1.1126
2019-07-08,1.1127
2019-07-09,1.1137
2019-07-10,1.1133
