Date,Chinese yuan renminbi
2015-09-09,7.1047
2015-09-10,7.1329
2015-09-11,7.1832
2015-09-14,7.2008
2015-09-15,7.2107
2015-09-16,7.1531
2015-09-17,7.2016
2015-09-18,7.2674
2015-09-21,7.1643
2015-09-22,7.1129
2015-09-23,7.1165
2015-09-24,7.1743
2015-09-25,7.1082
2015-09-28,7.1099
2015-09-29,7.1316
2015-09-30,7.1206
2015-10-01,7.0901
2015-10-02,7.0945
2015-10-05,7.1417
2015-10-06,7.1358
2015-10-07,7.1621
2015-10-08,7.1507
2015-10-09,7.2094
2015-10-12,7.1917
2015-10-13,7.2123
2015-10-14,7.2435
2015-10-15,7.2583
2015-10-16,7.2159
2015-10-19,7.2082
2015-10-20,7.2201
2015-10-21,7.2088
2015-10-22,7.1929
2015-10-23,7.039
2015-10-26,6.9943
2015-10-27,7.0265
2015-10-28,7.0484
2015-10-29,6.946
2015-10-30,6.9703
2015-11-02,6.9914
2015-11-03,6.9545
2015-11-04,6.9291
2015-11-05,6.9065
2015-11-06,6.9035
2015-11-09,6.8569
2015-11-10,6.8121
2015-11-11,6.8235
2015-11-12,6.833
2015-11-13,6.8607
2015-11-16,6.833
2015-11-17,6.8045
2015-11-18,6.8054
2015-11-19,6.8244
2015-11-20,6.8239
2015-11-23,6.7926
2015-11-24,6.8048
2015-11-25,6.7611
2015-11-26,6.7805
2015-11-27,6.765
2015-11-30,6.7689
2015-12-01,6.7808
2015-12-02,6.7903
2015-12-03,6.8273
2015-12-04,6.9802
2015-12-07,6.9266
2015-12-08,6.9795
2015-12-09,7.0325
2015-12-10,7.0416
2015-12-11,7.0716
2015-12-14,7.0929
2015-12-15,7.1017
2015-12-16,7.0726
2015-12-17,7.033
2015-12-18,7.0274
2015-12-21,7.0457
2015-12-22,7.0933
2015-12-23,7.0709
2015-12-24,7.088
2015-12-28,7.1114
2015-12-29,7.1065
2015-12-30,7.091
2015-12-31,7.0608
2016-01-04,7.1208
2016-01-05,7.0074
2016-01-06,7.0388
2016-01-07,7.1672
2016-01-08,7.1577
2016-01-11,7.1554
2016-01-12,7.1276
2016-01-13,7.1121
2016-01-14,7.1809
2016-01-15,7.1888
2016-01-18,7.1658
2016-01-19,7.1496
2016-01-20,7.1768
2016-01-21,7.1666
2016-01-22,7.1104
2016-01-25,7.1156
2016-01-26,7.1314
2016-01-27,7.1621
2016-01-28,7.1705
2016-01-29,7.181
2016-02-01,7.1605
2016-02-02,7.1847
2016-02-03,7.1916
2016-02-04,7.3691
2016-02-05,7.3624
2016-02-08,7.2995
2016-02-09,7.3924
2016-02-10,7.4007
2016-02-11,7.4592
2016-02-12,7.4114
2016-02-15,7.2606
2016-02-16,7.2741
2016-02-17,7.2685
2016-02-18,7.2242
2016-02-19,7.2378
2016-02-22,7.1909
2016-02-23,7.1814
2016-02-24,7.1794
2016-02-25,7.2026
2016-02-26,7.1954
2016-02-29,7.1351
2016-03-01,7.123
2016-03-02,7.1125
2016-03-03,7.1298
2016-03-04,7.148
2016-03-07,7.1381
2016-03-08,7.1744
2016-03-09,7.1466
2016-03-10,7.0787
2016-03-11,7.2119
2016-03-14,7.223
2016-03-15,7.2336
2016-03-16,7.218
2016-03-17,7.3317
2016-03-18,7.3037
2016-03-21,7.3028
2016-03-22,7.2791
2016-03-23,7.2648
2016-03-24,7.2662
2016-03-29,7.2873
2016-03-30,7.3366
2016-03-31,7.3514
2016-04-01,7.3903
2016-04-04,7.3696
2016-04-05,7.3595
2016-04-06,7.355
2016-04-07,7.3535
2016-04-08,7.357
2016-04-11,7.3709
2016-04-12,7.3632
2016-04-13,7.3172
2016-04-14,7.297
2016-04-15,7.3072
2016-04-18,7.3241
2016-04-19,7.3372
2016-04-20,7.3578
2016-04-21,7.3525
2016-04-22,7.3159
2016-04-25,7.3145
2016-04-26,7.3345
2016-04-27,7.3411
2016-04-28,7.3562
2016-04-29,7.3943
2016-05-02,7.4418
2016-05-03,7.5013
2016-05-04,7.4789
2016-05-05,7.441
2016-05-06,7.43
2016-05-09,7.4207
2016-05-10,7.413
2016-05-11,7.4212
2016-05-12,7.4242
2016-05-13,7.4001
2016-05-16,7.3865
2016-05-17,7.3867
2016-05-18,7.3714
2016-05-19,7.3318
2016-05-20,7.3456
2016-05-23,7.3507
2016-05-24,7.3226
2016-05-25,7.3136
2016-05-26,7.3237
2016-05-27,7.3281
2016-05-30,7.3314
2016-05-31,7.3363
2016-06-01,7.3498
2016-06-02,7.3639
2016-06-03,7.3468
2016-06-06,7.452
2016-06-07,7.4579
2016-06-08,7.4727
2016-06-09,7.4405
2016-06-10,7.4143
2016-06-13,7.4212
2016-06-14,7.4015
2016-06-15,7.3905
2016-06-16,7.3593
2016-06-17,7.4171
2016-06-20,7.4562
2016-06-21,7.4466
2016-06-22,7.4227
2016-06-23,7.4935
2016-06-24,7.3301
2016-06-27,7.3108
2016-06-28,7.3606
2016-06-29,7.368
2016-06-30,7.3755
2016-07-01,7.4111
2016-07-04,7.4229
2016-07-05,7.4379
2016-07-06,7.4018
2016-07-07,7.4044
2016-07-08,7.4011
2016-07-11,7.3926
2016-07-12,7.4148
2016-07-13,7.4077
2016-07-14,7.4577
2016-07-15,7.4355
2016-07-18,7.4089
2016-07-19,7.3875
2016-07-20,7.3501
2016-07-21,7.3505
2016-07-22,7.35
2016-07-25,7.3356
2016-07-26,7.3357
2016-07-27,7.3311
2016-07-28,7.3838
2016-07-29,7.3908
2016-08-01,7.4136
2016-08-02,7.4233
2016-08-03,7.4234
2016-08-04,7.3961
2016-08-05,7.411
2016-08-08,7.3848
2016-08-09,7.3798
2016-08-10,7.4169
2016-08-11,7.4031
2016-08-12,7.4173
2016-08-15,7.4203
2016-08-16,7.4772
2016-08-17,7.4825
2016-08-18,7.5066
2016-08-19,7.5341
2016-08-22,7.5195
2016-08-23,7.5301
2016-08-24,7.5013
2016-08-25,7.5146
2016-08-26,7.5318
2016-08-29,7.4608
2016-08-30,7.4565
2016-08-31,7.4311
2016-09-01,7.4452
2016-09-02,7.4755
2016-09-05,7.4496
2016-09-06,7.4525
2016-09-07,7.4876
2016-09-08,7.5255
2016-09-09,7.5276
2016-09-12,7.4995
2016-09-13,7.5138
2016-09-14,7.4894
2016-09-15,7.5102
2016-09-16,7.4915
2016-09-19,7.4469
2016-09-20,7.4604
2016-09-21,7.4384
2016-09-22,7.4949
2016-09-23,7.4797
2016-09-26,7.5105
2016-09-27,7.4826
2016-09-28,7.4911
2016-09-29,7.482
2016-09-30,7.4463
2016-10-03,7.4962
2016-10-04,7.4462
2016-10-05,7.4829
2016-10-06,7.4605
2016-10-07,7.4322
2016-10-10,7.485
2016-10-11,7.444
2016-10-12,7.4029
2016-10-13,7.4261
2016-10-14,7.4
2016-10-17,7.4075
2016-10-18,7.406
2016-10-19,7.3963
2016-10-20,7.398
2016-10-21,7.3625
2016-10-24,7.3775
2016-10-25,7.3685
2016-10-26,7.3954
2016-10-27,7.4082
2016-10-28,7.4053
2016-10-31,7.4156
2016-11-01,7.4631
2016-11-02,7.4983
2016-11-03,7.4832
2016-11-04,7.4955
2016-11-07,7.4941
2016-11-08,7.4919
2016-11-09,7.4771
2016-11-10,7.4065
2016-11-11,7.4198
2016-11-14,7.3759
2016-11-15,7.3816
2016-11-16,7.362
2016-11-17,7.3621
2016-11-18,7.3156
2016-11-21,7.3293
2016-11-22,7.31
2016-11-23,7.3157
2016-11-24,7.2988
2016-11-25,7.3295
2016-11-28,7.315
2016-11-29,7.2972
2016-11-30,7.3205
2016-12-01,7.3176
2016-12-02,7.331
2016-12-05,7.3662
2016-12-06,7.3861
2016-12-07,7.3836
2016-12-08,7.4041
2016-12-09,7.2931
2016-12-12,7.3225
2016-12-13,7.3233
2016-12-14,7.3499
2016-12-15,7.2262
2016-12-16,7.2635
2016-12-19,7.2467
2016-12-20,7.2104
2016-12-21,7.2369
2016-12-22,7.256
2016-12-23,7.2555
2016-12-27,7.2619
2016-12-28,7.2384
2016-12-29,7.2706
2016-12-30,7.3202
2017-01-02,7.269
2017-01-03,7.2285
2017-01-04,7.2382
2017-01-05,7.2311
2017-01-06,7.3253
2017-01-09,7.2958
2017-01-10,7.3176
2017-01-11,7.2826
2017-01-12,7.3621
2017-01-13,7.3564
2017-01-16,7.3107
2017-01-17,7.3235
2017-01-18,7.2931
2017-01-19,7.3241
2017-01-20,7.3125
2017-01-23,7.3436
2017-01-24,7.3721
2017-01-25,7.3935
2017-01-26,7.3634
2017-01-27,7.3654
2017-01-30,7.3103
2017-01-31,7.397
2017-02-01,7.427
2017-02-02,7.4377
2017-02-03,7.3776
2017-02-06,7.35
2017-02-07,7.3487
2017-02-08,7.3295
2017-02-09,7.3413
2017-02-10,7.312
2017-02-13,7.3062
2017-02-14,7.2902
2017-02-15,7.2521
2017-02-16,7.3028
2017-02-17,7.3134
2017-02-20,7.3011
2017-02-21,7.2545
2017-02-22,7.2311
2017-02-23,7.2693
2017-02-24,7.2873
2017-02-27,7.2756
2017-02-28,7.278
2017-03-01,7.2472
2017-03-02,7.2399
2017-03-03,7.2872
2017-03-06,7.305
2017-03-07,7.2976
2017-03-08,7.2953
2017-03-09,7.2912
2017-03-10,7.3336
2017-03-13,7.3717
2017-03-14,7.3511
2017-03-15,7.3438
2017-03-16,7.4004
2017-03-17,7.4141
2017-03-20,7.4268
2017-03-21,7.4418
2017-03-22,7.4433
2017-03-23,7.4268
2017-03-24,7.4406
2017-03-27,7.4895
2017-03-28,7.4767
2017-03-29,7.4063
2017-03-30,7.3973
2017-03-31,7.3642
2017-04-03,7.3423
2017-04-04,7.3371
2017-04-05,7.3638
2017-04-06,7.3577
2017-04-07,7.3318
2017-04-10,7.3022
2017-04-11,7.3256
2017-04-12,7.309
2017-04-13,7.3227
2017-04-18,7.3524
2017-04-19,7.3852
2017-04-20,7.3965
2017-04-21,7.3666
2017-04-24,7.4691
2017-04-25,7.4976
2017-04-26,7.5061
2017-04-27,7.5024
2017-04-28,7.5367
2017-05-02,7.5263
2017-05-03,7.5267
2017-05-04,7.535
2017-05-05,7.5655
2017-05-08,7.5513
2017-05-09,7.5201
2017-05-10,7.5116
2017-05-11,7.4957
2017-05-12,7.5047
2017-05-15,7.5629
2017-05-16,7.6185
2017-05-17,7.6552
2017-05-18,7.6698
2017-05-19,7.7015
2017-05-22,7.7457
2017-05-23,7.7277
2017-05-24,7.7119
2017-05-25,7.7018
2017-05-26,7.6782
2017-05-29,7.6714
2017-05-30,7.6597
2017-05-31,7.6449
2017-06-01,7.6389
2017-06-02,7.6507
2017-06-05,7.6553
2017-06-06,7.6491
2017-06-07,7.6253
2017-06-08,7.6332
2017-06-09,7.5962
2017-06-12,7.6284
2017-06-13,7.6245
2017-06-14,7.6147
2017-06-15,7.5985
2017-06-16,7.6089
2017-06-19,7.6342
2017-06-20,7.6159
2017-06-21,7.6091
2017-06-22,7.6323
2017-06-23,7.6413
2017-06-26,7.6541
2017-06-27,7.6853
2017-06-28,7.7348
2017-06-29,7.7412
2017-06-30,7.7385
2017-07-03,7.7253
2017-07-04,7.722
2017-07-05,7.706
2017-07-06,7.7443
2017-07-07,7.759
2017-07-10,7.7484
2017-07-11,7.7577
2017-07-12,7.7716
2017-07-13,7.7443
2017-07-14,7.7419
2017-07-17,7.7591
2017-07-18,7.8001
2017-07-19,7.7889
2017-07-20,7.776
2017-07-21,7.8798
2017-07-24,7.8622
2017-07-25,7.8949
2017-07-26,7.8646
2017-07-27,7.8811
2017-07-28,7.9087
2017-07-31,7.8896
2017-08-01,7.9371
2017-08-02,7.9559
2017-08-03,7.9726
2017-08-04,7.9757
2017-08-07,7.9281
2017-08-08,7.9163
2017-08-09,7.8316
2017-08-10,7.8068
2017-08-11,7.8414
2017-08-14,7.8713
2017-08-15,7.8488
2017-08-16,7.8393
2017-08-17,7.811
2017-08-18,7.8332
2017-08-21,7.8462
2017-08-22,7.843
2017-08-23,7.8584
2017-08-24,7.8646
2017-08-25,7.8596
2017-08-28,7.8979
2017-08-29,7.9467
2017-08-30,7.8559
2017-08-31,7.8059
2017-09-01,7.8185
2017-09-04,7.7728
2017-09-05,7.7865
2017-09-06,7.785
2017-09-07,7.7698
2017-09-08,7.7926
2017-09-11,7.8329
2017-09-12,7.8024
2017-09-13,7.8249
2017-09-14,7.7918
2017-09-15,7.8299
2017-09-18,7.852
2017-09-19,7.8832
2017-09-20,7.8948
2017-09-21,7.848
2017-09-22,7.8805
2017-09-25,7.8599
2017-09-26,7.8189
2017-09-27,7.7984
2017-09-28,7.8436
2017-09-29,7.8534
2017-10-02,7.8138
2017-10-03,7.8073
2017-10-04,7.8163
2017-10-05,7.8108
2017-10-06,7.7891
2017-10-09,7.7788
2017-10-10,7.7609
2017-10-11,7.7989
2017-10-12,7.8111
2017-10-13,7.7831
2017-10-16,7.7782
2017-10-17,7.7846
2017-10-18,7.7867
2017-10-19,7.831
2017-10-20,7.8217
2017-10-23,7.7957
2017-10-24,7.8022
2017-10-25,7.8317
2017-10-26,7.8003
2017-10-27,7.7225
2017-10-30,7.7165
2017-10-31,7.7177
2017-11-01,7.6767
2017-11-02,7.7011
2017-11-03,7.72
2017-11-06,7.6889
2017-11-07,7.675
2017-11-08,7.6838
2017-11-09,7.7193
2017-11-10,7.7412
2017-11-13,7.741
2017-11-14,7.795
2017-11-15,7.8404
2017-11-16,7.8065
2017-11-17,7.8239
2017-11-20,7.8155
2017-11-21,7.7725
2017-11-22,7.7755
2017-11-23,7.7881
2017-11-24,7.8447
2017-11-27,7.8905
2017-11-28,7.8431
2017-11-29,7.8106
2017-11-30,7.8377
2017-12-01,7.8551
2017-12-04,7.8532
2017-12-05,7.8356
2017-12-06,7.8169
2017-12-07,7.8013
2017-12-08,7.7729
2017-12-11,7.8069
2017-12-12,7.7875
2017-12-13,7.7692
2017-12-14,7.8278
2017-12-15,7.8022
2017-12-18,7.8055
2017-12-19,7.8068
2017-12-20,7.7926
2017-12-21,7.8092
2017-12-22,7.7945
2017-12-27,7.7975
2017-12-28,7.8001
2017-12-29,7.8044
2018-01-02,7.8338
2018-01-03,7.8168
2018-01-04,7.838
2018-01-05,7.8151
2018-01-08,7.7816
2018-01-09,7.7865
2018-01-10,7.7996
2018-01-11,7.8127
2018-01-12,7.8417
2018-01-15,7.904
2018-01-16,7.878
2018-01-17,7.8528
2018-01-18,7.8582
2018-01-19,7.8481
2018-01-22,7.8374
2018-01-23,7.8466
2018-01-24,7.8719
2018-01-25,7.8549
2018-01-26,7.8693
2018-01-29,7.8383
2018-01-30,7.8566
2018-01-31,7.834
2018-02-01,7.8451
2018-02-02,7.855
2018-02-05,7.8248
2018-02-06,7.7446
2018-02-07,7.7416
2018-02-08,7.7549
2018-02-09,7.7362
2018-02-12,7.7604
2018-02-13,7.8244
2018-02-14,7.8341
2018-02-15,7.9261
2018-02-16,7.9077
2018-02-19,7.8734
2018-02-20,7.829
2018-02-21,7.8112
2018-02-22,7.8085
2018-02-23,7.7914
2018-02-26,7.7723
2018-02-27,7.7665
2018-02-28,7.7285
2018-03-01,7.729
2018-03-02,7.8121
2018-03-05,7.803
