Date,Thaise baht
2015-09-09,40.193
2015-09-10,40.387
2015-09-11,40.734
2015-09-14,40.743
2015-09-15,40.695
2015-09-16,40.387
2015-09-17,40.437
2015-09-18,40.596
2015-09-21,40.269
2015-09-22,40.164
2015-09-23,40.286
2015-09-24,40.85
2015-09-25,40.322
2015-09-28,40.603
2015-09-29,40.832
2015-09-30,40.712
2015-10-01,40.63
2015-10-02,40.846
2015-10-05,40.854
2015-10-06,40.768
2015-10-07,40.401
2015-10-08,40.5
2015-10-09,40.392
2015-10-12,40.204
2015-10-13,40.532
2015-10-14,40.533
2015-10-15,40.217
2015-10-16,40.108
2015-10-19,40.073
2015-10-20,40.268
2015-10-21,40.375
2015-10-22,40.267
2015-10-23,39.254
2015-10-26,39.034
2015-10-27,39.27
2015-10-28,39.318
2015-10-29,38.991
2015-10-30,39.194
2015-11-02,39.276
2015-11-03,39.048
2015-11-04,38.776
2015-11-05,38.702
2015-11-06,38.66
2015-11-09,38.724
2015-11-10,38.485
2015-11-11,38.446
2015-11-12,38.528
2015-11-13,38.643
2015-11-16,38.565
2015-11-17,38.365
2015-11-18,38.392
2015-11-19,38.324
2015-11-20,38.199
2015-11-23,38.133
2015-11-24,38.141
2015-11-25,37.809
2015-11-26,37.949
2015-11-27,37.972
2015-11-30,37.926
2015-12-01,37.953
2015-12-02,38.004
2015-12-03,38.263
2015-12-04,39.081
2015-12-07,38.761
2015-12-08,39.116
2015-12-09,39.333
2015-12-10,39.422
2015-12-11,39.519
2015-12-14,39.674
2015-12-15,39.427
2015-12-16,39.431
2015-12-17,39.125
2015-12-18,39.175
2015-12-21,39.262
2015-12-22,39.504
2015-12-23,39.363
2015-12-24,39.442
2015-12-28,39.604
2015-12-29,39.518
2015-12-30,39.334
2015-12-31,39.248
2016-01-04,39.407
2016-01-05,38.816
2016-01-06,38.917
2016-01-07,39.442
2016-01-08,39.387
2016-01-11,39.491
2016-01-12,39.368
2016-01-13,39.203
2016-01-14,39.552
2016-01-15,39.705
2016-01-18,39.516
2016-01-19,39.428
2016-01-20,39.582
2016-01-21,39.503
2016-01-22,38.921
2016-01-25,38.869
2016-01-26,38.865
2016-01-27,38.963
2016-01-28,39.067
2016-01-29,38.973
2016-02-01,38.76
2016-02-02,39.035
2016-02-03,39.199
2016-02-04,39.952
2016-02-05,39.778
2016-02-08,39.459
2016-02-09,39.829
2016-02-10,39.793
2016-02-11,39.995
2016-02-12,40.139
2016-02-15,39.818
2016-02-16,39.79
2016-02-17,39.678
2016-02-18,39.422
2016-02-19,39.668
2016-02-22,39.418
2016-02-23,39.321
2016-02-24,39.213
2016-02-25,39.322
2016-02-26,39.236
2016-02-29,38.827
2016-03-01,38.709
2016-03-02,38.615
2016-03-03,38.677
2016-03-04,38.823
2016-03-07,38.785
2016-03-08,39.028
2016-03-09,38.724
2016-03-10,38.314
2016-03-11,38.937
2016-03-14,38.961
2016-03-15,39.004
2016-03-16,38.8
2016-03-17,39.351
2016-03-18,39.296
2016-03-21,39.37
2016-03-22,39.164
2016-03-23,39.311
2016-03-24,39.407
2016-03-29,39.672
2016-03-30,39.894
2016-03-31,40.018
2016-04-01,40.115
2016-04-04,40.08
2016-04-05,40.103
2016-04-06,40.01
2016-04-07,40.024
