Date,Turkse lira
2015-09-09,3.3633
2015-09-10,3.4067
2015-09-11,3.4302
2015-09-14,3.4695
2015-09-15,3.4298
2015-09-16,3.3706
2015-09-17,3.4138
2015-09-18,3.4253
2015-09-21,3.3612
2015-09-22,3.3881
2015-09-23,3.373
2015-09-24,3.437
2015-09-25,3.3767
2015-09-28,3.4137
2015-09-29,3.403
2015-09-30,3.3903
2015-10-01,3.3796
2015-10-02,3.3774
2015-10-05,3.3649
2015-10-06,3.3576
2015-10-07,3.2997
2015-10-08,3.3012
2015-10-09,3.2973
2015-10-12,3.3177
2015-10-13,3.36
2015-10-14,3.35
2015-10-15,3.2975
2015-10-16,3.2972
2015-10-19,3.2849
2015-10-20,3.2882
2015-10-21,3.2989
2015-10-22,3.2683
2015-10-23,3.1868
2015-10-26,3.1774
2015-10-27,3.2185
2015-10-28,3.2047
2015-10-29,3.21
2015-10-30,3.2128
2015-11-02,3.095
2015-11-03,3.1222
2015-11-04,3.1052
2015-11-05,3.1215
2015-11-06,3.1294
2015-11-09,3.145
2015-11-10,3.122
2015-11-11,3.0929
2015-11-12,3.0938
2015-11-13,3.096
2015-11-16,3.0922
2015-11-17,3.0593
2015-11-18,3.055
2015-11-19,3.0433
2015-11-20,3.0165
2015-11-23,3.0267
2015-11-24,3.0675
2015-11-25,3.0472
2015-11-26,3.087
2015-11-27,3.0865
2015-11-30,3.0789
2015-12-01,3.0625
2015-12-02,3.0605
2015-12-03,3.0768
2015-12-04,3.1747
2015-12-07,3.1349
2015-12-08,3.1788
2015-12-09,3.1939
2015-12-10,3.194
2015-12-11,3.2416
2015-12-14,3.2837
2015-12-15,3.2573
2015-12-16,3.2416
2015-12-17,3.1674
2015-12-18,3.1581
2015-12-21,3.1643
2015-12-22,3.228
2015-12-23,3.2018
2015-12-24,3.199
2015-12-28,3.1923
2015-12-29,3.1878
2015-12-30,3.1837
2015-12-31,3.1765
2016-01-04,3.2193
2016-01-05,3.2009
2016-01-06,3.2315
2016-01-07,3.2791
2016-01-08,3.2491
2016-01-11,3.2872
2016-01-12,3.2842
2016-01-13,3.2626
2016-01-14,3.3025
2016-01-15,3.3208
2016-01-18,3.3102
2016-01-19,3.303
2016-01-20,3.3307
2016-01-21,3.3098
2016-01-22,3.2572
2016-01-25,3.266
2016-01-26,3.2699
2016-01-27,3.256
2016-01-28,3.2485
2016-01-29,3.2365
2016-02-01,3.2269
2016-02-02,3.2237
2016-02-03,3.2138
2016-02-04,3.25
2016-02-05,3.2498
2016-02-08,3.2721
2016-02-09,3.3154
2016-02-10,3.2945
2016-02-11,3.3217
2016-02-12,3.303
2016-02-15,3.2908
2016-02-16,3.3023
2016-02-17,3.2961
2016-02-18,3.2884
2016-02-19,3.2903
2016-02-22,3.2512
2016-02-23,3.2298
2016-02-24,3.2336
2016-02-25,3.2248
2016-02-26,3.2347
2016-02-29,3.2273
2016-03-01,3.2089
2016-03-02,3.1903
2016-03-03,3.192
2016-03-04,3.2027
2016-03-07,3.2014
2016-03-08,3.218
2016-03-09,3.1902
2016-03-10,3.1292
2016-03-11,3.1888
2016-03-14,3.2049
2016-03-15,3.2128
2016-03-16,3.2362
2016-03-17,3.2366
2016-03-18,3.2218
2016-03-21,3.2325
2016-03-22,3.226
2016-03-23,3.2111
2016-03-24,3.211
2016-03-29,3.2109
2016-03-30,3.214
2016-03-31,3.2118
2016-04-01,3.2285
2016-04-04,3.1952
2016-04-05,3.2165
2016-04-06,3.2343
2016-04-07,3.2421
2016-04-08,3.2415
2016-04-11,3.224
2016-04-12,3.2274
2016-04-13,3.2259
2016-04-14,3.2203
2016-04-15,3.2212
2016-04-18,3.2251
2016-04-19,3.2136
2016-04-20,3.2011
2016-04-21,3.1962
2016-04-22,3.1886
2016-04-25,3.2074
2016-04-26,3.1951
2016-04-27,3.1908
2016-04-28,3.1963
2016-04-29,3.1934
2016-05-02,3.208
2016-05-03,3.2718
2016-05-04,3.2893
2016-05-05,3.3166
2016-05-06,3.3363
2016-05-09,3.3446
2016-05-10,3.345
2016-05-11,3.3801
2016-05-12,3.3569
2016-05-13,3.3639
2016-05-16,3.376
2016-05-17,3.3575
2016-05-18,3.3659
2016-05-19,3.3527
2016-05-20,3.3476
2016-05-23,3.3495
2016-05-24,3.3035
2016-05-25,3.2884
2016-05-26,3.2744
2016-05-27,3.2928
2016-05-30,3.2932
2016-05-31,3.2927
2016-06-01,3.2938
2016-06-02,3.2973
2016-06-03,3.2902
2016-06-06,3.3014
2016-06-07,3.2897
2016-06-08,3.2799
2016-06-09,3.285
2016-06-10,3.2994
2016-06-13,3.2939
2016-06-14,3.2886
2016-06-15,3.2905
2016-06-16,3.2804
2016-06-17,3.2988
2016-06-20,3.2821
2016-06-21,3.2791
2016-06-22,3.275
2016-06-23,3.2692
2016-06-24,3.2457
2016-06-27,3.2386
2016-06-28,3.2201
2016-06-29,3.2157
2016-06-30,3.206
2016-07-01,3.2077
2016-07-04,3.2284
2016-07-05,3.255
2016-07-06,3.2628
2016-07-07,3.2468
2016-07-08,3.2402
2016-07-11,3.2027
2016-07-12,3.2028
2016-07-13,3.2047
2016-07-14,3.2223
2016-07-15,3.2125
2016-07-18,3.268
2016-07-19,3.2878
2016-07-20,3.3463
2016-07-21,3.3841
2016-07-22,3.356
2016-07-25,3.3277
2016-07-26,3.3508
2016-07-27,3.3422
2016-07-28,3.3491
2016-07-29,3.3523
2016-08-01,3.3424
2016-08-02,3.3512
2016-08-03,3.3742
2016-08-04,3.3664
2016-08-05,3.3471
2016-08-08,3.3082
2016-08-09,3.3015
2016-08-10,3.303
2016-08-11,3.305
2016-08-12,3.2998
2016-08-15,3.3007
2016-08-16,3.3045
2016-08-17,3.3086
2016-08-18,3.3205
2016-08-19,3.3262
2016-08-22,3.3266
2016-08-23,3.3247
2016-08-24,3.329
2016-08-25,3.3219
2016-08-26,3.316
2016-08-29,3.3048
2016-08-30,3.2977
2016-08-31,3.2931
2016-09-01,3.3003
2016-09-02,3.3125
2016-09-05,3.2872
2016-09-06,3.2821
2016-09-07,3.2939
2016-09-08,3.3179
2016-09-09,3.344
2016-09-12,3.3473
2016-09-13,3.3505
2016-09-14,3.347
2016-09-15,3.3484
2016-09-16,3.3384
2016-09-19,3.3243
2016-09-20,3.3275
2016-09-21,3.3168
2016-09-22,3.3153
2016-09-23,3.3059
2016-09-26,3.3563
2016-09-27,3.3424
2016-09-28,3.3438
2016-09-29,3.3661
2016-09-30,3.3576
2016-10-03,3.3861
2016-10-04,3.3883
2016-10-05,3.4235
2016-10-06,3.4141
2016-10-07,3.3985
2016-10-10,3.4268
2016-10-11,3.4139
2016-10-12,3.4039
2016-10-13,3.4196
2016-10-14,3.3969
2016-10-17,3.4017
2016-10-18,3.4078
2016-10-19,3.3724
2016-10-20,3.3606
2016-10-21,3.3527
2016-10-24,3.3501
2016-10-25,3.3407
2016-10-26,3.3702
2016-10-27,3.3845
2016-10-28,3.4058
2016-10-31,3.3965
2016-11-01,3.4195
2016-11-02,3.458
2016-11-03,3.4431
2016-11-04,3.493
2016-11-07,3.5068
2016-11-08,3.4993
2016-11-09,3.5215
2016-11-10,3.528
2016-11-11,3.5471
2016-11-14,3.5478
2016-11-15,3.5307
2016-11-16,3.5541
2016-11-17,3.5712
2016-11-18,3.5798
2016-11-21,3.5757
2016-11-22,3.5717
2016-11-23,3.5944
2016-11-24,3.6136
2016-11-25,3.6523
2016-11-28,3.6282
2016-11-29,3.6267
2016-11-30,3.6372
2016-12-01,3.7032
2016-12-02,3.7747
2016-12-05,3.7794
2016-12-06,3.7202
2016-12-07,3.6683
2016-12-08,3.6676
2016-12-09,3.6707
2016-12-12,3.7269
2016-12-13,3.6953
2016-12-14,3.7125
2016-12-15,3.684
2016-12-16,3.6601
2016-12-19,3.6532
2016-12-20,3.6471
2016-12-21,3.6607
2016-12-22,3.6682
2016-12-23,3.6674
2016-12-27,3.6777
2016-12-28,3.6882
2016-12-29,3.6926
2016-12-30,3.7072
2017-01-02,3.7084
2017-01-03,3.7261
2017-01-04,3.7387
2017-01-05,3.802
2017-01-06,3.8305
2017-01-09,3.921
2017-01-10,3.9912
2017-01-11,4.0747
2017-01-12,4.0319
2017-01-13,4.0387
2017-01-16,4.0056
2017-01-17,4.056
2017-01-18,4.0371
2017-01-19,4.0747
2017-01-20,4.0665
2017-01-23,4.0574
2017-01-24,4.0465
2017-01-25,4.1082
2017-01-26,4.1361
2017-01-27,4.1416
2017-01-30,4.0561
2017-01-31,4.0632
2017-02-01,4.0581
2017-02-02,4.0387
2017-02-03,4.0118
2017-02-06,3.9404
2017-02-07,3.9785
2017-02-08,3.9709
2017-02-09,3.9486
2017-02-10,3.9173
2017-02-13,3.9177
2017-02-14,3.878
2017-02-15,3.8662
2017-02-16,3.9036
2017-02-17,3.9117
2017-02-20,3.8481
2017-02-21,3.8213
2017-02-22,3.7871
2017-02-23,3.7757
2017-02-24,3.7991
2017-02-27,3.81
2017-02-28,3.8391
2017-03-01,3.8438
2017-03-02,3.8972
2017-03-03,3.9388
2017-03-06,3.9328
2017-03-07,3.8894
2017-03-08,3.9434
2017-03-09,3.9603
2017-03-10,3.9801
2017-03-13,3.9952
2017-03-14,3.9776
2017-03-15,3.9497
2017-03-16,3.903
2017-03-17,3.8896
2017-03-20,3.9067
2017-03-21,3.8972
2017-03-22,3.9156
2017-03-23,3.9038
2017-03-24,3.9176
2017-03-27,3.9203
2017-03-28,3.9353
2017-03-29,3.9246
2017-03-30,3.9119
2017-03-31,3.8894
2017-04-03,3.8831
2017-04-04,3.8921
2017-04-05,3.9404
2017-04-06,3.955
2017-04-07,3.9726
2017-04-10,3.9494
2017-04-11,3.9392
2017-04-12,3.8965
2017-04-13,3.8991
2017-04-18,3.9423
2017-04-19,3.9292
2017-04-20,3.9067
2017-04-21,3.9001
2017-04-24,3.8969
2017-04-25,3.9127
2017-04-26,3.8991
2017-04-27,3.8797
2017-04-28,3.8756
2017-05-02,3.8621
2017-05-03,3.8603
2017-05-04,3.891
2017-05-05,3.9054
2017-05-08,3.8985
2017-05-09,3.9148
2017-05-10,3.9057
2017-05-11,3.8921
2017-05-12,3.9038
2017-05-15,3.902
2017-05-16,3.933
2017-05-17,3.9472
2017-05-18,4.0461
2017-05-19,4.0275
2017-05-22,4.0027
2017-05-23,3.9971
2017-05-24,3.9924
2017-05-25,3.9967
2017-05-26,3.9963
2017-05-29,4.0022
2017-05-30,3.9738
2017-05-31,3.9684
2017-06-01,3.9715
2017-06-02,3.9601
2017-06-05,3.9562
2017-06-06,3.9736
2017-06-07,3.9747
2017-06-08,3.9865
2017-06-09,3.9444
2017-06-12,3.9459
2017-06-13,3.9519
2017-06-14,3.9362
2017-06-15,3.9266
2017-06-16,3.9225
2017-06-19,3.9297
2017-06-20,3.945
2017-06-21,3.9311
2017-06-22,3.9277
2017-06-23,3.9235
2017-06-26,3.9244
2017-06-27,3.9525
2017-06-28,4.0079
2017-06-29,4.0143
2017-06-30,4.0134
2017-07-03,4.0322
2017-07-04,4.0377
2017-07-05,4.0611
2017-07-06,4.1367
2017-07-07,4.1465
2017-07-10,4.1122
2017-07-11,4.1431
2017-07-12,4.1182
2017-07-13,4.0763
2017-07-14,4.0663
2017-07-17,4.0511
2017-07-18,4.075
2017-07-19,4.0576
2017-07-20,4.0652
2017-07-21,4.1138
2017-07-24,4.1378
2017-07-25,4.1647
2017-07-26,4.1406
2017-07-27,4.1303
2017-07-28,4.1462
2017-07-31,4.1314
2017-08-01,4.1602
2017-08-02,4.1786
2017-08-03,4.1992
2017-08-04,4.1903
2017-08-07,4.1662
2017-08-08,4.1686
2017-08-09,4.1518
2017-08-10,4.1462
2017-08-11,4.1765
2017-08-14,4.1568
2017-08-15,4.1457
2017-08-16,4.1319
2017-08-17,4.1197
2017-08-18,4.1376
2017-08-21,4.1243
2017-08-22,4.117
2017-08-23,4.1338
2017-08-24,4.1081
2017-08-25,4.108
2017-08-28,4.1063
2017-08-29,4.147
2017-08-30,4.1235
2017-08-31,4.1063
2017-09-01,4.0981
2017-09-04,4.0826
2017-09-05,4.0954
2017-09-06,4.1045
2017-09-07,4.0893
2017-09-08,4.1191
2017-09-11,4.0779
2017-09-12,4.0948
2017-09-13,4.1232
2017-09-14,4.1134
2017-09-15,4.114
2017-09-18,4.134
2017-09-19,4.1764
2017-09-20,4.1642
2017-09-21,4.1776
2017-09-22,4.1804
2017-09-25,4.1803
2017-09-26,4.1739
2017-09-27,4.1902
2017-09-28,4.1994
2017-09-29,4.2013
2017-10-02,4.2067
2017-10-03,4.2117
2017-10-04,4.2016
2017-10-05,4.1905
2017-10-06,4.2345
2017-10-09,4.3636
2017-10-10,4.3385
2017-10-11,4.3337
2017-10-12,4.3428
2017-10-13,4.3225
2017-10-16,4.2975
2017-10-17,4.3051
2017-10-18,4.3225
2017-10-19,4.3324
2017-10-20,4.3289
2017-10-23,4.3386
2017-10-24,4.3751
2017-10-25,4.397
2017-10-26,4.4338
2017-10-27,4.4361
2017-10-30,4.3851
2017-10-31,4.4164
2017-11-01,4.4394
2017-11-02,4.4519
2017-11-03,4.4927
2017-11-06,4.4815
2017-11-07,4.4673
2017-11-08,4.505
2017-11-09,4.4962
2017-11-10,4.5097
2017-11-13,4.5318
2017-11-14,4.5477
2017-11-15,4.5979
2017-11-16,4.5465
2017-11-17,4.5846
2017-11-20,4.6211
2017-11-21,4.6304
2017-11-22,4.6557
2017-11-23,4.642
2017-11-24,4.6826
2017-11-27,4.6756
2017-11-28,4.6684
2017-11-29,4.6794
2017-11-30,4.6638
2017-12-01,4.6718
2017-12-04,4.6262
2017-12-05,4.5823
2017-12-06,4.5489
2017-12-07,4.5553
2017-12-08,4.5165
2017-12-11,4.5084
2017-12-12,4.504
2017-12-13,4.5242
2017-12-14,4.5855
2017-12-15,4.5603
2017-12-18,4.5253
2017-12-19,4.5294
2017-12-20,4.5366
2017-12-21,4.5313
2017-12-22,4.525
2017-12-27,4.5475
2017-12-28,4.5459
2017-12-29,4.5464
2018-01-02,4.534
2018-01-03,4.5303
2018-01-04,4.5367
2018-01-05,4.5127
2018-01-08,4.4887
2018-01-09,4.4843
2018-01-10,4.5548
2018-01-11,4.5648
2018-01-12,4.5587
2018-01-15,4.6442
2018-01-16,4.6437
2018-01-17,4.6654
2018-01-18,4.6374
2018-01-19,4.6557
2018-01-22,4.6552
2018-01-23,4.6295
2018-01-24,4.6263
2018-01-25,4.641
2018-01-26,4.6635
2018-01-29,4.6755
2018-01-30,4.6833
2018-01-31,4.6732
2018-02-01,4.6677
2018-02-02,4.6795
2018-02-05,4.6774
2018-02-06,4.6647
2018-02-07,4.6681
2018-02-08,4.6701
2018-02-09,4.697
2018-02-12,4.6648
2018-02-13,4.6865
2018-02-14,4.6929
2018-02-15,4.7046
2018-02-16,4.6784
2018-02-19,4.6575
2018-02-20,4.6566
2018-02-21,4.665
2018-02-22,4.6648
2018-02-23,4.6575
2018-02-26,4.6579
2018-02-27,4.6629
2018-02-28,4.6451
2018-03-01,4.6435
2018-03-02,4.6998
2018-03-05,4.6939
2018-03-06,4.7013
2018-03-07,4.7152
2018-03-08,4.7326
2018-03-09,4.6939
2018-03-12,4.7212
2018-03-13,4.7822
2018-03-14,4.7924
2018-03-15,4.8097
2018-03-16,4.8147
2018-03-19,4.8584
2018-03-20,4.8238
2018-03-21,4.8352
2018-03-22,4.8372
2018-03-23,4.888
2018-03-26,4.9464
2018-03-27,4.9429
2018-03-28,4.9561
2018-03-29,4.8976
2018-04-03,4.8967
2018-04-04,4.9262
2018-04-05,4.9543
2018-04-06,4.9644
2018-04-09,5.0018
2018-04-10,5.0622
2018-04-11,5.1832
2018-04-12,5.0473
2018-04-13,5.0411
2018-04-16,5.0816
2018-04-17,5.0734
2018-04-18,5.071
2018-04-19,4.9838
2018-04-20,4.9803
2018-04-23,5.0079
2018-04-24,4.9985
2018-04-25,5.0008
2018-04-26,4.9531
2018-04-27,4.8882
2018-04-30,4.8896
2018-05-02,4.9813
2018-05-03,5.036
2018-05-04,5.0963
2018-05-07,5.0827
2018-05-08,5.0904
2018-05-09,5.0824
2018-05-10,5.0429
2018-05-11,5.1025
2018-05-14,5.1748
2018-05-15,5.2719
2018-05-16,5.2178
2018-05-17,5.2497
2018-05-18,5.2714
2018-05-21,5.4012
2018-05-22,5.4704
2018-05-23,5.7086
2018-05-24,5.5804
2018-05-25,5.5153
2018-05-28,5.3482
2018-05-29,5.334
2018-05-30,5.1818
2018-05-31,5.2628
2018-06-01,5.3991
2018-06-04,5.4193
2018-06-05,5.3857
2018-06-06,5.4078
2018-06-07,5.291
2018-06-08,5.2798
2018-06-11,5.3296
2018-06-12,5.3762
2018-06-13,5.4603
2018-06-14,5.4251
2018-06-15,5.4671
2018-06-18,5.4821
2018-06-19,5.4971
2018-06-20,5.4943
2018-06-21,5.4754
2018-06-22,5.4639
2018-06-25,5.4557
2018-06-26,5.4053
2018-06-27,5.37
2018-06-28,5.3305
2018-06-29,5.3385
2018-07-02,5.3743
2018-07-03,5.4444
2018-07-04,5.4692
2018-07-05,5.4002
2018-07-06,5.4038
2018-07-09,5.3262
2018-07-10,5.5065
2018-07-11,5.6103
2018-07-12,5.6364
2018-07-13,5.6467
2018-07-16,5.6893
2018-07-17,5.6613
2018-07-18,5.6121
2018-07-19,5.5957
2018-07-20,5.5879
2018-07-23,5.5624
2018-07-24,5.7054
2018-07-25,5.6563
2018-07-26,5.6454
2018-07-27,5.673
2018-07-30,5.7078
2018-07-31,5.7319
2018-08-01,5.7654
2018-08-02,5.872
2018-08-03,5.8958
2018-08-06,5.9627
2018-08-07,6.1448
2018-08-08,6.1257
2018-08-09,6.2639
2018-08-10,6.9309
2018-08-13,7.8651
2018-08-14,7.4283
2018-08-15,6.9375
2018-08-16,6.6368
2018-08-17,7.0282
2018-08-20,6.9863
2018-08-21,7.0657
2018-08-22,7.0071
2018-08-23,7.0273
2018-08-24,7.0204
2018-08-27,7.2082
2018-08-28,7.3316
2018-08-29,7.5236
2018-08-30,7.856
2018-08-31,7.6386
2018-09-03,7.7104
2018-09-04,7.7188
2018-09-05,7.724
2018-09-06,7.6282
2018-09-07,7.4772
2018-09-10,7.4763
2018-09-11,7.4953
2018-09-12,7.3781
2018-09-13,7.2068
2018-09-14,7.1474
2018-09-17,7.3332
2018-09-18,7.5053
2018-09-19,7.3236
2018-09-20,7.432
2018-09-21,7.3935
2018-09-24,7.3093
2018-09-25,7.2323
2018-09-26,7.182
2018-09-27,7.0415
2018-09-28,6.965
2018-10-01,6.908
2018-10-02,6.9419
2018-10-03,7.0058
2018-10-04,7.0525
2018-10-05,7.0963
2018-10-08,7.0434
2018-10-09,7.0183
2018-10-10,6.9886
